experiment,estimator,mae,seed,n_models
n_models,rbf_paired,1.7118766682984452,0,10
n_models,rbf_unpaired,1.6407736347569668,0,10
n_models,rbf_combined,1.6264840448478592,0,10
n_models,rbf_paired,1.9938307455192688,1,10
n_models,rbf_unpaired,1.9373108617799684,1,10
n_models,rbf_combined,1.9387601459736437,1,10
n_models,rbf_paired,1.6482656103470303,2,10
n_models,rbf_unpaired,1.6504986877397685,2,10
n_models,rbf_combined,1.6239594851249715,2,10
n_models,rbf_paired,2.1195752041481644,3,10
n_models,rbf_unpaired,2.09706668787471,3,10
n_models,rbf_combined,2.086880808594058,3,10
n_models,rbf_paired,1.9257881814690585,4,10
n_models,rbf_unpaired,1.892670861433894,4,10
n_models,rbf_combined,1.8876053171059821,4,10
n_models,rbf_paired,1.345072515470684,5,10
n_models,rbf_unpaired,1.3831678085697816,5,10
n_models,rbf_combined,1.3974484671273861,5,10
n_models,rbf_paired,1.9605525073910122,6,10
n_models,rbf_unpaired,1.930334750496989,6,10
n_models,rbf_combined,1.9202038264420402,6,10
n_models,rbf_paired,1.7010247590977845,7,10
n_models,rbf_unpaired,1.7501095702349547,7,10
n_models,rbf_combined,1.6808589379117849,7,10
n_models,rbf_paired,2.362548185838337,8,10
n_models,rbf_unpaired,2.3745420191051765,8,10
n_models,rbf_combined,2.3744525019810894,8,10
n_models,rbf_paired,2.032497800702906,9,10
n_models,rbf_unpaired,2.001938844623643,9,10
n_models,rbf_combined,1.9889983451467987,9,10
n_models,rbf_paired,1.38896649253905,10,10
n_models,rbf_unpaired,1.3879953229989408,10,10
n_models,rbf_combined,1.3660953401323668,10,10
n_models,rbf_paired,1.822052146490826,11,10
n_models,rbf_unpaired,1.782350981336405,11,10
n_models,rbf_combined,1.7078392749244944,11,10
n_models,rbf_paired,1.7961475198811696,12,10
n_models,rbf_unpaired,1.741473938102023,12,10
n_models,rbf_combined,1.7419181705559101,12,10
n_models,rbf_paired,1.939082332682291,13,10
n_models,rbf_unpaired,1.9305835306742052,13,10
n_models,rbf_combined,1.8713737251853109,13,10
n_models,rbf_paired,1.8779677946398594,14,10
n_models,rbf_unpaired,1.8416529732954459,14,10
n_models,rbf_combined,1.8254626015859556,14,10
n_models,rbf_paired,1.9632524509098663,15,10
n_models,rbf_unpaired,1.9768426854106809,15,10
n_models,rbf_combined,1.9174237736762267,15,10
n_models,rbf_paired,2.2891426878486953,16,10
n_models,rbf_unpaired,2.3078075803700884,16,10
n_models,rbf_combined,2.2802355272465014,16,10
n_models,rbf_paired,2.298075976838537,17,10
n_models,rbf_unpaired,2.3063154623657875,17,10
n_models,rbf_combined,2.3020356907381463,17,10
n_models,rbf_paired,1.6299875628268967,18,10
n_models,rbf_unpaired,1.629624399002498,18,10
n_models,rbf_combined,1.5992798936737782,18,10
n_models,rbf_paired,2.0652034456736574,19,10
n_models,rbf_unpaired,2.02797019598771,19,10
n_models,rbf_combined,1.9638074907134215,19,10
n_models,rbf_paired,2.405531067758663,20,10
n_models,rbf_unpaired,2.460951937591971,20,10
n_models,rbf_combined,2.3803436686360513,20,10
n_models,rbf_paired,1.9450009352663364,21,10
n_models,rbf_unpaired,1.9584638265568615,21,10
n_models,rbf_combined,1.940411892956949,21,10
n_models,rbf_paired,2.6881812786994645,22,10
n_models,rbf_unpaired,2.6201215418196626,22,10
n_models,rbf_combined,2.5941219517305285,22,10
n_models,rbf_paired,2.362021088082443,23,10
n_models,rbf_unpaired,2.3636428623307952,23,10
n_models,rbf_combined,2.3245002133377404,23,10
n_models,rbf_paired,1.987854319259757,24,10
n_models,rbf_unpaired,1.839119453970654,24,10
n_models,rbf_combined,1.813890901289333,24,10
n_models,rbf_paired,1.9531346363891846,25,10
n_models,rbf_unpaired,1.8755114658352359,25,10
n_models,rbf_combined,1.9356163065475787,25,10
n_models,rbf_paired,2.055543012753393,26,10
n_models,rbf_unpaired,2.0064335226669305,26,10
n_models,rbf_combined,2.0435995503692297,26,10
n_models,rbf_paired,2.161301869942424,27,10
n_models,rbf_unpaired,2.156164866394276,27,10
n_models,rbf_combined,2.131472076563615,27,10
n_models,rbf_paired,1.7203164721958413,28,10
n_models,rbf_unpaired,1.702818910019726,28,10
n_models,rbf_combined,1.679474497296565,28,10
n_models,rbf_paired,2.1143028631605563,29,10
n_models,rbf_unpaired,2.1098917022784347,29,10
n_models,rbf_combined,2.1023257534498456,29,10
n_models,rbf_paired,2.278362050537124,30,10
n_models,rbf_unpaired,2.250122181520671,30,10
n_models,rbf_combined,2.24156196926536,30,10
n_models,rbf_paired,1.6111975298119294,31,10
n_models,rbf_unpaired,1.6530423770630023,31,10
n_models,rbf_combined,1.605830350021426,31,10
n_models,rbf_paired,2.0549539142182294,32,10
n_models,rbf_unpaired,1.962122521351953,32,10
n_models,rbf_combined,1.9345871445435132,32,10
n_models,rbf_paired,1.6781800703240952,33,10
n_models,rbf_unpaired,1.7731896572057029,33,10
n_models,rbf_combined,1.6863225287912798,33,10
n_models,rbf_paired,1.4967634257354814,34,10
n_models,rbf_unpaired,1.5242803863656873,34,10
n_models,rbf_combined,1.507748189411046,34,10
n_models,rbf_paired,2.2577227197442338,35,10
n_models,rbf_unpaired,2.353529544764048,35,10
n_models,rbf_combined,2.2634731439154447,35,10
n_models,rbf_paired,1.4248725353596865,36,10
n_models,rbf_unpaired,1.4452732688687913,36,10
n_models,rbf_combined,1.4365719152120362,36,10
n_models,rbf_paired,2.1171702310468103,37,10
n_models,rbf_unpaired,2.1446435299330284,37,10
n_models,rbf_combined,2.0616093870227035,37,10
n_models,rbf_paired,1.8310113721323857,38,10
n_models,rbf_unpaired,1.7897957489557461,38,10
n_models,rbf_combined,1.731713742216395,38,10
n_models,rbf_paired,1.7865305350401248,39,10
n_models,rbf_unpaired,1.7271437846411644,39,10
n_models,rbf_combined,1.7104201966962698,39,10
n_models,rbf_paired,1.8352931795198397,40,10
n_models,rbf_unpaired,1.8254091055222272,40,10
n_models,rbf_combined,1.7866716083230483,40,10
n_models,rbf_paired,1.588122601459089,41,10
n_models,rbf_unpaired,1.5784363186841897,41,10
n_models,rbf_combined,1.574583811071998,41,10
n_models,rbf_paired,1.294859943446537,42,10
n_models,rbf_unpaired,1.3019845392455383,42,10
n_models,rbf_combined,1.2724414587209325,42,10
n_models,rbf_paired,1.6681719702299274,43,10
n_models,rbf_unpaired,1.6823345789156943,43,10
n_models,rbf_combined,1.665098700691221,43,10
n_models,rbf_paired,1.765041557740451,44,10
n_models,rbf_unpaired,1.6919457211026387,44,10
n_models,rbf_combined,1.7087420151126722,44,10
n_models,rbf_paired,1.9432534407890403,45,10
n_models,rbf_unpaired,1.8997107165489873,45,10
n_models,rbf_combined,1.8826792574516626,45,10
n_models,rbf_paired,1.8171191891629188,46,10
n_models,rbf_unpaired,1.8145759160021584,46,10
n_models,rbf_combined,1.8062553197082405,46,10
n_models,rbf_paired,1.8665657348269196,47,10
n_models,rbf_unpaired,1.8402911058519065,47,10
n_models,rbf_combined,1.8337505890631756,47,10
n_models,rbf_paired,1.528557840767547,48,10
n_models,rbf_unpaired,1.5365327476514068,48,10
n_models,rbf_combined,1.5402711369356892,48,10
n_models,rbf_paired,1.9215338215973843,49,10
n_models,rbf_unpaired,1.8689223140836757,49,10
n_models,rbf_combined,1.859465883021086,49,10
n_models,rbf_paired,1.5545952120261082,0,20
n_models,rbf_unpaired,1.586448899340431,0,20
n_models,rbf_combined,1.51022480238714,0,20
n_models,rbf_paired,1.6331878156553186,1,20
n_models,rbf_unpaired,1.3965508444794144,1,20
n_models,rbf_combined,1.4124927759544161,1,20
n_models,rbf_paired,1.6777061430732354,2,20
n_models,rbf_unpaired,1.4956832398065323,2,20
n_models,rbf_combined,1.4984092192392586,2,20
n_models,rbf_paired,1.9932237986809143,3,20
n_models,rbf_unpaired,1.923749851895104,3,20
n_models,rbf_combined,1.8764494824549658,3,20
n_models,rbf_paired,1.6675766913959247,4,20
n_models,rbf_unpaired,1.6065206392267732,4,20
n_models,rbf_combined,1.5824767020135189,4,20
n_models,rbf_paired,1.5903259969854269,5,20
n_models,rbf_unpaired,1.489679991675727,5,20
n_models,rbf_combined,1.4857563910312843,5,20
n_models,rbf_paired,1.955663351432519,6,20
n_models,rbf_unpaired,1.9425586201108342,6,20
n_models,rbf_combined,1.8752408385103374,6,20
n_models,rbf_paired,1.265710890896219,7,20
n_models,rbf_unpaired,1.2782003022550514,7,20
n_models,rbf_combined,1.2075028923440536,7,20
n_models,rbf_paired,1.845868096407896,8,20
n_models,rbf_unpaired,1.7542041075042707,8,20
n_models,rbf_combined,1.6838317618994438,8,20
n_models,rbf_paired,1.7403222165357053,9,20
n_models,rbf_unpaired,1.6882414174637463,9,20
n_models,rbf_combined,1.6332528454290745,9,20
n_models,rbf_paired,1.5607033387987588,10,20
n_models,rbf_unpaired,1.4672703759927073,10,20
