experiment,estimator,seed,response_noise,n_queries_per_task,mae
noise_x_queries,nq=3,0,0.1,3,1.0816528811140305
noise_x_queries,nq=3,1,0.1,3,1.1969448571671295
noise_x_queries,nq=3,2,0.1,3,0.9778578031714372
noise_x_queries,nq=3,3,0.1,3,1.0417775216048382
noise_x_queries,nq=3,4,0.1,3,1.0969258327077482
noise_x_queries,nq=3,5,0.1,3,1.1400461800984214
noise_x_queries,nq=3,6,0.1,3,1.0199191630793376
noise_x_queries,nq=3,7,0.1,3,0.8942002798033502
noise_x_queries,nq=3,8,0.1,3,1.1362832554016407
noise_x_queries,nq=3,9,0.1,3,1.1439463022017533
noise_x_queries,nq=3,10,0.1,3,1.0966298922098674
noise_x_queries,nq=3,11,0.1,3,1.0817354378247066
noise_x_queries,nq=3,12,0.1,3,1.1128369675070149
noise_x_queries,nq=3,13,0.1,3,1.2571219019178552
noise_x_queries,nq=3,14,0.1,3,1.1232563496674066
noise_x_queries,nq=3,15,0.1,3,1.0434158054642064
noise_x_queries,nq=3,16,0.1,3,0.9912994546580137
noise_x_queries,nq=3,17,0.1,3,1.0444805708065628
noise_x_queries,nq=3,18,0.1,3,1.3379896785019878
noise_x_queries,nq=3,19,0.1,3,1.1790037757188176
noise_x_queries,nq=3,20,0.1,3,1.1124462064333862
noise_x_queries,nq=3,21,0.1,3,1.2164249349310685
noise_x_queries,nq=3,22,0.1,3,1.2020700629644843
noise_x_queries,nq=3,23,0.1,3,1.0711870899361848
noise_x_queries,nq=3,24,0.1,3,1.1498141619383904
noise_x_queries,nq=3,25,0.1,3,1.2196279637896126
noise_x_queries,nq=3,26,0.1,3,1.1546245978926677
noise_x_queries,nq=3,27,0.1,3,1.0264271324309335
noise_x_queries,nq=3,28,0.1,3,1.0016104036446027
noise_x_queries,nq=3,29,0.1,3,1.0805388346720002
noise_x_queries,nq=3,30,0.1,3,1.1165709488341384
noise_x_queries,nq=3,31,0.1,3,1.1733227112655091
noise_x_queries,nq=3,32,0.1,3,0.9903843845794197
noise_x_queries,nq=3,33,0.1,3,1.1413689789370427
noise_x_queries,nq=3,34,0.1,3,1.1928937919426945
noise_x_queries,nq=3,35,0.1,3,1.0838438885265815
noise_x_queries,nq=3,36,0.1,3,0.9175466444604629
noise_x_queries,nq=3,37,0.1,3,1.0476306014936965
noise_x_queries,nq=3,38,0.1,3,0.9482666367913076
noise_x_queries,nq=3,39,0.1,3,1.1095476691977477
noise_x_queries,nq=3,40,0.1,3,1.1449262130144096
noise_x_queries,nq=3,41,0.1,3,1.2626819046062916
noise_x_queries,nq=3,42,0.1,3,1.1487391623905265
noise_x_queries,nq=3,43,0.1,3,1.0670301516881064
noise_x_queries,nq=3,44,0.1,3,1.0843669474394624
noise_x_queries,nq=3,45,0.1,3,1.3793022831634745
noise_x_queries,nq=3,46,0.1,3,1.1125093866117357
noise_x_queries,nq=3,47,0.1,3,0.9988747677534391
noise_x_queries,nq=3,48,0.1,3,1.1665680018722853
noise_x_queries,nq=3,49,0.1,3,1.025926904118742
noise_x_queries,nq=10,0,0.1,10,1.0566701087398338
noise_x_queries,nq=10,1,0.1,10,1.2072600328695147
noise_x_queries,nq=10,2,0.1,10,0.9771484460273785
noise_x_queries,nq=10,3,0.1,10,1.0394121578913613
noise_x_queries,nq=10,4,0.1,10,1.081117510395209
noise_x_queries,nq=10,5,0.1,10,1.1224206494247464
noise_x_queries,nq=10,6,0.1,10,1.008259959499893
noise_x_queries,nq=10,7,0.1,10,0.8616094959170993
noise_x_queries,nq=10,8,0.1,10,1.1285459746996125
noise_x_queries,nq=10,9,0.1,10,1.122647803453256
noise_x_queries,nq=10,10,0.1,10,1.074832560652139
noise_x_queries,nq=10,11,0.1,10,1.0613469014000654
noise_x_queries,nq=10,12,0.1,10,1.1034803752518432
noise_x_queries,nq=10,13,0.1,10,1.2364935979293372
noise_x_queries,nq=10,14,0.1,10,1.1160927436272616
noise_x_queries,nq=10,15,0.1,10,1.0515683919427905
noise_x_queries,nq=10,16,0.1,10,1.0048015991705723
noise_x_queries,nq=10,17,0.1,10,1.0200905455612055
noise_x_queries,nq=10,18,0.1,10,1.346899614095548
noise_x_queries,nq=10,19,0.1,10,1.16356866620293
noise_x_queries,nq=10,20,0.1,10,1.1241656871990786
noise_x_queries,nq=10,21,0.1,10,1.1786645580534243
noise_x_queries,nq=10,22,0.1,10,1.1730214547575082
noise_x_queries,nq=10,23,0.1,10,1.0757138633199765
noise_x_queries,nq=10,24,0.1,10,1.1235692653320726
noise_x_queries,nq=10,25,0.1,10,1.2067252527433692
noise_x_queries,nq=10,26,0.1,10,1.1621021735363932
noise_x_queries,nq=10,27,0.1,10,1.0007552165504003
noise_x_queries,nq=10,28,0.1,10,0.9838601989443525
noise_x_queries,nq=10,29,0.1,10,1.040187483887358
noise_x_queries,nq=10,30,0.1,10,1.1299015326153639
noise_x_queries,nq=10,31,0.1,10,1.155636424118938
noise_x_queries,nq=10,32,0.1,10,0.9875538358809122
noise_x_queries,nq=10,33,0.1,10,1.1143291240036044
noise_x_queries,nq=10,34,0.1,10,1.1720936798963335
noise_x_queries,nq=10,35,0.1,10,1.0786135521902211
noise_x_queries,nq=10,36,0.1,10,0.9025244909422818
noise_x_queries,nq=10,37,0.1,10,1.0323705495716742
noise_x_queries,nq=10,38,0.1,10,0.9402306313918708
noise_x_queries,nq=10,39,0.1,10,1.11609614272407
noise_x_queries,nq=10,40,0.1,10,1.1503587634380845
noise_x_queries,nq=10,41,0.1,10,1.2539693254901736
noise_x_queries,nq=10,42,0.1,10,1.1273301756637124
noise_x_queries,nq=10,43,0.1,10,1.0557909728759984
noise_x_queries,nq=10,44,0.1,10,1.0989418255527268
noise_x_queries,nq=10,45,0.1,10,1.415623751489841
noise_x_queries,nq=10,46,0.1,10,1.0941604872675164
noise_x_queries,nq=10,47,0.1,10,0.9882013779730624
noise_x_queries,nq=10,48,0.1,10,1.164341782041641
noise_x_queries,nq=10,49,0.1,10,1.031797550652362
noise_x_queries,nq=50,0,0.1,50,1.0485247013997414
noise_x_queries,nq=50,1,0.1,50,1.206626231431678
noise_x_queries,nq=50,2,0.1,50,0.9911827287125664
noise_x_queries,nq=50,3,0.1,50,1.030264155566734
noise_x_queries,nq=50,4,0.1,50,1.0888178873473555
noise_x_queries,nq=50,5,0.1,50,1.1387516396958477
noise_x_queries,nq=50,6,0.1,50,0.9923384476687112
noise_x_queries,nq=50,7,0.1,50,0.8595365339537139
noise_x_queries,nq=50,8,0.1,50,1.1249216319614046
noise_x_queries,nq=50,9,0.1,50,1.1216585051595769
noise_x_queries,nq=50,10,0.1,50,1.0710305498648809
noise_x_queries,nq=50,11,0.1,50,1.0565399138882035
noise_x_queries,nq=50,12,0.1,50,1.0931793157756606
noise_x_queries,nq=50,13,0.1,50,1.2282870881716192
noise_x_queries,nq=50,14,0.1,50,1.1135536610001082
noise_x_queries,nq=50,15,0.1,50,1.056181154147796
noise_x_queries,nq=50,16,0.1,50,0.9790582846746635
noise_x_queries,nq=50,17,0.1,50,1.022989795153513
noise_x_queries,nq=50,18,0.1,50,1.3507453350882823
noise_x_queries,nq=50,19,0.1,50,1.147125049213671
noise_x_queries,nq=50,20,0.1,50,1.1183169561468456
noise_x_queries,nq=50,21,0.1,50,1.177927093010312
noise_x_queries,nq=50,22,0.1,50,1.2120526895285257
noise_x_queries,nq=50,23,0.1,50,1.0655200930975974
noise_x_queries,nq=50,24,0.1,50,1.1245511623985263
noise_x_queries,nq=50,25,0.1,50,1.1839854583079703
noise_x_queries,nq=50,26,0.1,50,1.1538673263796682
noise_x_queries,nq=50,27,0.1,50,0.9964938758225745
noise_x_queries,nq=50,28,0.1,50,0.9754198889314682
noise_x_queries,nq=50,29,0.1,50,1.0569289779770543
noise_x_queries,nq=50,30,0.1,50,1.1182249121115744
noise_x_queries,nq=50,31,0.1,50,1.1690159597082976
noise_x_queries,nq=50,32,0.1,50,0.9710940383505501
noise_x_queries,nq=50,33,0.1,50,1.1165494747388705
noise_x_queries,nq=50,34,0.1,50,1.1749824123069394
noise_x_queries,nq=50,35,0.1,50,1.0713224628890756
noise_x_queries,nq=50,36,0.1,50,0.9057289638337923
noise_x_queries,nq=50,37,0.1,50,1.0367069620312888
noise_x_queries,nq=50,38,0.1,50,0.9328331248691318
noise_x_queries,nq=50,39,0.1,50,1.1126735737842388
noise_x_queries,nq=50,40,0.1,50,1.1454067912891055
noise_x_queries,nq=50,41,0.1,50,1.2557702379472975
noise_x_queries,nq=50,42,0.1,50,1.1326620130154827
noise_x_queries,nq=50,43,0.1,50,1.0607091134247313
noise_x_queries,nq=50,44,0.1,50,1.0973419136324136
noise_x_queries,nq=50,45,0.1,50,1.3885694986204131
noise_x_queries,nq=50,46,0.1,50,1.0963923338840915
noise_x_queries,nq=50,47,0.1,50,0.9725320879672235
