experiment,estimator,rmse,seed,response_noise
response_noise,rbf_paired,2.099163260459843,0,0.1
response_noise,rbf_unpaired,1.5781017558398143,0,0.1
response_noise,rbf_combined,1.4439009101128673,0,0.1
response_noise,rbf_paired,2.377181176383433,1,0.1
response_noise,rbf_unpaired,1.890980560607931,1,0.1
response_noise,rbf_combined,1.6827559221554569,1,0.1
response_noise,rbf_paired,1.9940641229189655,2,0.1
response_noise,rbf_unpaired,1.720376762814436,2,0.1
response_noise,rbf_combined,1.3337192649948244,2,0.1
response_noise,rbf_paired,2.1080646249970347,3,0.1
response_noise,rbf_unpaired,1.7562703418610455,3,0.1
response_noise,rbf_combined,1.4920856225985948,3,0.1
response_noise,rbf_paired,2.2166678782985128,4,0.1
response_noise,rbf_unpaired,1.729123255229726,4,0.1
response_noise,rbf_combined,1.516293583568488,4,0.1
response_noise,rbf_paired,2.169275135497193,5,0.1
response_noise,rbf_unpaired,1.6442246613269484,5,0.1
response_noise,rbf_combined,1.562433887334006,5,0.1
response_noise,rbf_paired,2.2166504027583978,6,0.1
response_noise,rbf_unpaired,1.5794661177291875,6,0.1
response_noise,rbf_combined,1.4507547966617111,6,0.1
response_noise,rbf_paired,1.7747696972980027,7,0.1
response_noise,rbf_unpaired,1.3802297201952598,7,0.1
response_noise,rbf_combined,1.2190519251987744,7,0.1
response_noise,rbf_paired,2.347240125396824,8,0.1
response_noise,rbf_unpaired,1.9074547955574146,8,0.1
response_noise,rbf_combined,1.607189922012412,8,0.1
response_noise,rbf_paired,2.381039417461403,9,0.1
response_noise,rbf_unpaired,1.768910665988641,9,0.1
response_noise,rbf_combined,1.530287026089425,9,0.1
response_noise,rbf_paired,2.348088593818378,10,0.1
response_noise,rbf_unpaired,1.7507196528202458,10,0.1
response_noise,rbf_combined,1.493805432151102,10,0.1
response_noise,rbf_paired,2.0205350927428447,11,0.1
response_noise,rbf_unpaired,1.670851932822487,11,0.1
response_noise,rbf_combined,1.4626339155883208,11,0.1
response_noise,rbf_paired,2.362620392730212,12,0.1
response_noise,rbf_unpaired,2.258256652830534,12,0.1
response_noise,rbf_combined,1.5298900333079781,12,0.1
response_noise,rbf_paired,2.6445172441286346,13,0.1
response_noise,rbf_unpaired,2.2979181206943453,13,0.1
response_noise,rbf_combined,1.7619822897612039,13,0.1
response_noise,rbf_paired,2.248616152139359,14,0.1
response_noise,rbf_unpaired,1.7144146128926927,14,0.1
response_noise,rbf_combined,1.5602559647930834,14,0.1
response_noise,rbf_paired,2.170946817186743,15,0.1
response_noise,rbf_unpaired,1.5157773868104825,15,0.1
response_noise,rbf_combined,1.4441222873100619,15,0.1
response_noise,rbf_paired,1.9881647116237067,16,0.1
response_noise,rbf_unpaired,1.5770676105108927,16,0.1
response_noise,rbf_combined,1.393223504476497,16,0.1
response_noise,rbf_paired,2.1005394838302784,17,0.1
response_noise,rbf_unpaired,1.7930245408391376,17,0.1
response_noise,rbf_combined,1.4389190303584498,17,0.1
response_noise,rbf_paired,2.400061284639334,18,0.1
response_noise,rbf_unpaired,1.9633455789549616,18,0.1
response_noise,rbf_combined,1.8695569171948316,18,0.1
response_noise,rbf_paired,2.156979559548292,19,0.1
response_noise,rbf_unpaired,1.9297097636490925,19,0.1
response_noise,rbf_combined,1.6380213393193832,19,0.1
response_noise,rbf_paired,2.187532153262233,20,0.1
response_noise,rbf_unpaired,1.749601027498071,20,0.1
response_noise,rbf_combined,1.5672002067336979,20,0.1
response_noise,rbf_paired,2.3017305010319085,21,0.1
response_noise,rbf_unpaired,2.0193378364049033,21,0.1
response_noise,rbf_combined,1.62417697249593,21,0.1
response_noise,rbf_paired,2.256095186137445,22,0.1
response_noise,rbf_unpaired,1.9357361972936278,22,0.1
response_noise,rbf_combined,1.6406088851760934,22,0.1
response_noise,rbf_paired,2.281236510086176,23,0.1
response_noise,rbf_unpaired,1.5570267249318173,23,0.1
response_noise,rbf_combined,1.4701195684358241,23,0.1
response_noise,rbf_paired,2.291838240357018,24,0.1
response_noise,rbf_unpaired,1.8589458323172243,24,0.1
response_noise,rbf_combined,1.5663711867652923,24,0.1
response_noise,rbf_paired,2.309229618244104,25,0.1
response_noise,rbf_unpaired,1.7977064657349044,25,0.1
response_noise,rbf_combined,1.6605662083448403,25,0.1
response_noise,rbf_paired,2.261035734494408,26,0.1
response_noise,rbf_unpaired,1.8883124225955383,26,0.1
response_noise,rbf_combined,1.6026042222668682,26,0.1
response_noise,rbf_paired,2.0283162700709396,27,0.1
response_noise,rbf_unpaired,1.595035207029286,27,0.1
response_noise,rbf_combined,1.4400351437651164,27,0.1
response_noise,rbf_paired,2.2161289532757116,28,0.1
response_noise,rbf_unpaired,1.4940195277193684,28,0.1
response_noise,rbf_combined,1.3534748019442948,28,0.1
response_noise,rbf_paired,2.0614109648262047,29,0.1
response_noise,rbf_unpaired,1.6119825705295652,29,0.1
response_noise,rbf_combined,1.4602656134409018,29,0.1
response_noise,rbf_paired,2.2803161741977758,30,0.1
response_noise,rbf_unpaired,1.6952026798760953,30,0.1
response_noise,rbf_combined,1.5814950653578594,30,0.1
response_noise,rbf_paired,2.628522923910649,31,0.1
response_noise,rbf_unpaired,2.006744317886577,31,0.1
response_noise,rbf_combined,1.6660178888850397,31,0.1
response_noise,rbf_paired,2.088615325922787,32,0.1
response_noise,rbf_unpaired,1.6458328836191467,32,0.1
response_noise,rbf_combined,1.3577389393764572,32,0.1
response_noise,rbf_paired,2.1764848498064677,33,0.1
response_noise,rbf_unpaired,1.8770411397890472,33,0.1
response_noise,rbf_combined,1.5227698806294268,33,0.1
response_noise,rbf_paired,2.1701079052293886,34,0.1
response_noise,rbf_unpaired,1.7117420838901451,34,0.1
response_noise,rbf_combined,1.6165926210190946,34,0.1
response_noise,rbf_paired,2.150517414108164,35,0.1
response_noise,rbf_unpaired,1.6825191721169257,35,0.1
response_noise,rbf_combined,1.4651946842553034,35,0.1
response_noise,rbf_paired,1.8639442841095557,36,0.1
response_noise,rbf_unpaired,1.3601870485352046,36,0.1
response_noise,rbf_combined,1.2551192867325236,36,0.1
response_noise,rbf_paired,2.106100470594558,37,0.1
response_noise,rbf_unpaired,1.7136133332818546,37,0.1
response_noise,rbf_combined,1.4882181969868191,37,0.1
response_noise,rbf_paired,1.8963657823100526,38,0.1
response_noise,rbf_unpaired,1.5927375868610965,38,0.1
response_noise,rbf_combined,1.3860808997798444,38,0.1
response_noise,rbf_paired,2.2449444128279175,39,0.1
