sweep,x,estimator,mae,alpha
obs_prob,0.1,combined,0.12251591358405471,
obs_prob,0.1,matcomplete,0.1272110975742367,
obs_prob,0.1,ensemble,0.10525980353572162,0.48
obs_prob,0.2,combined,0.10561574798470907,
obs_prob,0.2,matcomplete,0.1033441765552524,
obs_prob,0.2,ensemble,0.09216380251110905,0.58
obs_prob,0.3,combined,0.09414097745249576,
obs_prob,0.3,matcomplete,0.09559107867817919,
obs_prob,0.3,ensemble,0.08545934545250068,0.6
obs_prob,0.5,combined,0.07870936376142144,
obs_prob,0.5,matcomplete,0.08437891510966769,
obs_prob,0.5,ensemble,0.07393998423354506,0.6
obs_prob,0.7,combined,0.06844889325346122,
obs_prob,0.7,matcomplete,0.07819898742152588,
obs_prob,0.7,ensemble,0.0660752149452292,0.72
obs_prob,0.9,combined,0.0618374835080408,
obs_prob,0.9,matcomplete,0.07250416353298575,
obs_prob,0.9,ensemble,0.06038793718253987,0.86
n_models,10.0,combined,0.10941997768799663,
n_models,10.0,matcomplete,0.20912702785825318,
n_models,10.0,ensemble,0.1067623036299492,0.88
n_models,20.0,combined,0.10065613144410622,
n_models,20.0,matcomplete,0.14750243684319292,
n_models,20.0,ensemble,0.0956810033324838,0.8200000000000001
n_models,40.0,combined,0.09829511500296574,
n_models,40.0,matcomplete,0.1149735331502826,
n_models,40.0,ensemble,0.09045371055162024,0.76
n_models,60.0,combined,0.093376430681121,
n_models,60.0,matcomplete,0.10762214458661044,
n_models,60.0,ensemble,0.08851798609086978,0.6
n_models,80.0,combined,0.09482530679386882,
n_models,80.0,matcomplete,0.09995873620283688,
n_models,80.0,ensemble,0.08610603430630143,0.6
n_models,95.0,combined,0.09414097745249576,
n_models,95.0,matcomplete,0.09559107867817919,
n_models,95.0,ensemble,0.08545934545250068,0.6
