estimator,obs_prob,query_obs_prob,n_models,seed,predictor,mds_dim,bias_decomp,logit,mae
rbf_paired,0.3,1.0,10,0,knn,8,True,True,0.11095783763125434
rbf_unpaired,0.3,1.0,10,0,knn,8,True,True,0.10772298082031971
rbf_combined,0.3,1.0,10,0,knn,8,True,True,0.11159690503149573
matcomplete,0.3,1.0,10,0,na,0,True,True,0.36599394308636773
rbf_paired,0.3,1.0,10,1,knn,8,True,True,0.12068083344972295
rbf_unpaired,0.3,1.0,10,1,knn,8,True,True,0.12307524705948238
rbf_combined,0.3,1.0,10,1,knn,8,True,True,0.1175523022058457
matcomplete,0.3,1.0,10,1,na,0,True,True,0.2469841585174772
rbf_paired,0.3,1.0,10,2,knn,8,True,True,0.11330180942497939
rbf_unpaired,0.3,1.0,10,2,knn,8,True,True,0.11470733500533813
rbf_combined,0.3,1.0,10,2,knn,8,True,True,0.11198573611378207
matcomplete,0.3,1.0,10,2,na,0,True,True,0.2790483076098252
rbf_paired,0.3,1.0,10,3,knn,8,True,True,0.10744968111421022
rbf_unpaired,0.3,1.0,10,3,knn,8,True,True,0.10892957208669324
rbf_combined,0.3,1.0,10,3,knn,8,True,True,0.10616042609931894
matcomplete,0.3,1.0,10,3,na,0,True,True,0.1871839257278957
rbf_paired,0.3,1.0,10,4,knn,8,True,True,0.1225877310465404
rbf_unpaired,0.3,1.0,10,4,knn,8,True,True,0.12250341882284878
rbf_combined,0.3,1.0,10,4,knn,8,True,True,0.12091277948682655
matcomplete,0.3,1.0,10,4,na,0,True,True,0.256812480244655
rbf_paired,0.3,1.0,10,5,knn,8,True,True,0.08836371307981593
rbf_unpaired,0.3,1.0,10,5,knn,8,True,True,0.08895262491986021
rbf_combined,0.3,1.0,10,5,knn,8,True,True,0.08925142596612984
matcomplete,0.3,1.0,10,5,na,0,True,True,0.21785434069576348
rbf_paired,0.3,1.0,10,6,knn,8,True,True,0.16684345900533157
rbf_unpaired,0.3,1.0,10,6,knn,8,True,True,0.16148213365165853
rbf_combined,0.3,1.0,10,6,knn,8,True,True,0.1605926273426036
matcomplete,0.3,1.0,10,6,na,0,True,True,0.172055362830469
rbf_paired,0.3,1.0,10,7,knn,8,True,True,0.11275365742570383
rbf_unpaired,0.3,1.0,10,7,knn,8,True,True,0.11043372873218456
rbf_combined,0.3,1.0,10,7,knn,8,True,True,0.09965168807704321
matcomplete,0.3,1.0,10,7,na,0,True,True,0.15814109722096903
rbf_paired,0.3,1.0,10,8,knn,8,True,True,0.12203273319649234
rbf_unpaired,0.3,1.0,10,8,knn,8,True,True,0.12590200627319353
rbf_combined,0.3,1.0,10,8,knn,8,True,True,0.11611900800046983
matcomplete,0.3,1.0,10,8,na,0,True,True,0.15257456182292004
rbf_paired,0.3,1.0,10,9,knn,8,True,True,0.11400123735215027
rbf_unpaired,0.3,1.0,10,9,knn,8,True,True,0.11497795140503701
rbf_combined,0.3,1.0,10,9,knn,8,True,True,0.11406305690953387
matcomplete,0.3,1.0,10,9,na,0,True,True,0.22569737982803995
rbf_paired,0.3,1.0,10,10,knn,8,True,True,0.08297458165803577
rbf_unpaired,0.3,1.0,10,10,knn,8,True,True,0.08445165436626073
rbf_combined,0.3,1.0,10,10,knn,8,True,True,0.08157124579166672
matcomplete,0.3,1.0,10,10,na,0,True,True,0.2414217263987576
rbf_paired,0.3,1.0,10,11,knn,8,True,True,0.08366163086773373
rbf_unpaired,0.3,1.0,10,11,knn,8,True,True,0.08393244647251505
rbf_combined,0.3,1.0,10,11,knn,8,True,True,0.0826234085928167
matcomplete,0.3,1.0,10,11,na,0,True,True,0.19980294395377327
rbf_paired,0.3,1.0,10,12,knn,8,True,True,0.12431121623776895
rbf_unpaired,0.3,1.0,10,12,knn,8,True,True,0.1226588279808296
rbf_combined,0.3,1.0,10,12,knn,8,True,True,0.1212801416504415
matcomplete,0.3,1.0,10,12,na,0,True,True,0.19082498254244862
rbf_paired,0.3,1.0,10,13,knn,8,True,True,0.09570132074834732
rbf_unpaired,0.3,1.0,10,13,knn,8,True,True,0.09752164465246924
rbf_combined,0.3,1.0,10,13,knn,8,True,True,0.09650872734364956
matcomplete,0.3,1.0,10,13,na,0,True,True,0.206899474236264
rbf_paired,0.3,1.0,10,14,knn,8,True,True,0.150320196224042
rbf_unpaired,0.3,1.0,10,14,knn,8,True,True,0.1519166292696206
rbf_combined,0.3,1.0,10,14,knn,8,True,True,0.1496159167943595
matcomplete,0.3,1.0,10,14,na,0,True,True,0.19908612225068908
rbf_paired,0.3,1.0,10,15,knn,8,True,True,0.09289653496680339
rbf_unpaired,0.3,1.0,10,15,knn,8,True,True,0.09522276184128974
rbf_combined,0.3,1.0,10,15,knn,8,True,True,0.09252308080467127
matcomplete,0.3,1.0,10,15,na,0,True,True,0.2310613052005833
rbf_paired,0.3,1.0,10,16,knn,8,True,True,0.08269198204190731
rbf_unpaired,0.3,1.0,10,16,knn,8,True,True,0.08416045112406163
rbf_combined,0.3,1.0,10,16,knn,8,True,True,0.08184936912491415
matcomplete,0.3,1.0,10,16,na,0,True,True,0.2697041413687956
rbf_paired,0.3,1.0,10,17,knn,8,True,True,0.12277430480641327
rbf_unpaired,0.3,1.0,10,17,knn,8,True,True,0.12456403245245891
rbf_combined,0.3,1.0,10,17,knn,8,True,True,0.11367905288740994
matcomplete,0.3,1.0,10,17,na,0,True,True,0.24553677127548812
rbf_paired,0.3,1.0,10,18,knn,8,True,True,0.09944155552428653
rbf_unpaired,0.3,1.0,10,18,knn,8,True,True,0.10103675125353614
rbf_combined,0.3,1.0,10,18,knn,8,True,True,0.09926469478361641
matcomplete,0.3,1.0,10,18,na,0,True,True,0.25439120283075795
rbf_paired,0.3,1.0,10,19,knn,8,True,True,0.12781749377290155
rbf_unpaired,0.3,1.0,10,19,knn,8,True,True,0.13090874980450296
rbf_combined,0.3,1.0,10,19,knn,8,True,True,0.1298547904454664
matcomplete,0.3,1.0,10,19,na,0,True,True,0.1594057696619346
rbf_paired,0.3,1.0,10,20,knn,8,True,True,0.10329565502876553
rbf_unpaired,0.3,1.0,10,20,knn,8,True,True,0.10149487715031928
rbf_combined,0.3,1.0,10,20,knn,8,True,True,0.10122849887765054
matcomplete,0.3,1.0,10,20,na,0,True,True,0.2017195634925009
rbf_paired,0.3,1.0,10,21,knn,8,True,True,0.10550665857929803
rbf_unpaired,0.3,1.0,10,21,knn,8,True,True,0.10422462658104309
rbf_combined,0.3,1.0,10,21,knn,8,True,True,0.10478437970252202
matcomplete,0.3,1.0,10,21,na,0,True,True,0.16314830175612685
rbf_paired,0.3,1.0,10,22,knn,8,True,True,0.1190852417423609
rbf_unpaired,0.3,1.0,10,22,knn,8,True,True,0.11859497949982532
rbf_combined,0.3,1.0,10,22,knn,8,True,True,0.11878800367036293
matcomplete,0.3,1.0,10,22,na,0,True,True,0.221734695043547
rbf_paired,0.3,1.0,10,23,knn,8,True,True,0.08957474969035756
rbf_unpaired,0.3,1.0,10,23,knn,8,True,True,0.09325320705311915
rbf_combined,0.3,1.0,10,23,knn,8,True,True,0.0912186026854808
matcomplete,0.3,1.0,10,23,na,0,True,True,0.2741284295570717
rbf_paired,0.3,1.0,10,24,knn,8,True,True,0.10090608521596868
rbf_unpaired,0.3,1.0,10,24,knn,8,True,True,0.10177189030655184
rbf_combined,0.3,1.0,10,24,knn,8,True,True,0.10364029070016866
matcomplete,0.3,1.0,10,24,na,0,True,True,0.1774484401484356
rbf_paired,0.3,1.0,20,0,knn,8,True,True,0.10556393405236376
rbf_unpaired,0.3,1.0,20,0,knn,8,True,True,0.10906294597231384
rbf_combined,0.3,1.0,20,0,knn,8,True,True,0.10486850851431359
