n_models,estimator,mean,std,count
10,matcomplete,0.21994637709206227,0.04890711902712165,25
10,rbf_combined,0.10865264636352986,0.01929479113044262,25
10,rbf_paired,0.11039727599324767,0.02030149152425717,25
10,rbf_unpaired,0.11097602114340077,0.019633950726930863,25
20,matcomplete,0.14615755054690566,0.02258336984783113,25
20,rbf_combined,0.10249469382388997,0.01073506554945475,25
20,rbf_paired,0.10469881209294864,0.013158046783421236,25
20,rbf_unpaired,0.10646712984308572,0.013961219956485646,25
40,matcomplete,0.11787129123770285,0.01915384998166315,25
40,rbf_combined,0.09820778076656105,0.009519525684664389,25
40,rbf_paired,0.10310133019042332,0.010021251744341634,25
40,rbf_unpaired,0.10482134906092183,0.010235059745633511,25
60,matcomplete,0.10469274627337394,0.017213767187511775,25
60,rbf_combined,0.09294723598651623,0.00671023482254745,25
60,rbf_paired,0.09866085797585292,0.007681442318923312,25
60,rbf_unpaired,0.10145185894815117,0.007720573182901236,25
80,matcomplete,0.0988729567845613,0.011484164875772954,25
80,rbf_combined,0.09293254019433307,0.006424851070175815,25
80,rbf_paired,0.09994454522321047,0.007436931023520116,25
80,rbf_unpaired,0.10182735040801841,0.009500904372213558,25
95,matcomplete,0.09648727794041466,0.012373918168431926,25
95,rbf_combined,0.09220247602191314,0.004316450487584073,25
95,rbf_paired,0.10132273804216223,0.008006605664222162,25
95,rbf_unpaired,0.10335922524673576,0.007644942854172913,25
