estimator,obs_prob,query_obs_prob,n_models,seed,predictor,mds_dim,bias_decomp,logit,mae
rbf_paired,0.1,0.1,95,0,knn,8,True,True,0.19727705567331155
rbf_unpaired,0.1,0.1,95,0,knn,8,True,True,0.19517936688451862
rbf_combined,0.1,0.1,95,0,knn,8,True,True,0.21990657978250588
matcomplete,0.1,0.1,95,0,na,0,True,True,0.24831526772840412
rbf_paired,0.1,0.1,95,1,knn,8,True,True,0.2422667893378001
rbf_unpaired,0.1,0.1,95,1,knn,8,True,True,0.2327943286717011
rbf_combined,0.1,0.1,95,1,knn,8,True,True,0.2352389833409613
matcomplete,0.1,0.1,95,1,na,0,True,True,0.23007506748375361
rbf_paired,0.1,0.1,95,2,knn,8,True,True,0.18955883926264008
rbf_unpaired,0.1,0.1,95,2,knn,8,True,True,0.18887619822779403
rbf_combined,0.1,0.1,95,2,knn,8,True,True,0.1935225570487139
matcomplete,0.1,0.1,95,2,na,0,True,True,0.21080383386306598
rbf_paired,0.1,0.1,95,3,knn,8,True,True,0.17752534481198784
rbf_unpaired,0.1,0.1,95,3,knn,8,True,True,0.1789092849562329
rbf_combined,0.1,0.1,95,3,knn,8,True,True,0.1822113632706717
matcomplete,0.1,0.1,95,3,na,0,True,True,0.19461276574637815
rbf_paired,0.1,0.1,95,4,knn,8,True,True,0.22663061067272436
rbf_unpaired,0.1,0.1,95,4,knn,8,True,True,0.2276323875220105
rbf_combined,0.1,0.1,95,4,knn,8,True,True,0.23220383904615957
matcomplete,0.1,0.1,95,4,na,0,True,True,0.23528301004549787
rbf_paired,0.1,0.1,95,5,knn,8,True,True,0.24280132273710778
rbf_unpaired,0.1,0.1,95,5,knn,8,True,True,0.233833502992531
rbf_combined,0.1,0.1,95,5,knn,8,True,True,0.24687551202465943
matcomplete,0.1,0.1,95,5,na,0,True,True,0.2465532472836208
rbf_paired,0.1,0.1,95,6,knn,8,True,True,0.23119394134816112
rbf_unpaired,0.1,0.1,95,6,knn,8,True,True,0.23216415517527794
rbf_combined,0.1,0.1,95,6,knn,8,True,True,0.24075574740610833
matcomplete,0.1,0.1,95,6,na,0,True,True,0.2400401843565697
rbf_paired,0.1,0.1,95,7,knn,8,True,True,0.19956348974042962
rbf_unpaired,0.1,0.1,95,7,knn,8,True,True,0.19988798385584564
rbf_combined,0.1,0.1,95,7,knn,8,True,True,0.21848703502086644
matcomplete,0.1,0.1,95,7,na,0,True,True,0.24446843919945827
rbf_paired,0.1,0.1,95,8,knn,8,True,True,0.22238898651523015
rbf_unpaired,0.1,0.1,95,8,knn,8,True,True,0.2199322358869134
rbf_combined,0.1,0.1,95,8,knn,8,True,True,0.22680535590579362
matcomplete,0.1,0.1,95,8,na,0,True,True,0.24761699685984978
rbf_paired,0.1,0.1,95,9,knn,8,True,True,0.20239905136467162
rbf_unpaired,0.1,0.1,95,9,knn,8,True,True,0.2021417356575746
rbf_combined,0.1,0.1,95,9,knn,8,True,True,0.20149914319908763
matcomplete,0.1,0.1,95,9,na,0,True,True,0.21813417135926214
rbf_paired,0.1,0.1,95,10,knn,8,True,True,0.20953817891602589
rbf_unpaired,0.1,0.1,95,10,knn,8,True,True,0.20959041548446752
rbf_combined,0.1,0.1,95,10,knn,8,True,True,0.21527666111437058
matcomplete,0.1,0.1,95,10,na,0,True,True,0.20631642520680868
rbf_paired,0.1,0.1,95,11,knn,8,True,True,0.2099977057334949
rbf_unpaired,0.1,0.1,95,11,knn,8,True,True,0.20722345733993008
rbf_combined,0.1,0.1,95,11,knn,8,True,True,0.20418341406898236
matcomplete,0.1,0.1,95,11,na,0,True,True,0.242633701011237
rbf_paired,0.1,0.1,95,12,knn,8,True,True,0.2090100448617038
rbf_unpaired,0.1,0.1,95,12,knn,8,True,True,0.20305617098593312
rbf_combined,0.1,0.1,95,12,knn,8,True,True,0.22934682732724196
matcomplete,0.1,0.1,95,12,na,0,True,True,0.2456068204030256
rbf_paired,0.1,0.1,95,13,knn,8,True,True,0.23380373712297803
rbf_unpaired,0.1,0.1,95,13,knn,8,True,True,0.23486416874963337
rbf_combined,0.1,0.1,95,13,knn,8,True,True,0.24763609006511128
matcomplete,0.1,0.1,95,13,na,0,True,True,0.3001669289666371
rbf_paired,0.1,0.1,95,14,knn,8,True,True,0.18217083098745399
rbf_unpaired,0.1,0.1,95,14,knn,8,True,True,0.17781279170710962
rbf_combined,0.1,0.1,95,14,knn,8,True,True,0.20138626102302687
matcomplete,0.1,0.1,95,14,na,0,True,True,0.2044896648675933
rbf_paired,0.1,0.1,95,15,knn,8,True,True,0.20125113545292866
rbf_unpaired,0.1,0.1,95,15,knn,8,True,True,0.20016462003874816
rbf_combined,0.1,0.1,95,15,knn,8,True,True,0.20256058089673168
matcomplete,0.1,0.1,95,15,na,0,True,True,0.2299087890676151
rbf_paired,0.1,0.1,95,16,knn,8,True,True,0.17793159793423724
rbf_unpaired,0.1,0.1,95,16,knn,8,True,True,0.17656705828633695
rbf_combined,0.1,0.1,95,16,knn,8,True,True,0.18573502617982743
matcomplete,0.1,0.1,95,16,na,0,True,True,0.20691173355748932
rbf_paired,0.1,0.1,95,17,knn,8,True,True,0.2010768741246934
rbf_unpaired,0.1,0.1,95,17,knn,8,True,True,0.1983276586509527
rbf_combined,0.1,0.1,95,17,knn,8,True,True,0.21608442457826016
matcomplete,0.1,0.1,95,17,na,0,True,True,0.20747344573792528
rbf_paired,0.1,0.1,95,18,knn,8,True,True,0.2070345924024227
rbf_unpaired,0.1,0.1,95,18,knn,8,True,True,0.20465740928755827
rbf_combined,0.1,0.1,95,18,knn,8,True,True,0.2088173332687071
matcomplete,0.1,0.1,95,18,na,0,True,True,0.25691271248334935
rbf_paired,0.1,0.1,95,19,knn,8,True,True,0.21888887073308672
rbf_unpaired,0.1,0.1,95,19,knn,8,True,True,0.21407652571060265
rbf_combined,0.1,0.1,95,19,knn,8,True,True,0.22143904288540192
matcomplete,0.1,0.1,95,19,na,0,True,True,0.21432784873227478
rbf_paired,0.1,0.3,95,0,knn,8,True,True,0.14394410763771281
rbf_unpaired,0.1,0.3,95,0,knn,8,True,True,0.14475947414882911
rbf_combined,0.1,0.3,95,0,knn,8,True,True,0.14528678171114945
matcomplete,0.1,0.3,95,0,na,0,True,True,0.15852000298926786
rbf_paired,0.1,0.3,95,1,knn,8,True,True,0.16506852194561886
rbf_unpaired,0.1,0.3,95,1,knn,8,True,True,0.1646782779245219
rbf_combined,0.1,0.3,95,1,knn,8,True,True,0.15245256634911988
matcomplete,0.1,0.3,95,1,na,0,True,True,0.16368735550062516
rbf_paired,0.1,0.3,95,2,knn,8,True,True,0.12601346878167569
rbf_unpaired,0.1,0.3,95,2,knn,8,True,True,0.12919512997572227
rbf_combined,0.1,0.3,95,2,knn,8,True,True,0.12660620487891486
matcomplete,0.1,0.3,95,2,na,0,True,True,0.13768418848608874
rbf_paired,0.1,0.3,95,3,knn,8,True,True,0.13703526276566075
rbf_unpaired,0.1,0.3,95,3,knn,8,True,True,0.14010586100547148
rbf_combined,0.1,0.3,95,3,knn,8,True,True,0.13336287028215418
matcomplete,0.1,0.3,95,3,na,0,True,True,0.15288614356952193
rbf_paired,0.1,0.3,95,4,knn,8,True,True,0.13947919293861552
rbf_unpaired,0.1,0.3,95,4,knn,8,True,True,0.1416438724251911
rbf_combined,0.1,0.3,95,4,knn,8,True,True,0.13943676485777787
matcomplete,0.1,0.3,95,4,na,0,True,True,0.15365430666727678
rbf_paired,0.1,0.3,95,5,knn,8,True,True,0.14584829134265306
rbf_unpaired,0.1,0.3,95,5,knn,8,True,True,0.14663137157764328
rbf_combined,0.1,0.3,95,5,knn,8,True,True,0.14151534558523998
matcomplete,0.1,0.3,95,5,na,0,True,True,0.17190137157306423
rbf_paired,0.1,0.3,95,6,knn,8,True,True,0.15024888253165497
rbf_unpaired,0.1,0.3,95,6,knn,8,True,True,0.14971144615139456
rbf_combined,0.1,0.3,95,6,knn,8,True,True,0.14075629424065195
matcomplete,0.1,0.3,95,6,na,0,True,True,0.1538075676466521
rbf_paired,0.1,0.3,95,7,knn,8,True,True,0.13710784579502341
rbf_unpaired,0.1,0.3,95,7,knn,8,True,True,0.13899858769070222
rbf_combined,0.1,0.3,95,7,knn,8,True,True,0.13295006890064603
matcomplete,0.1,0.3,95,7,na,0,True,True,0.1642711907727978
rbf_paired,0.1,0.3,95,8,knn,8,True,True,0.18549551731679956
rbf_unpaired,0.1,0.3,95,8,knn,8,True,True,0.1822480373087181
rbf_combined,0.1,0.3,95,8,knn,8,True,True,0.19225857459956705
matcomplete,0.1,0.3,95,8,na,0,True,True,0.1658591204927981
rbf_paired,0.1,0.3,95,9,knn,8,True,True,0.149496388904513
rbf_unpaired,0.1,0.3,95,9,knn,8,True,True,0.15197228428154028
rbf_combined,0.1,0.3,95,9,knn,8,True,True,0.15356464725901625
matcomplete,0.1,0.3,95,9,na,0,True,True,0.16469232213911195
rbf_paired,0.1,0.3,95,10,knn,8,True,True,0.15596817454229514
rbf_unpaired,0.1,0.3,95,10,knn,8,True,True,0.15588212010085625
rbf_combined,0.1,0.3,95,10,knn,8,True,True,0.1672390402202764
matcomplete,0.1,0.3,95,10,na,0,True,True,0.15932918868981355
rbf_paired,0.1,0.3,95,11,knn,8,True,True,0.14177131125139267
rbf_unpaired,0.1,0.3,95,11,knn,8,True,True,0.14181022721811767
rbf_combined,0.1,0.3,95,11,knn,8,True,True,0.1338088767061667
matcomplete,0.1,0.3,95,11,na,0,True,True,0.15467831576171504
rbf_paired,0.1,0.3,95,12,knn,8,True,True,0.14590896647594417
rbf_unpaired,0.1,0.3,95,12,knn,8,True,True,0.1475562776435547
rbf_combined,0.1,0.3,95,12,knn,8,True,True,0.13741382696174884
matcomplete,0.1,0.3,95,12,na,0,True,True,0.1574553407911476
rbf_paired,0.1,0.3,95,13,knn,8,True,True,0.15675068684279508
rbf_unpaired,0.1,0.3,95,13,knn,8,True,True,0.1540873165617485
rbf_combined,0.1,0.3,95,13,knn,8,True,True,0.16286488590769788
matcomplete,0.1,0.3,95,13,na,0,True,True,0.18286808415990366
rbf_paired,0.1,0.3,95,14,knn,8,True,True,0.1434183713923217
rbf_unpaired,0.1,0.3,95,14,knn,8,True,True,0.14491279891306713
rbf_combined,0.1,0.3,95,14,knn,8,True,True,0.14008091107823537
matcomplete,0.1,0.3,95,14,na,0,True,True,0.15566361379107496
rbf_paired,0.1,0.3,95,15,knn,8,True,True,0.14512854328769378
rbf_unpaired,0.1,0.3,95,15,knn,8,True,True,0.14521452705496216
rbf_combined,0.1,0.3,95,15,knn,8,True,True,0.14814646643793813
matcomplete,0.1,0.3,95,15,na,0,True,True,0.14508956485670188
rbf_paired,0.1,0.3,95,16,knn,8,True,True,0.14443798697668758
rbf_unpaired,0.1,0.3,95,16,knn,8,True,True,0.1445555585973885
rbf_combined,0.1,0.3,95,16,knn,8,True,True,0.14264790055328413
matcomplete,0.1,0.3,95,16,na,0,True,True,0.1491186314696738
rbf_paired,0.1,0.3,95,17,knn,8,True,True,0.14569330661040894
rbf_unpaired,0.1,0.3,95,17,knn,8,True,True,0.14526287779923686
rbf_combined,0.1,0.3,95,17,knn,8,True,True,0.14783367627349797
matcomplete,0.1,0.3,95,17,na,0,True,True,0.1673923825675994
rbf_paired,0.1,0.3,95,18,knn,8,True,True,0.14795818277237596
rbf_unpaired,0.1,0.3,95,18,knn,8,True,True,0.14868218066622887
rbf_combined,0.1,0.3,95,18,knn,8,True,True,0.14147430334789185
matcomplete,0.1,0.3,95,18,na,0,True,True,0.17895846952050054
rbf_paired,0.1,0.3,95,19,knn,8,True,True,0.15714038397606914
rbf_unpaired,0.1,0.3,95,19,knn,8,True,True,0.1561823202637591
rbf_combined,0.1,0.3,95,19,knn,8,True,True,0.14731409907766913
matcomplete,0.1,0.3,95,19,na,0,True,True,0.14180186007110832
rbf_paired,0.1,0.5,95,0,knn,8,True,True,0.13330060774928784
rbf_unpaired,0.1,0.5,95,0,knn,8,True,True,0.1343662017650845
rbf_combined,0.1,0.5,95,0,knn,8,True,True,0.13179118284716523
matcomplete,0.1,0.5,95,0,na,0,True,True,0.1400488035372743
rbf_paired,0.1,0.5,95,1,knn,8,True,True,0.15089655394285573
rbf_unpaired,0.1,0.5,95,1,knn,8,True,True,0.15033647326869418
rbf_combined,0.1,0.5,95,1,knn,8,True,True,0.13284984796056826
matcomplete,0.1,0.5,95,1,na,0,True,True,0.1384967475449442
rbf_paired,0.1,0.5,95,2,knn,8,True,True,0.1254836566412677
rbf_unpaired,0.1,0.5,95,2,knn,8,True,True,0.12828817392495223
rbf_combined,0.1,0.5,95,2,knn,8,True,True,0.12136153782139635
matcomplete,0.1,0.5,95,2,na,0,True,True,0.13059955633896433
rbf_paired,0.1,0.5,95,3,knn,8,True,True,0.12510228512954447
rbf_unpaired,0.1,0.5,95,3,knn,8,True,True,0.128365475634391
rbf_combined,0.1,0.5,95,3,knn,8,True,True,0.11919658650165894
matcomplete,0.1,0.5,95,3,na,0,True,True,0.13695769179077605
rbf_paired,0.1,0.5,95,4,knn,8,True,True,0.13618914482070885
rbf_unpaired,0.1,0.5,95,4,knn,8,True,True,0.14061410566621338
rbf_combined,0.1,0.5,95,4,knn,8,True,True,0.1363472025981414
matcomplete,0.1,0.5,95,4,na,0,True,True,0.1465067008202312
rbf_paired,0.1,0.5,95,5,knn,8,True,True,0.1428431864556116
rbf_unpaired,0.1,0.5,95,5,knn,8,True,True,0.14292189101736028
rbf_combined,0.1,0.5,95,5,knn,8,True,True,0.13723976834519225
matcomplete,0.1,0.5,95,5,na,0,True,True,0.16169075146442133
rbf_paired,0.1,0.5,95,6,knn,8,True,True,0.13580769689234565
rbf_unpaired,0.1,0.5,95,6,knn,8,True,True,0.1354612947851775
rbf_combined,0.1,0.5,95,6,knn,8,True,True,0.12830454907648708
matcomplete,0.1,0.5,95,6,na,0,True,True,0.12727638594346832
rbf_paired,0.1,0.5,95,7,knn,8,True,True,0.1338419632223954
rbf_unpaired,0.1,0.5,95,7,knn,8,True,True,0.1342759178208284
rbf_combined,0.1,0.5,95,7,knn,8,True,True,0.12620479347746238
matcomplete,0.1,0.5,95,7,na,0,True,True,0.15269151860987284
rbf_paired,0.1,0.5,95,8,knn,8,True,True,0.1534207262210972
rbf_unpaired,0.1,0.5,95,8,knn,8,True,True,0.15318442374078003
rbf_combined,0.1,0.5,95,8,knn,8,True,True,0.1549170831089445
matcomplete,0.1,0.5,95,8,na,0,True,True,0.14817496010130773
rbf_paired,0.1,0.5,95,9,knn,8,True,True,0.13951705047151824
rbf_unpaired,0.1,0.5,95,9,knn,8,True,True,0.13981299448796272
rbf_combined,0.1,0.5,95,9,knn,8,True,True,0.1347335300370008
matcomplete,0.1,0.5,95,9,na,0,True,True,0.13754412957803483
rbf_paired,0.1,0.5,95,10,knn,8,True,True,0.13293275741610527
rbf_unpaired,0.1,0.5,95,10,knn,8,True,True,0.13572413845398315
rbf_combined,0.1,0.5,95,10,knn,8,True,True,0.1319882250157451
matcomplete,0.1,0.5,95,10,na,0,True,True,0.12293066137226612
rbf_paired,0.1,0.5,95,11,knn,8,True,True,0.12998703276131843
rbf_unpaired,0.1,0.5,95,11,knn,8,True,True,0.13106699130711133
rbf_combined,0.1,0.5,95,11,knn,8,True,True,0.12309309527055329
matcomplete,0.1,0.5,95,11,na,0,True,True,0.13393874554008117
rbf_paired,0.1,0.5,95,12,knn,8,True,True,0.13328395589589934
rbf_unpaired,0.1,0.5,95,12,knn,8,True,True,0.14006538128435664
