estimator,obs_prob,query_obs_prob,n_models,seed,rmse
rbf_paired,0.3,0.1,95,0,0.3206236839388611
rbf_unpaired,0.3,0.1,95,0,0.30950651417487596
rbf_combined,0.3,0.1,95,0,0.27054122300024136
rbf_paired,0.3,0.1,95,1,0.31208102709606494
rbf_unpaired,0.3,0.1,95,1,0.32586903628808317
rbf_combined,0.3,0.1,95,1,0.246303709938742
rbf_paired,0.3,0.1,95,2,0.29375462267194397
rbf_unpaired,0.3,0.1,95,2,0.3062486212174229
rbf_combined,0.3,0.1,95,2,0.24894721598531955
rbf_paired,0.3,0.1,95,3,0.3095633591444781
rbf_unpaired,0.3,0.1,95,3,0.3113039432760307
rbf_combined,0.3,0.1,95,3,0.2646788072657478
rbf_paired,0.3,0.1,95,4,0.2982816621060002
rbf_unpaired,0.3,0.1,95,4,0.29784209611227463
rbf_combined,0.3,0.1,95,4,0.2637581404799476
rbf_paired,0.3,0.1,95,5,0.3032873213265144
rbf_unpaired,0.3,0.1,95,5,0.30522926300689257
rbf_combined,0.3,0.1,95,5,0.24712634551174606
rbf_paired,0.3,0.1,95,6,0.3001889168638776
rbf_unpaired,0.3,0.1,95,6,0.3045464118445474
rbf_combined,0.3,0.1,95,6,0.25173902124143377
rbf_paired,0.3,0.1,95,7,0.29893031066644576
rbf_unpaired,0.3,0.1,95,7,0.2982598205161759
rbf_combined,0.3,0.1,95,7,0.26618341906223725
rbf_paired,0.3,0.1,95,8,0.2970240717039578
rbf_unpaired,0.3,0.1,95,8,0.30690812085772434
rbf_combined,0.3,0.1,95,8,0.24796619454842422
rbf_paired,0.3,0.1,95,9,0.2944207131139438
rbf_unpaired,0.3,0.1,95,9,0.3005780951231805
rbf_combined,0.3,0.1,95,9,0.23843231976471077
rbf_paired,0.3,0.1,95,10,0.3033667934998433
rbf_unpaired,0.3,0.1,95,10,0.303622384943801
rbf_combined,0.3,0.1,95,10,0.25323205472232274
rbf_paired,0.3,0.1,95,11,0.30616238486777053
rbf_unpaired,0.3,0.1,95,11,0.30778899877580423
rbf_combined,0.3,0.1,95,11,0.24862344592353947
rbf_paired,0.3,0.1,95,12,0.3036033175460413
rbf_unpaired,0.3,0.1,95,12,0.31366010474792844
rbf_combined,0.3,0.1,95,12,0.25455902624931503
rbf_paired,0.3,0.1,95,13,0.3164383322806285
rbf_unpaired,0.3,0.1,95,13,0.3174279294396226
rbf_combined,0.3,0.1,95,13,0.258450644569583
rbf_paired,0.3,0.1,95,14,0.31953717705009327
rbf_unpaired,0.3,0.1,95,14,0.30019291559422073
rbf_combined,0.3,0.1,95,14,0.2446002223741592
rbf_paired,0.3,0.1,95,15,0.29343781412237646
rbf_unpaired,0.3,0.1,95,15,0.2964766894159105
rbf_combined,0.3,0.1,95,15,0.24274142343933156
rbf_paired,0.3,0.1,95,16,0.31262012270912476
rbf_unpaired,0.3,0.1,95,16,0.3162836791598706
rbf_combined,0.3,0.1,95,16,0.2527287389929052
rbf_paired,0.3,0.1,95,17,0.314861152260606
rbf_unpaired,0.3,0.1,95,17,0.3107868458794932
rbf_combined,0.3,0.1,95,17,0.24029916703478393
rbf_paired,0.3,0.1,95,18,0.316295552967854
rbf_unpaired,0.3,0.1,95,18,0.30842122928910565
rbf_combined,0.3,0.1,95,18,0.2594504004745928
rbf_paired,0.3,0.1,95,19,0.3063188062794934
rbf_unpaired,0.3,0.1,95,19,0.3005736775897869
rbf_combined,0.3,0.1,95,19,0.264836353358873
rbf_paired,0.3,0.1,95,20,0.29585385121424607
rbf_unpaired,0.3,0.1,95,20,0.3043264956974272
rbf_combined,0.3,0.1,95,20,0.2552504109944464
rbf_paired,0.3,0.1,95,21,0.30496501495139106
rbf_unpaired,0.3,0.1,95,21,0.3111884506898118
rbf_combined,0.3,0.1,95,21,0.2501003188197188
rbf_paired,0.3,0.1,95,22,0.3029700391084254
rbf_unpaired,0.3,0.1,95,22,0.2984903279330579
rbf_combined,0.3,0.1,95,22,0.24696845315117846
rbf_paired,0.3,0.1,95,23,0.298016498477964
rbf_unpaired,0.3,0.1,95,23,0.3072924389925631
rbf_combined,0.3,0.1,95,23,0.25908770180593904
rbf_paired,0.3,0.1,95,24,0.31833842224173614
rbf_unpaired,0.3,0.1,95,24,0.2994128549680873
rbf_combined,0.3,0.1,95,24,0.2529733507759993
rbf_paired,0.3,0.2,95,0,0.3200987256017783
rbf_unpaired,0.3,0.2,95,0,0.30629307330818806
rbf_combined,0.3,0.2,95,0,0.26630970444237734
rbf_paired,0.3,0.2,95,1,0.3158204079592395
rbf_unpaired,0.3,0.2,95,1,0.3240341468553756
rbf_combined,0.3,0.2,95,1,0.23822275364301956
rbf_paired,0.3,0.2,95,2,0.2927757451742874
rbf_unpaired,0.3,0.2,95,2,0.2981942488436263
rbf_combined,0.3,0.2,95,2,0.25215711402107543
rbf_paired,0.3,0.2,95,3,0.3113840896453817
rbf_unpaired,0.3,0.2,95,3,0.31371388458670807
rbf_combined,0.3,0.2,95,3,0.24728068384261478
rbf_paired,0.3,0.2,95,4,0.2991133965018927
rbf_unpaired,0.3,0.2,95,4,0.29925263703277516
rbf_combined,0.3,0.2,95,4,0.2622876322691565
rbf_paired,0.3,0.2,95,5,0.30367108161944634
rbf_unpaired,0.3,0.2,95,5,0.30507704990734313
rbf_combined,0.3,0.2,95,5,0.24212098253936587
rbf_paired,0.3,0.2,95,6,0.2992586750686173
rbf_unpaired,0.3,0.2,95,6,0.30974617516268826
rbf_combined,0.3,0.2,95,6,0.25073568933343515
rbf_paired,0.3,0.2,95,7,0.2998207660619132
rbf_unpaired,0.3,0.2,95,7,0.31552655408789776
rbf_combined,0.3,0.2,95,7,0.249929209615924
rbf_paired,0.3,0.2,95,8,0.3036613949030014
rbf_unpaired,0.3,0.2,95,8,0.3106857579437274
