estimator,obs_prob,query_obs_prob,n_models,seed,predictor,mds_dim,bias_decomp,logit,mae
rbf_paired,0.1,1.0,95,0,knn,8,True,True,0.12884123402692751
rbf_unpaired,0.1,1.0,95,0,knn,8,True,True,0.12992031997042408
rbf_combined,0.1,1.0,95,0,knn,8,True,True,0.12794630365599716
matcomplete,0.1,1.0,95,0,na,0,True,True,0.13723637652340756
rbf_paired,0.1,1.0,95,1,knn,8,True,True,0.14370876221596043
rbf_unpaired,0.1,1.0,95,1,knn,8,True,True,0.14207704979708938
rbf_combined,0.1,1.0,95,1,knn,8,True,True,0.11751144879131036
matcomplete,0.1,1.0,95,1,na,0,True,True,0.11213835120176568
rbf_paired,0.1,1.0,95,2,knn,8,True,True,0.1236011338123814
rbf_unpaired,0.1,1.0,95,2,knn,8,True,True,0.12489417570932797
rbf_combined,0.1,1.0,95,2,knn,8,True,True,0.11602874416587158
matcomplete,0.1,1.0,95,2,na,0,True,True,0.11923100833350662
rbf_paired,0.1,1.0,95,3,knn,8,True,True,0.11691593540353361
rbf_unpaired,0.1,1.0,95,3,knn,8,True,True,0.1197405867408312
rbf_combined,0.1,1.0,95,3,knn,8,True,True,0.11032465696424439
matcomplete,0.1,1.0,95,3,na,0,True,True,0.1214065393665175
rbf_paired,0.1,1.0,95,4,knn,8,True,True,0.12353714362004586
rbf_unpaired,0.1,1.0,95,4,knn,8,True,True,0.1281314501474397
rbf_combined,0.1,1.0,95,4,knn,8,True,True,0.11860669417130515
matcomplete,0.1,1.0,95,4,na,0,True,True,0.12351267118215278
rbf_paired,0.1,1.0,95,5,knn,8,True,True,0.12932861173252633
rbf_unpaired,0.1,1.0,95,5,knn,8,True,True,0.13290581925243503
rbf_combined,0.1,1.0,95,5,knn,8,True,True,0.12494718445018504
matcomplete,0.1,1.0,95,5,na,0,True,True,0.13843187721609024
rbf_paired,0.1,1.0,95,6,knn,8,True,True,0.12938890128378078
rbf_unpaired,0.1,1.0,95,6,knn,8,True,True,0.12811669888425906
rbf_combined,0.1,1.0,95,6,knn,8,True,True,0.11914236013547772
matcomplete,0.1,1.0,95,6,na,0,True,True,0.10308983630052078
rbf_paired,0.1,1.0,95,7,knn,8,True,True,0.12679648903493645
rbf_unpaired,0.1,1.0,95,7,knn,8,True,True,0.12577748159315175
rbf_combined,0.1,1.0,95,7,knn,8,True,True,0.12624284976204547
matcomplete,0.1,1.0,95,7,na,0,True,True,0.14138114703178956
rbf_paired,0.1,1.0,95,8,knn,8,True,True,0.13428736498363286
rbf_unpaired,0.1,1.0,95,8,knn,8,True,True,0.13517305598065887
rbf_combined,0.1,1.0,95,8,knn,8,True,True,0.12944962363106688
matcomplete,0.1,1.0,95,8,na,0,True,True,0.12312731357021031
rbf_paired,0.1,1.0,95,9,knn,8,True,True,0.1341694794469386
rbf_unpaired,0.1,1.0,95,9,knn,8,True,True,0.13466271081048026
rbf_combined,0.1,1.0,95,9,knn,8,True,True,0.12954130742285622
matcomplete,0.1,1.0,95,9,na,0,True,True,0.11832316520693126
rbf_paired,0.1,1.0,95,10,knn,8,True,True,0.12062135968733781
rbf_unpaired,0.1,1.0,95,10,knn,8,True,True,0.12374493218760049
rbf_combined,0.1,1.0,95,10,knn,8,True,True,0.11559740565509868
matcomplete,0.1,1.0,95,10,na,0,True,True,0.09429393866590173
rbf_paired,0.1,1.0,95,11,knn,8,True,True,0.12679099972047161
rbf_unpaired,0.1,1.0,95,11,knn,8,True,True,0.12734948071910349
rbf_combined,0.1,1.0,95,11,knn,8,True,True,0.11763316432538452
matcomplete,0.1,1.0,95,11,na,0,True,True,0.11811230569310814
rbf_paired,0.1,1.0,95,12,knn,8,True,True,0.12315256365435726
rbf_unpaired,0.1,1.0,95,12,knn,8,True,True,0.1264611300810032
rbf_combined,0.1,1.0,95,12,knn,8,True,True,0.11517649987848425
matcomplete,0.1,1.0,95,12,na,0,True,True,0.12254587181982474
rbf_paired,0.1,1.0,95,13,knn,8,True,True,0.13114403630941665
rbf_unpaired,0.1,1.0,95,13,knn,8,True,True,0.13160327526313753
rbf_combined,0.1,1.0,95,13,knn,8,True,True,0.12844740002123287
matcomplete,0.1,1.0,95,13,na,0,True,True,0.1573763465717181
rbf_paired,0.1,1.0,95,14,knn,8,True,True,0.11770387460941689
rbf_unpaired,0.1,1.0,95,14,knn,8,True,True,0.12131948716275438
