estimator,obs_prob,seed,rmse
rbf_paired,0.1,0,0.3056305853556713
rbf_unpaired,0.1,0,0.3182109345656882
rbf_combined,0.1,0,0.2714170494978813
rbf_paired,0.1,1,0.3084139658707632
rbf_unpaired,0.1,1,0.3247256911622115
rbf_combined,0.1,1,0.26680542933581436
rbf_paired,0.1,2,0.31184605277174354
rbf_unpaired,0.1,2,0.32208648161997916
rbf_combined,0.1,2,0.2525209775238892
rbf_paired,0.1,3,0.3205388583892026
rbf_unpaired,0.1,3,0.33154416954788196
rbf_combined,0.1,3,0.2675590599815051
rbf_paired,0.1,4,0.31708992968995764
rbf_unpaired,0.1,4,0.3041611792224384
rbf_combined,0.1,4,0.2590857929362063
rbf_paired,0.1,5,0.32669924297885367
rbf_unpaired,0.1,5,0.32623536880530013
rbf_combined,0.1,5,0.2657498278658441
rbf_paired,0.1,6,0.30075265863061534
rbf_unpaired,0.1,6,0.30672145984724475
rbf_combined,0.1,6,0.2483180752992882
rbf_paired,0.1,7,0.31816338708987546
rbf_unpaired,0.1,7,0.3266891756513564
rbf_combined,0.1,7,0.2546037922666712
rbf_paired,0.1,8,0.2905513702482626
rbf_unpaired,0.1,8,0.27350745445393587
rbf_combined,0.1,8,0.26533291846618645
rbf_paired,0.1,9,0.3008214015162596
rbf_unpaired,0.1,9,0.29288109179934524
rbf_combined,0.1,9,0.2659488633847184
rbf_paired,0.1,10,0.2874980394911504
rbf_unpaired,0.1,10,0.2916338742467539
rbf_combined,0.1,10,0.27043206048545043
rbf_paired,0.1,11,0.2950542359794036
rbf_unpaired,0.1,11,0.319734011391014
rbf_combined,0.1,11,0.2575495928003616
rbf_paired,0.1,12,0.33189633300315047
rbf_unpaired,0.1,12,0.36362486888581463
rbf_combined,0.1,12,0.2742694755296531
rbf_paired,0.1,13,0.3216772728630414
rbf_unpaired,0.1,13,0.3415637491221947
rbf_combined,0.1,13,0.2583815539206138
rbf_paired,0.1,14,0.2965634378143618
rbf_unpaired,0.1,14,0.3015725602950725
rbf_combined,0.1,14,0.2592573404067653
rbf_paired,0.1,15,0.29491394518357267
rbf_unpaired,0.1,15,0.2899493954160374
rbf_combined,0.1,15,0.2757889836450187
rbf_paired,0.1,16,0.30101476525532506
rbf_unpaired,0.1,16,0.319354918053725
rbf_combined,0.1,16,0.25790845296135334
rbf_paired,0.1,17,0.30190748546010543
rbf_unpaired,0.1,17,0.3101873143397112
rbf_combined,0.1,17,0.27026816039342166
rbf_paired,0.1,18,0.3173291064345977
rbf_unpaired,0.1,18,0.3391701487430464
rbf_combined,0.1,18,0.2642074876851418
rbf_paired,0.1,19,0.312654028977768
rbf_unpaired,0.1,19,0.30035256617871675
rbf_combined,0.1,19,0.24227745781236953
rbf_paired,0.1,20,0.3155017305327446
rbf_unpaired,0.1,20,0.3327650030680442
rbf_combined,0.1,20,0.2514873184526104
rbf_paired,0.1,21,0.2928095843436443
rbf_unpaired,0.1,21,0.28820940603025336
rbf_combined,0.1,21,0.2653145606832474
rbf_paired,0.1,22,0.3212279746506387
rbf_unpaired,0.1,22,0.29488880710268567
rbf_combined,0.1,22,0.2633201128783612
rbf_paired,0.1,23,0.3061954127148137
rbf_unpaired,0.1,23,0.3140385881211637
rbf_combined,0.1,23,0.24898297156674754
rbf_paired,0.1,24,0.2951942695182283
rbf_unpaired,0.1,24,0.3033822637702592
rbf_combined,0.1,24,0.2668493832351959
rbf_paired,0.2,0,0.3043614810921417
rbf_unpaired,0.2,0,0.3098242031244487
rbf_combined,0.2,0,0.27291182653709667
rbf_paired,0.2,1,0.30527335438847486
rbf_unpaired,0.2,1,0.3188027218335333
rbf_combined,0.2,1,0.26243270347620534
rbf_paired,0.2,2,0.30995535575918565
rbf_unpaired,0.2,2,0.3124615081531667
rbf_combined,0.2,2,0.26993025830657835
rbf_paired,0.2,3,0.3152373452832288
rbf_unpaired,0.2,3,0.31845890191621473
rbf_combined,0.2,3,0.2608750466191991
rbf_paired,0.2,4,0.30337539193906016
rbf_unpaired,0.2,4,0.30805826105181405
rbf_combined,0.2,4,0.25799155849674693
rbf_paired,0.2,5,0.3025531096655347
rbf_unpaired,0.2,5,0.3082953892843631
rbf_combined,0.2,5,0.2681580792244224
rbf_paired,0.2,6,0.29760457804861806
rbf_unpaired,0.2,6,0.2941726438899983
rbf_combined,0.2,6,0.266272796028777
rbf_paired,0.2,7,0.3145781088080095
rbf_unpaired,0.2,7,0.30779425645356795
rbf_combined,0.2,7,0.2750094159373921
rbf_paired,0.2,8,0.31564121260394784
rbf_unpaired,0.2,8,0.30824910480002915
rbf_combined,0.2,8,0.2441047354223955
rbf_paired,0.2,9,0.305753070542696
rbf_unpaired,0.2,9,0.3025889908017697
rbf_combined,0.2,9,0.2663839901653051
rbf_paired,0.2,10,0.3076155645393109
rbf_unpaired,0.2,10,0.3163375136380162
rbf_combined,0.2,10,0.2564590360814141
rbf_paired,0.2,11,0.3029182870641634
rbf_unpaired,0.2,11,0.2990387033258206
rbf_combined,0.2,11,0.2538318631239354
rbf_paired,0.2,12,0.3188156710855216
rbf_unpaired,0.2,12,0.3204958651410012
rbf_combined,0.2,12,0.27097130862006885
rbf_paired,0.2,13,0.3279248340867191
rbf_unpaired,0.2,13,0.33272490646442077
rbf_combined,0.2,13,0.2664340564501846
rbf_paired,0.2,14,0.3308690436989099
rbf_unpaired,0.2,14,0.31530224899826664
rbf_combined,0.2,14,0.2564420928926311
rbf_paired,0.2,15,0.31329359164081194
rbf_unpaired,0.2,15,0.29747304018854576
rbf_combined,0.2,15,0.26902565212297136
rbf_paired,0.2,16,0.30649536142787154
rbf_unpaired,0.2,16,0.31245888771300373
rbf_combined,0.2,16,0.285275418288544
rbf_paired,0.2,17,0.3141974096870094
rbf_unpaired,0.2,17,0.29887970825206783
rbf_combined,0.2,17,0.2559814822676953
rbf_paired,0.2,18,0.31849241349442625
rbf_unpaired,0.2,18,0.3173730389233449
rbf_combined,0.2,18,0.2569723176540386
rbf_paired,0.2,19,0.3086915399378884
rbf_unpaired,0.2,19,0.30772012775833213
rbf_combined,0.2,19,0.26436669600316137
rbf_paired,0.2,20,0.3100660806683096
rbf_unpaired,0.2,20,0.30921748188388765
rbf_combined,0.2,20,0.2600573784684153
rbf_paired,0.2,21,0.3152669602190954
rbf_unpaired,0.2,21,0.30641524219816135
rbf_combined,0.2,21,0.2641222210948113
rbf_paired,0.2,22,0.2995846029319969
rbf_unpaired,0.2,22,0.30114709943126117
rbf_combined,0.2,22,0.26096954838777875
rbf_paired,0.2,23,0.3037180986686469
rbf_unpaired,0.2,23,0.2937050420435915
rbf_combined,0.2,23,0.2634285312550864
rbf_paired,0.2,24,0.2970293670683274
rbf_unpaired,0.2,24,0.3112520036416015
rbf_combined,0.2,24,0.25888369568135317
rbf_paired,0.3,0,0.3198639411542549
rbf_unpaired,0.3,0,0.31004422922944697
rbf_combined,0.3,0,0.27305266888115565
rbf_paired,0.3,1,0.30951727208647123
rbf_unpaired,0.3,1,0.3173327945049775
rbf_combined,0.3,1,0.24817586550186285
rbf_paired,0.3,2,0.2922757201711208
rbf_unpaired,0.3,2,0.2957099763158131
rbf_combined,0.3,2,0.2364054603046626
rbf_paired,0.3,3,0.30982368137321287
rbf_unpaired,0.3,3,0.31717091000166175
rbf_combined,0.3,3,0.24353997046359227
rbf_paired,0.3,4,0.3056153901540114
rbf_unpaired,0.3,4,0.3001347425979547
rbf_combined,0.3,4,0.267309035566649
rbf_paired,0.3,5,0.30172449386571687
