n_paired,n_unpaired,n_total,n_models,n_queries,seed,method,mae,c
1,0,1,95,437,0,sample,0.3218595688305432,
1,0,1,95,437,0,irt,0.3050253411518662,
1,0,1,95,437,0,dkps,0.19480667065223356,
1,0,1,95,437,0,pkps,0.19480667065223356,0.02
1,0,1,95,437,0,ens,0.17300293569526368,
1,0,1,95,437,1,sample,0.296398891966759,
1,0,1,95,437,1,irt,0.2797254409239277,
1,0,1,95,437,1,dkps,0.1379480227010281,
1,0,1,95,437,1,pkps,0.1379480227010281,0.02
1,0,1,95,437,1,ens,0.1329968824036557,
1,0,1,95,437,2,sample,0.27416596410935806,
1,0,1,95,437,2,irt,0.2568250939493885,
1,0,1,95,437,2,dkps,0.12424063402341157,
1,0,1,95,437,2,pkps,0.12424063402341157,0.02
1,0,1,95,437,2,ens,0.11400435210869973,
1,0,1,95,437,3,sample,0.32691798145248707,
1,0,1,95,437,3,irt,0.3116898413206797,
1,0,1,95,437,3,dkps,0.15883882397731222,
1,0,1,95,437,3,pkps,0.15883882397731222,0.02
1,0,1,95,437,3,ens,0.15651350423051263,
1,0,1,95,437,4,sample,0.29247260026496447,
1,0,1,95,437,4,irt,0.27536030885673174,
1,0,1,95,437,4,dkps,0.14826215117845282,
1,0,1,95,437,4,pkps,0.14826215117845282,0.02
1,0,1,95,437,4,ens,0.1278954227530571,
1,0,1,95,437,5,sample,0.31723473443333733,
1,0,1,95,437,5,irt,0.2992495388580442,
1,0,1,95,437,5,dkps,0.15020336714861068,
1,0,1,95,437,5,pkps,0.15020336714861068,0.02
1,0,1,95,437,5,ens,0.13570359353526998,
1,0,1,95,437,6,sample,0.4571118872696616,
1,0,1,95,437,6,irt,0.4399995958614289,
1,0,1,95,437,6,dkps,0.1443084782682726,
1,0,1,95,437,6,pkps,0.1443084782682726,0.02
1,0,1,95,437,6,ens,0.1443084782682726,
1,0,1,95,437,7,sample,0.49256895098157294,
1,0,1,95,437,7,irt,0.4752280808216035,
1,0,1,95,437,7,dkps,0.15893288387575544,
1,0,1,95,437,7,pkps,0.15893288387575544,0.02
1,0,1,95,437,7,ens,0.15893288387575544,
1,0,1,95,437,8,sample,0.33689028062146215,
1,0,1,95,437,8,irt,0.3215273501986547,
1,0,1,95,437,8,dkps,0.1755122973366226,
1,0,1,95,437,8,pkps,0.1755122973366226,0.02
1,0,1,95,437,8,ens,0.16771912120140542,
1,0,1,95,437,9,sample,0.5968445140310731,
1,0,1,95,437,9,irt,0.5968443701328965,
1,0,1,95,437,9,dkps,0.14149181959565832,
1,0,1,95,437,9,pkps,0.14149181959565832,0.02
1,0,1,95,437,9,ens,0.14149181959565832,
1,0,1,95,437,10,sample,0.28336745754546544,
1,0,1,95,437,10,irt,0.26866966136256043,
1,0,1,95,437,10,dkps,0.14796271012434184,
1,0,1,95,437,10,pkps,0.14796271012434184,0.02
1,0,1,95,437,10,ens,0.130034941420951,
1,0,1,95,437,11,sample,0.2746958930507046,
1,0,1,95,437,11,irt,0.25999809686779957,
1,0,1,95,437,11,dkps,0.1704973352644883,
1,0,1,95,437,11,pkps,0.1704973352644883,0.02
1,0,1,95,437,11,ens,0.1468537482423511,
1,0,1,95,437,12,sample,0.3156208599301457,
1,0,1,95,437,12,irt,0.30159685245269435,
1,0,1,95,437,12,dkps,0.1558002572285752,
1,0,1,95,437,12,pkps,0.1558002572285752,0.02
1,0,1,95,437,12,ens,0.14540900329187717,
1,0,1,95,437,13,sample,0.3248464410454052,
1,0,1,95,437,13,irt,0.3080122133667283,
1,0,1,95,437,13,dkps,0.17247411362771556,
1,0,1,95,437,13,pkps,0.17247411362771556,0.02
1,0,1,95,437,13,ens,0.16349653601575398,
1,0,1,95,437,14,sample,0.31595808743827536,
1,0,1,95,437,14,irt,0.298095028709729,
1,0,1,95,437,14,dkps,0.13266991368408765,
