n_paired,n_unpaired,n_total,n_models,n_queries,seed,method,mae,c
8,8,16,10,437,0,sample,0.05859553775743707,
8,8,16,10,437,0,irt,0.08035673878640935,
8,8,16,10,437,0,dkps,0.29619521718683955,
8,8,16,10,437,0,pkps,0.20386716043271993,0.02
8,8,16,10,437,0,ens,0.05859553775743707,
8,8,16,10,437,1,sample,0.08120709382151028,
8,8,16,10,437,1,irt,0.08889870093252802,
8,8,16,10,437,1,dkps,0.27752672625492825,
8,8,16,10,437,1,pkps,0.16871169203961478,0.02
8,8,16,10,437,1,ens,0.07913985839132984,
8,8,16,10,437,2,sample,0.0721824942791762,
8,8,16,10,437,2,irt,0.1033154116417192,
8,8,16,10,437,2,dkps,0.4512076841042125,
8,8,16,10,437,2,pkps,0.33084471217191047,0.04
8,8,16,10,437,2,ens,0.060227380666764196,
8,8,16,10,437,3,sample,0.0698941647597254,
8,8,16,10,437,3,irt,0.10713326054481023,
8,8,16,10,437,3,dkps,0.3217677016069019,
8,8,16,10,437,3,pkps,0.15780235296782563,0.02
8,8,16,10,437,3,ens,0.06394740748706798,
8,8,16,10,437,4,sample,0.0937929061784897,
8,8,16,10,437,4,irt,0.15961436916875327,
8,8,16,10,437,4,dkps,0.16705830618091572,
8,8,16,10,437,4,pkps,0.1264551019509828,0.01
8,8,16,10,437,4,ens,0.07956468458704746,
8,8,16,10,437,5,sample,0.0947225400457666,
8,8,16,10,437,5,irt,0.12096503006372741,
8,8,16,10,437,5,dkps,0.2579096639030622,
8,8,16,10,437,5,pkps,0.2884575057365974,0.01
8,8,16,10,437,5,ens,0.08208918431100125,
8,8,16,10,437,6,sample,0.06124141876430207,
8,8,16,10,437,6,irt,0.10978259859142585,
8,8,16,10,437,6,dkps,0.08666913671220455,
8,8,16,10,437,6,pkps,0.2685214374767742,0.01
8,8,16,10,437,6,ens,0.05891200115472513,
8,8,16,10,437,7,sample,0.06972254004576658,
8,8,16,10,437,7,irt,0.0960269396506218,
8,8,16,10,437,7,dkps,0.291326127591897,
8,8,16,10,437,7,pkps,0.24495995161138429,0.01
8,8,16,10,437,7,ens,0.06141574816897344,
8,8,16,10,437,8,sample,0.09954233409610984,
8,8,16,10,437,8,irt,0.17794622502035956,
8,8,16,10,437,8,dkps,0.21727857788935828,
8,8,16,10,437,8,pkps,0.2540570442038198,0.01
8,8,16,10,437,8,ens,0.09725262972686691,
8,8,16,10,437,9,sample,0.10778032036613272,
8,8,16,10,437,9,irt,0.11638944904464346,
8,8,16,10,437,9,dkps,0.4976446309953606,
8,8,16,10,437,9,pkps,0.3926649072003928,0.32
8,8,16,10,437,9,ens,0.08471761404144841,
8,8,16,10,437,10,sample,0.0538329519450801,
