n_paired,n_unpaired,n_total,n_models,n_queries,seed,method,mae,c
0,16,16,95,437,0,sample,0.07704745272792965,
0,16,16,95,437,0,irt,0.5815555539384643,
0,16,16,95,437,0,dkps,0.24438044894230168,
0,16,16,95,437,0,pkps,0.15537477512822787,0.02
0,16,16,95,437,0,ens,0.06750646234465195,
0,16,16,95,437,1,sample,0.07507376851740334,
0,16,16,95,437,1,irt,0.23888808128019975,
0,16,16,95,437,1,dkps,0.24286933243828396,
0,16,16,95,437,1,pkps,0.13933631372466374,0.04
0,16,16,95,437,1,ens,0.06468225180173764,
0,16,16,95,437,2,sample,0.08840479344815126,
0,16,16,95,437,2,irt,0.20993501652740773,
0,16,16,95,437,2,dkps,0.2503227196309443,
0,16,16,95,437,2,pkps,0.14653920968288134,0.04
0,16,16,95,437,2,ens,0.07477988785209883,
0,16,16,95,437,3,sample,0.07882994098518607,
0,16,16,95,437,3,irt,0.35690468385887814,
0,16,16,95,437,3,dkps,0.2524241057196485,
0,16,16,95,437,3,pkps,0.16830287046382228,0.32
0,16,16,95,437,3,ens,0.07011546998688152,
0,16,16,95,437,4,sample,0.07454233409610983,
0,16,16,95,437,4,irt,0.19519835275557817,
0,16,16,95,437,4,dkps,0.23782377330301308,
0,16,16,95,437,4,pkps,0.14826454290823324,0.32
0,16,16,95,437,4,ens,0.06641444770509776,
0,16,16,95,437,5,sample,0.08010658798024811,
0,16,16,95,437,5,irt,0.33572199206166364,
0,16,16,95,437,5,dkps,0.2427261089266159,
0,16,16,95,437,5,pkps,0.1523527044506829,0.32
0,16,16,95,437,5,ens,0.07166459330071726,
0,16,16,95,437,6,sample,0.07747500903287968,
0,16,16,95,437,6,irt,0.3304386273551205,
0,16,16,95,437,6,dkps,0.24562408912581513,
0,16,16,95,437,6,pkps,0.15671839391871425,0.32
0,16,16,95,437,6,ens,0.06418707288248163,
0,16,16,95,437,7,sample,0.0820757557509334,
0,16,16,95,437,7,irt,0.39190909298031973,
0,16,16,95,437,7,dkps,0.24683841385986596,
