n_paired,n_unpaired,n_total,n_models,n_queries,seed,method,mae,c
1,0,1,95,678,0,sample,0.12517353072324994,
1,0,1,95,678,0,dkps,0.030769303541345407,
1,0,1,95,678,0,pkps,0.030769303541345407,0.02
1,0,1,95,678,0,ens,0.030769303541345407,
1,0,1,95,678,1,sample,0.10234335220770412,
1,0,1,95,678,1,dkps,0.04755085411197869,
1,0,1,95,678,1,pkps,0.04755085411197869,0.02
1,0,1,95,678,1,ens,0.04755085411197869,
1,0,1,95,678,2,sample,0.08443802110703713,
1,0,1,95,678,2,dkps,0.03126610594565241,
1,0,1,95,678,2,pkps,0.03126610594565241,0.02
1,0,1,95,678,2,ens,0.030478055886106296,
1,0,1,95,678,3,sample,0.44724673850295993,
1,0,1,95,678,3,dkps,0.030796817579140823,
1,0,1,95,678,3,pkps,0.030796817579140823,0.02
1,0,1,95,678,3,ens,0.030796817579140823,
1,0,1,95,678,4,sample,0.14097565016393857,
1,0,1,95,678,4,dkps,0.030842310484297995,
1,0,1,95,678,4,pkps,0.030842310484297995,0.02
1,0,1,95,678,4,ens,0.030842310484297995,
1,0,1,95,678,5,sample,0.1259622518496265,
1,0,1,95,678,5,dkps,0.03586780698965043,
1,0,1,95,678,5,pkps,0.03586780698965043,0.02
1,0,1,95,678,5,ens,0.03586780698965043,
1,0,1,95,678,6,sample,0.08054739618923877,
1,0,1,95,678,6,dkps,0.03660513516082822,
1,0,1,95,678,6,pkps,0.03660513516082822,0.02
1,0,1,95,678,6,ens,0.03482357274782458,
1,0,1,95,678,7,sample,0.1314166192141574,
1,0,1,95,678,7,dkps,0.0367936596941363,
1,0,1,95,678,7,pkps,0.0367936596941363,0.02
1,0,1,95,678,7,ens,0.03648593698344193,
1,0,1,95,678,8,sample,0.08663763578710544,
1,0,1,95,678,8,dkps,0.032369049704508664,
1,0,1,95,678,8,pkps,0.032369049704508664,0.02
1,0,1,95,678,8,ens,0.029673809527238075,
1,0,1,95,678,9,sample,0.2217770948848729,
1,0,1,95,678,9,dkps,0.03499619740810183,
1,0,1,95,678,9,pkps,0.03499619740810183,0.02
1,0,1,95,678,9,ens,0.03499619740810183,
1,0,1,95,678,10,sample,0.08599467906496118,
1,0,1,95,678,10,dkps,0.030905170700360064,
1,0,1,95,678,10,pkps,0.030905170700360064,0.02
1,0,1,95,678,10,ens,0.030459070394269462,
1,0,1,95,678,11,sample,0.0738294838791488,
1,0,1,95,678,11,dkps,0.026228131063281975,
1,0,1,95,678,11,pkps,0.026228131063281975,0.02
1,0,1,95,678,11,ens,0.026033177238672375,
1,0,1,95,678,12,sample,0.0630277348464898,
1,0,1,95,678,12,dkps,0.038358379781108475,
1,0,1,95,678,12,pkps,0.038358379781108475,0.02
1,0,1,95,678,12,ens,0.03564776970313974,
1,0,1,95,678,13,sample,0.08727267300480494,
1,0,1,95,678,13,dkps,0.02861323666078981,
