n_paired,n_unpaired,n_total,n_models,n_queries,seed,method,mae,c
8,8,16,10,678,0,sample,0.039263513361217764,
8,8,16,10,678,0,dkps,0.07868348456379598,
8,8,16,10,678,0,pkps,0.07868327741619817,0.05
8,8,16,10,678,0,ens,0.039263513361217764,
8,8,16,10,678,1,sample,0.05053046829326187,
8,8,16,10,678,1,dkps,0.04132458335120702,
8,8,16,10,678,1,pkps,0.040505184580678893,1.0
8,8,16,10,678,1,ens,0.025162103473671378,
8,8,16,10,678,2,sample,0.03565428725357005,
8,8,16,10,678,2,dkps,0.028893179202978837,
8,8,16,10,678,2,pkps,0.02857083172229824,1.0
8,8,16,10,678,2,ens,0.025789083554178648,
8,8,16,10,678,3,sample,0.03500106383811381,
8,8,16,10,678,3,dkps,0.04722129743251446,
8,8,16,10,678,3,pkps,0.04722129743251351,0.02
8,8,16,10,678,3,ens,0.03199272011919704,
8,8,16,10,678,4,sample,0.022842555370699236,
8,8,16,10,678,4,dkps,0.026490924315632536,
8,8,16,10,678,4,pkps,0.025785272008475968,0.20000000000000004
8,8,16,10,678,4,ens,0.018584000034956027,
8,8,16,10,678,5,sample,0.027872588332383718,
8,8,16,10,678,5,dkps,0.05871810642200587,
8,8,16,10,678,5,pkps,0.05607155722337971,0.2
8,8,16,10,678,5,ens,0.027872588332383718,
8,8,16,10,678,6,sample,0.026955870752748644,
8,8,16,10,678,6,dkps,0.03838397494830299,
8,8,16,10,678,6,pkps,0.03837672485505865,0.05
8,8,16,10,678,6,ens,0.019459603505930102,
8,8,16,10,678,7,sample,0.04967500237666568,
8,8,16,10,678,7,dkps,0.0546332192204257,
8,8,16,10,678,7,pkps,0.049059492850094165,0.1
8,8,16,10,678,7,ens,0.036641928291672385,
8,8,16,10,678,8,sample,0.0408858575425062,
8,8,16,10,678,8,dkps,0.027609294478551448,
8,8,16,10,678,8,pkps,0.02480558827912006,0.2
8,8,16,10,678,8,ens,0.02007034979545621,
8,8,16,10,678,9,sample,0.022916876104450767,
8,8,16,10,678,9,dkps,0.020597282140835903,
8,8,16,10,678,9,pkps,0.019914867085895092,0.05
8,8,16,10,678,9,ens,0.01573898021287625,
8,8,16,10,678,10,sample,0.03490613684178825,
8,8,16,10,678,10,dkps,0.018178847078118933,
8,8,16,10,678,10,pkps,0.016895738764549185,5.0
8,8,16,10,678,10,ens,0.012958422784078893,
8,8,16,10,678,11,sample,0.05255501766424694,
8,8,16,10,678,11,dkps,0.05168746788447417,
8,8,16,10,678,11,pkps,0.05160722355843463,1.0
8,8,16,10,678,11,ens,0.043560019461107345,
8,8,16,10,678,12,sample,0.033668439305982636,
8,8,16,10,678,12,dkps,0.03496765157943589,
8,8,16,10,678,12,pkps,0.034337428215051466,0.1
8,8,16,10,678,12,ens,0.011014472541861099,
8,8,16,10,678,13,sample,0.031086104574916618,
8,8,16,10,678,13,dkps,0.040650275767723745,
8,8,16,10,678,13,pkps,0.040650275767723745,0.02
8,8,16,10,678,13,ens,0.024588674644431995,
8,8,16,10,678,14,sample,0.017532878689998376,
8,8,16,10,678,14,dkps,0.020654743980350176,
8,8,16,10,678,14,pkps,0.020506811015799885,0.20000000000000004
8,8,16,10,678,14,ens,0.011330506110392002,
8,8,16,10,678,15,sample,0.033300597054303015,
8,8,16,10,678,15,dkps,0.03837101603881974,
8,8,16,10,678,15,pkps,0.03789427796772321,2.0
8,8,16,10,678,15,ens,0.015870822065277602,
8,8,16,10,678,16,sample,0.02520964979475323,
8,8,16,10,678,16,dkps,0.031236097648068707,
8,8,16,10,678,16,pkps,0.02947648472248967,0.20000000000000004
8,8,16,10,678,16,ens,0.023609090456851944,
8,8,16,10,678,17,sample,0.04368766848345739,
8,8,16,10,678,17,dkps,0.060852928644178725,
8,8,16,10,678,17,pkps,0.06085265871545037,0.05
8,8,16,10,678,17,ens,0.0421920367707198,
8,8,16,10,678,18,sample,0.05343674940718024,
8,8,16,10,678,18,dkps,0.0327037508235757,
8,8,16,10,678,18,pkps,0.03234979291720489,1.0
8,8,16,10,678,18,ens,0.03234979291720489,
8,8,16,10,678,19,sample,0.052117273216238845,
8,8,16,10,678,19,dkps,0.020519353210417913,
8,8,16,10,678,19,pkps,0.019183821902068132,5.0
8,8,16,10,678,19,ens,0.019183821902068132,
8,8,16,20,678,0,sample,0.025737311891353358,
8,8,16,20,678,0,dkps,0.04216668792460406,
8,8,16,20,678,0,pkps,0.04110962204187744,0.1
8,8,16,20,678,0,ens,0.025737311891353358,
8,8,16,20,678,1,sample,0.018053600972241526,
8,8,16,20,678,1,dkps,0.041013444777692774,
8,8,16,20,678,1,pkps,0.039360841250384845,2.0
8,8,16,20,678,1,ens,0.017142895263126547,
8,8,16,20,678,2,sample,0.03397006021990218,
8,8,16,20,678,2,dkps,0.03006434678785181,
8,8,16,20,678,2,pkps,0.02978056680391768,0.5
8,8,16,20,678,2,ens,0.02519527427669759,
8,8,16,20,678,3,sample,0.03470688222785972,
8,8,16,20,678,3,dkps,0.039007333908396655,
8,8,16,20,678,3,pkps,0.038941896293986526,0.1
8,8,16,20,678,3,ens,0.027900567969173767,
8,8,16,20,678,4,sample,0.06000146463110252,
8,8,16,20,678,4,dkps,0.025308941652269813,
8,8,16,20,678,4,pkps,0.025257222805140277,0.1
8,8,16,20,678,4,ens,0.022329315383082214,
8,8,16,20,678,5,sample,0.030818671775141436,
8,8,16,20,678,5,dkps,0.036221012629055443,
8,8,16,20,678,5,pkps,0.03217353133889834,5.0
8,8,16,20,678,5,ens,0.02370849520569491,
8,8,16,20,678,6,sample,0.04616388118140431,
8,8,16,20,678,6,dkps,0.035504736100093394,
8,8,16,20,678,6,pkps,0.035384793879702205,0.1
8,8,16,20,678,6,ens,0.03127184769161846,
8,8,16,20,678,7,sample,0.03203542064415644,
8,8,16,20,678,7,dkps,0.03529563922091145,
8,8,16,20,678,7,pkps,0.03512812290285503,0.05
8,8,16,20,678,7,ens,0.02026278555643025,
8,8,16,20,678,8,sample,0.05165638677757058,
8,8,16,20,678,8,dkps,0.03960310601426687,
8,8,16,20,678,8,pkps,0.0393839789703546,0.10000000000000002
8,8,16,20,678,8,ens,0.032236496069476796,
