n_paired,n_unpaired,n_total,n_models,n_queries,seed,method,mae,c
0,16,16,95,678,0,sample,0.03881085618884133,
0,16,16,95,678,0,dkps,0.055009331975658014,
0,16,16,95,678,0,pkps,0.039807556673410766,2.0
0,16,16,95,678,0,ens,0.02999221977239422,
0,16,16,95,678,1,sample,0.03678589321907903,
0,16,16,95,678,1,dkps,0.06120790959706987,
0,16,16,95,678,1,pkps,0.03829221174305703,5.0
0,16,16,95,678,1,ens,0.02613580910755401,
0,16,16,95,678,2,sample,0.03611457502280688,
0,16,16,95,678,2,dkps,0.05894514661777103,
0,16,16,95,678,2,pkps,0.03947335379572324,1.0
0,16,16,95,678,2,ens,0.027510420267005876,
0,16,16,95,678,3,sample,0.03493475482082002,
0,16,16,95,678,3,dkps,0.058351202395782474,
0,16,16,95,678,3,pkps,0.03954623098169294,0.5
0,16,16,95,678,3,ens,0.027670742587768294,
0,16,16,95,678,4,sample,0.04115708923338386,
0,16,16,95,678,4,dkps,0.059844267881929855,
0,16,16,95,678,4,pkps,0.040627604969591564,1.0
0,16,16,95,678,4,ens,0.03319534010144634,
0,16,16,95,678,5,sample,0.03363802498205018,
0,16,16,95,678,5,dkps,0.0637134438626992,
0,16,16,95,678,5,pkps,0.03867229797794835,2.0
0,16,16,95,678,5,ens,0.02368959546491126,
0,16,16,95,678,6,sample,0.036327094168658175,
0,16,16,95,678,6,dkps,0.05995242649375736,
0,16,16,95,678,6,pkps,0.03811115059675362,1.0
0,16,16,95,678,6,ens,0.028304064640033585,
0,16,16,95,678,7,sample,0.03440295204845383,
0,16,16,95,678,7,dkps,0.055270817472779,
0,16,16,95,678,7,pkps,0.03734315908748729,1.0
0,16,16,95,678,7,ens,0.026299130029390213,
0,16,16,95,678,8,sample,0.03674029972260358,
0,16,16,95,678,8,dkps,0.04898746092051668,
0,16,16,95,678,8,pkps,0.034540897477906916,2.0
0,16,16,95,678,8,ens,0.027921273972231344,
0,16,16,95,678,9,sample,0.035789485883050046,
0,16,16,95,678,9,dkps,0.05841208479794833,
0,16,16,95,678,9,pkps,0.04037807182362768,5.0
0,16,16,95,678,9,ens,0.03025307975584627,
0,16,16,95,678,10,sample,0.03757213427232311,
0,16,16,95,678,10,dkps,0.061233728684232325,
0,16,16,95,678,10,pkps,0.04087964429262688,1.0
0,16,16,95,678,10,ens,0.02751689395380508,
