obs_prob,n_models,seed,method,mae,predictor,alpha
0.3,10,0,combined,0.11159757012347424,knn,1.0
0.3,10,0,matcomplete,0.36599394308636773,knn,1.0
0.3,10,0,ensemble,0.11159757012347424,knn,1.0
0.3,10,1,combined,0.11755223813109257,knn,0.0
0.3,10,1,matcomplete,0.2469841585174772,knn,0.0
0.3,10,1,ensemble,0.2469841585174772,knn,0.0
0.3,10,2,combined,0.11198645035514361,knn,0.0
0.3,10,2,matcomplete,0.2790483076098252,knn,0.0
0.3,10,2,ensemble,0.21267319100141385,knn,0.0
0.3,10,3,combined,0.1061607896005131,knn,1.0
0.3,10,3,matcomplete,0.1871839257278957,knn,1.0
0.3,10,3,ensemble,0.1061607896005131,knn,1.0
0.3,10,4,combined,0.12091271909350176,knn,1.0
0.3,10,4,matcomplete,0.256812480244655,knn,1.0
0.3,10,4,ensemble,0.12091271909350176,knn,1.0
0.3,10,5,combined,0.08925091376324396,knn,1.0
0.3,10,5,matcomplete,0.21785434069576348,knn,1.0
0.3,10,5,ensemble,0.08925091376324396,knn,1.0
0.3,10,6,combined,0.1605908604276572,knn,1.0
0.3,10,6,matcomplete,0.172055362830469,knn,1.0
0.3,10,6,ensemble,0.1605908604276572,knn,1.0
0.3,10,7,combined,0.09965329299205283,knn,1.0
0.3,10,7,matcomplete,0.15814109722096903,knn,1.0
0.3,10,7,ensemble,0.09965329299205283,knn,1.0
0.3,10,8,combined,0.11611768599295172,knn,1.0
0.3,10,8,matcomplete,0.15257456182292004,knn,1.0
0.3,10,8,ensemble,0.11611768599295172,knn,1.0
0.3,10,9,combined,0.11406304303547714,knn,0.0
0.3,10,9,matcomplete,0.22569737982803995,knn,0.0
0.3,10,9,ensemble,0.22569737982803995,knn,0.0
0.3,10,10,combined,0.08156963697616841,knn,0.0
0.3,10,10,matcomplete,0.2414217263987576,knn,0.0
0.3,10,10,ensemble,0.2800602724536127,knn,0.0
0.3,10,11,combined,0.08262284101229402,knn,1.0
0.3,10,11,matcomplete,0.19980294395377327,knn,1.0
0.3,10,11,ensemble,0.08262284101229402,knn,1.0
0.3,10,12,combined,0.12127574256497375,knn,1.0
0.3,10,12,matcomplete,0.19082498254244862,knn,1.0
0.3,10,12,ensemble,0.12127574256497375,knn,1.0
0.3,10,13,combined,0.09650863421358531,knn,1.0
0.3,10,13,matcomplete,0.206899474236264,knn,1.0
0.3,10,13,ensemble,0.09650863421358531,knn,1.0
0.3,10,14,combined,0.14961599435227524,knn,1.0
0.3,10,14,matcomplete,0.19908612225068908,knn,1.0
0.3,10,14,ensemble,0.14961599435227524,knn,1.0
0.3,10,15,combined,0.09252313672483857,knn,0.0
0.3,10,15,matcomplete,0.2310613052005833,knn,0.0
0.3,10,15,ensemble,0.2197639034351072,knn,0.0
0.3,10,16,combined,0.08185192251081863,knn,1.0
0.3,10,16,matcomplete,0.2697041413687956,knn,1.0
0.3,10,16,ensemble,0.08185192251081863,knn,1.0
0.3,10,17,combined,0.11368700170453876,knn,1.0
0.3,10,17,matcomplete,0.24553677127548812,knn,1.0
0.3,10,17,ensemble,0.11368700170453876,knn,1.0
0.3,10,18,combined,0.09926494727692685,knn,0.0
0.3,10,18,matcomplete,0.25439120283075795,knn,0.0
0.3,10,18,ensemble,0.25439120283075795,knn,0.0
0.3,10,19,combined,0.12985481508982155,knn,1.0
0.3,10,19,matcomplete,0.1594057696619346,knn,1.0
0.3,10,19,ensemble,0.12985481508982155,knn,1.0
0.3,20,0,combined,0.1048682784324437,knn,0.8
0.3,20,0,matcomplete,0.13707843484772925,knn,0.8
0.3,20,0,ensemble,0.10346956122685043,knn,0.8
0.3,20,1,combined,0.08060250235924846,knn,1.0
0.3,20,1,matcomplete,0.16755930111790276,knn,1.0
0.3,20,1,ensemble,0.08060250235924846,knn,1.0
0.3,20,2,combined,0.09636692596718004,knn,0.9500000000000001
0.3,20,2,matcomplete,0.17869998079474364,knn,0.9500000000000001
0.3,20,2,ensemble,0.09489296878155183,knn,0.9500000000000001
0.3,20,3,combined,0.0931975898759756,knn,1.0
0.3,20,3,matcomplete,0.14545667016927213,knn,1.0
0.3,20,3,ensemble,0.0931975898759756,knn,1.0
0.3,20,4,combined,0.09040397785710305,knn,1.0
0.3,20,4,matcomplete,0.15130808276635305,knn,1.0
0.3,20,4,ensemble,0.09040397785710305,knn,1.0
0.3,20,5,combined,0.10317612614029888,knn,1.0
0.3,20,5,matcomplete,0.16151169977151528,knn,1.0
0.3,20,5,ensemble,0.10317612614029888,knn,1.0
0.3,20,6,combined,0.10983877948159973,knn,0.8500000000000001
0.3,20,6,matcomplete,0.157436038653303,knn,0.8500000000000001
0.3,20,6,ensemble,0.10300900355959991,knn,0.8500000000000001
0.3,20,7,combined,0.1182126510360211,knn,0.7000000000000001
0.3,20,7,matcomplete,0.117723334980637,knn,0.7000000000000001
0.3,20,7,ensemble,0.09650005236686635,knn,0.7000000000000001
0.3,20,8,combined,0.10010585024562867,knn,0.65
0.3,20,8,matcomplete,0.10714461023677842,knn,0.65
0.3,20,8,ensemble,0.09108806275542555,knn,0.65
0.3,20,9,combined,0.11093991119811918,knn,1.0
0.3,20,9,matcomplete,0.14111278241967512,knn,1.0
0.3,20,9,ensemble,0.11093991119811918,knn,1.0
0.3,20,10,combined,0.10119286543624875,knn,0.9500000000000001
0.3,20,10,matcomplete,0.151033324371306,knn,0.9500000000000001
0.3,20,10,ensemble,0.0971024321442075,knn,0.9500000000000001
0.3,20,11,combined,0.09879363413915168,knn,0.8
0.3,20,11,matcomplete,0.12604882082877508,knn,0.8
0.3,20,11,ensemble,0.09130156560639248,knn,0.8
0.3,20,12,combined,0.09168443989197313,knn,0.8
0.3,20,12,matcomplete,0.1084032353630921,knn,0.8
0.3,20,12,ensemble,0.08736479784646657,knn,0.8
0.3,20,13,combined,0.10664391880657165,knn,1.0
0.3,20,13,matcomplete,0.14459076026835485,knn,1.0
0.3,20,13,ensemble,0.10664391880657165,knn,1.0
0.3,20,14,combined,0.09997433834383036,knn,0.55
0.3,20,14,matcomplete,0.12340179962982757,knn,0.55
0.3,20,14,ensemble,0.09802435849759417,knn,0.55
0.3,20,15,combined,0.09109752830278169,knn,0.65
0.3,20,15,matcomplete,0.15733449198697808,knn,0.65
0.3,20,15,ensemble,0.10610885608523887,knn,0.65
0.3,20,16,combined,0.09986665739810852,knn,1.0
0.3,20,16,matcomplete,0.1813182743087289,knn,1.0
0.3,20,16,ensemble,0.09986665739810852,knn,1.0
0.3,20,17,combined,0.11696334020549995,knn,1.0
0.3,20,17,matcomplete,0.18420466664538487,knn,1.0
0.3,20,17,ensemble,0.11696334020549995,knn,1.0
0.3,20,18,combined,0.11892905388687358,knn,0.8500000000000001
0.3,20,18,matcomplete,0.14097714455890548,knn,0.8500000000000001
0.3,20,18,ensemble,0.11610459480320105,knn,0.8500000000000001
0.3,20,19,combined,0.0833188734463701,knn,1.0
0.3,20,19,matcomplete,0.12380058890045383,knn,1.0
0.3,20,19,ensemble,0.0833188734463701,knn,1.0
0.3,40,0,combined,0.1016256993989491,knn,0.65
0.3,40,0,matcomplete,0.08949388286360899,knn,0.65
0.3,40,0,ensemble,0.08254401850251229,knn,0.65
0.3,40,1,combined,0.09344838291826123,knn,0.55
0.3,40,1,matcomplete,0.10247779711660925,knn,0.55
0.3,40,1,ensemble,0.08406060367309146,knn,0.55
0.3,40,2,combined,0.08941984910717808,knn,0.8500000000000001
0.3,40,2,matcomplete,0.10213944061977154,knn,0.8500000000000001
0.3,40,2,ensemble,0.08340137603175264,knn,0.8500000000000001
0.3,40,3,combined,0.11984366530958616,knn,0.75
0.3,40,3,matcomplete,0.09255641372460732,knn,0.75
0.3,40,3,ensemble,0.09962926398350695,knn,0.75
0.3,40,4,combined,0.09180682435636217,knn,0.45
0.3,40,4,matcomplete,0.13667716970778263,knn,0.45
0.3,40,4,ensemble,0.09713758428579058,knn,0.45
0.3,40,5,combined,0.08604009597755513,knn,0.8
0.3,40,5,matcomplete,0.12009310067671027,knn,0.8
0.3,40,5,ensemble,0.08177276180013675,knn,0.8
0.3,40,6,combined,0.10866574675924472,knn,0.9500000000000001
0.3,40,6,matcomplete,0.15424821402342623,knn,0.9500000000000001
0.3,40,6,ensemble,0.10632057390362758,knn,0.9500000000000001
0.3,40,7,combined,0.10202978517277016,knn,0.6000000000000001
0.3,40,7,matcomplete,0.08081431480065185,knn,0.6000000000000001
0.3,40,7,ensemble,0.0879072497625431,knn,0.6000000000000001
0.3,40,8,combined,0.11363398504660918,knn,0.75
0.3,40,8,matcomplete,0.12474807511885365,knn,0.75
0.3,40,8,ensemble,0.108129965039338,knn,0.75
0.3,40,9,combined,0.09530758823833384,knn,0.45
0.3,40,9,matcomplete,0.12215180638170488,knn,0.45
0.3,40,9,ensemble,0.09745084587327892,knn,0.45
0.3,40,10,combined,0.0872856207882889,knn,0.7000000000000001
0.3,40,10,matcomplete,0.10264079506634241,knn,0.7000000000000001
0.3,40,10,ensemble,0.0815424523487798,knn,0.7000000000000001
0.3,40,11,combined,0.08318749085903808,knn,0.75
0.3,40,11,matcomplete,0.11801122465823818,knn,0.75
0.3,40,11,ensemble,0.08014154112097574,knn,0.75
0.3,40,12,combined,0.10199498322096907,knn,0.4
0.3,40,12,matcomplete,0.11253718449755652,knn,0.4
0.3,40,12,ensemble,0.09871225573400387,knn,0.4
0.3,40,13,combined,0.10183920683105528,knn,0.6000000000000001
0.3,40,13,matcomplete,0.13277428495247187,knn,0.6000000000000001
0.3,40,13,ensemble,0.0988510713843293,knn,0.6000000000000001
0.3,40,14,combined,0.09620480549111445,knn,0.8500000000000001
0.3,40,14,matcomplete,0.1336057555009891,knn,0.8500000000000001
0.3,40,14,ensemble,0.09389087387122462,knn,0.8500000000000001
0.3,40,15,combined,0.1096253434965674,knn,0.6000000000000001
0.3,40,15,matcomplete,0.15445634291797855,knn,0.6000000000000001
0.3,40,15,ensemble,0.10368390795232402,knn,0.6000000000000001
0.3,40,16,combined,0.10134257031178294,knn,0.55
