obs_prob,n_models,query_obs,seed,method,mae,predictor,alpha
0.4,95,1,0,combined,0.2986072603176528,knn,1.0
0.4,95,1,0,matcomplete,0.3025809274575386,knn,1.0
0.4,95,1,0,ensemble,0.2986072603176528,knn,1.0
0.4,95,1,1,combined,0.270802357617827,knn,0.0
0.4,95,1,1,matcomplete,0.2871733670576177,knn,0.0
0.4,95,1,1,ensemble,0.2871733670576177,knn,0.0
0.4,95,1,2,combined,0.29584054098051255,knn,1.0
0.4,95,1,2,matcomplete,0.32028800383994704,knn,1.0
0.4,95,1,2,ensemble,0.29584054098051255,knn,1.0
0.4,95,1,3,combined,0.28413690351267423,knn,1.0
0.4,95,1,3,matcomplete,0.323956258088949,knn,1.0
0.4,95,1,3,ensemble,0.28413690351267423,knn,1.0
0.4,95,1,4,combined,0.29990265832711316,knn,0.0
0.4,95,1,4,matcomplete,0.32191844295161526,knn,0.0
0.4,95,1,4,ensemble,0.32191844295161526,knn,0.0
0.4,95,1,5,combined,0.29427466744734526,knn,1.0
0.4,95,1,5,matcomplete,0.3147962801716606,knn,1.0
0.4,95,1,5,ensemble,0.29427466744734526,knn,1.0
0.4,95,1,6,combined,0.3216363194746912,knn,0.0
0.4,95,1,6,matcomplete,0.3313249139159211,knn,0.0
0.4,95,1,6,ensemble,0.3313249139159211,knn,0.0
0.4,95,1,7,combined,0.3092803823074682,knn,1.0
0.4,95,1,7,matcomplete,0.3258109908719255,knn,1.0
0.4,95,1,7,ensemble,0.3092803823074682,knn,1.0
0.4,95,1,8,combined,0.32129544957995637,knn,1.0
0.4,95,1,8,matcomplete,0.32451457516087123,knn,1.0
0.4,95,1,8,ensemble,0.32129544957995637,knn,1.0
0.4,95,1,9,combined,0.2854372753237638,knn,0.0
0.4,95,1,9,matcomplete,0.30274285914902604,knn,0.0
0.4,95,1,9,ensemble,0.30274285914902604,knn,0.0
0.4,95,1,10,combined,0.288627256677416,knn,0.0
0.4,95,1,10,matcomplete,0.3044909820132114,knn,0.0
0.4,95,1,10,ensemble,0.3044909820132114,knn,0.0
0.4,95,1,11,combined,0.2781046462803979,knn,0.0
0.4,95,1,11,matcomplete,0.30328791741247035,knn,0.0
0.4,95,1,11,ensemble,0.30328791741247035,knn,0.0
0.4,95,1,12,combined,0.27885279794057166,knn,1.0
0.4,95,1,12,matcomplete,0.29586351959533924,knn,1.0
0.4,95,1,12,ensemble,0.27885279794057166,knn,1.0
0.4,95,1,13,combined,0.28138022941126717,knn,1.0
0.4,95,1,13,matcomplete,0.3149093785627209,knn,1.0
0.4,95,1,13,ensemble,0.28138022941126717,knn,1.0
0.4,95,1,14,combined,0.28845909587362506,knn,0.0
0.4,95,1,14,matcomplete,0.31081380208482196,knn,0.0
0.4,95,1,14,ensemble,0.31081380208482196,knn,0.0
0.4,95,2,0,combined,0.2441775281327646,knn,0.15000000000000002
0.4,95,2,0,matcomplete,0.2386094251005411,knn,0.15000000000000002
0.4,95,2,0,ensemble,0.23268651510569907,knn,0.15000000000000002
0.4,95,2,1,combined,0.22847783530149204,knn,0.45
0.4,95,2,1,matcomplete,0.2503573976455385,knn,0.45
0.4,95,2,1,ensemble,0.21881900196179796,knn,0.45
0.4,95,2,2,combined,0.2223222356904528,knn,0.6000000000000001
0.4,95,2,2,matcomplete,0.2431100248908138,knn,0.6000000000000001
0.4,95,2,2,ensemble,0.2064617534822673,knn,0.6000000000000001
0.4,95,2,3,combined,0.23861778804040923,knn,0.55
0.4,95,2,3,matcomplete,0.2363525651528606,knn,0.55
0.4,95,2,3,ensemble,0.21918457322669802,knn,0.55
0.4,95,2,4,combined,0.24583928590641274,knn,0.55
0.4,95,2,4,matcomplete,0.2515353991125774,knn,0.55
0.4,95,2,4,ensemble,0.22105412420342394,knn,0.55
0.4,95,2,5,combined,0.24537606570429993,knn,0.5
0.4,95,2,5,matcomplete,0.2632039219265071,knn,0.5
0.4,95,2,5,ensemble,0.2378851070677851,knn,0.5
0.4,95,2,6,combined,0.23156518488266523,knn,0.55
0.4,95,2,6,matcomplete,0.25082798654827587,knn,0.55
