obs_prob,n_models,seed,method,mae,predictor,alpha
0.1,95,0,combined,0.12793635431678,knn,0.35000000000000003
0.1,95,0,matcomplete,0.13723637652340756,knn,0.35000000000000003
0.1,95,0,ensemble,0.10747198970037068,knn,0.35000000000000003
0.1,95,1,combined,0.11751142710949802,knn,0.8500000000000001
0.1,95,1,matcomplete,0.11213835120176568,knn,0.8500000000000001
0.1,95,1,ensemble,0.1114176728515264,knn,0.8500000000000001
0.1,95,2,combined,0.11602882034085422,knn,0.1
0.1,95,2,matcomplete,0.11923100833350662,knn,0.1
0.1,95,2,ensemble,0.11295665980684699,knn,0.1
0.1,95,3,combined,0.11032423821342363,knn,1.0
0.1,95,3,matcomplete,0.1214065393665175,knn,1.0
0.1,95,3,ensemble,0.11032423821342363,knn,1.0
0.1,95,4,combined,0.11860680252088308,knn,0.35000000000000003
0.1,95,4,matcomplete,0.12351267118215278,knn,0.35000000000000003
0.1,95,4,ensemble,0.09786277076088827,knn,0.35000000000000003
0.1,95,5,combined,0.12494740753274462,knn,0.65
0.1,95,5,matcomplete,0.13843187721609024,knn,0.65
0.1,95,5,ensemble,0.11078292530530261,knn,0.65
0.1,95,6,combined,0.11913872482400252,knn,0.8
0.1,95,6,matcomplete,0.10308983630052078,knn,0.8
0.1,95,6,ensemble,0.11220708982781608,knn,0.8
0.1,95,7,combined,0.12624570176676483,knn,0.6000000000000001
0.1,95,7,matcomplete,0.14138114703178956,knn,0.6000000000000001
0.1,95,7,ensemble,0.10265496207810426,knn,0.6000000000000001
0.1,95,8,combined,0.1294496684608513,knn,0.5
0.1,95,8,matcomplete,0.12312731357021031,knn,0.5
0.1,95,8,ensemble,0.10005894411510052,knn,0.5
0.1,95,9,combined,0.1295413078738731,knn,0.5
0.1,95,9,matcomplete,0.11832316520693126,knn,0.5
0.1,95,9,ensemble,0.11429080113061175,knn,0.5
0.1,95,10,combined,0.11559744054738466,knn,0.65
0.1,95,10,matcomplete,0.09429393866590173,knn,0.65
