obs_prob,n_models,seed,method,mae,predictor,alpha
0.3,10,0,combined,0.19690312158845671,knn,1.0
0.3,10,0,matcomplete,0.18241386407309357,knn,1.0
0.3,10,0,ensemble,0.19690312158845671,knn,1.0
0.3,10,1,combined,0.133341027917747,knn,0.0
0.3,10,1,matcomplete,0.14479225791472544,knn,0.0
0.3,10,1,ensemble,0.14804899525350415,knn,0.0
0.3,10,2,combined,0.19966110328627942,knn,1.0
0.3,10,2,matcomplete,0.1532872566786461,knn,1.0
0.3,10,2,ensemble,0.19966110328627942,knn,1.0
0.3,10,3,combined,0.12988529192136875,knn,0.0
0.3,10,3,matcomplete,0.20698822397851122,knn,0.0
0.3,10,3,ensemble,0.23231279214266787,knn,0.0
0.3,10,4,combined,0.18824625819853505,knn,0.0
0.3,10,4,matcomplete,0.15176285445049142,knn,0.0
0.3,10,4,ensemble,0.15168686543198495,knn,0.0
0.3,10,5,combined,0.16778883522269059,knn,0.0
0.3,10,5,matcomplete,0.19340706138318586,knn,0.0
0.3,10,5,ensemble,0.1697468395474755,knn,0.0
0.3,10,6,combined,0.1683777691877217,knn,1.0
0.3,10,6,matcomplete,0.12456945410239711,knn,1.0
0.3,10,6,ensemble,0.1683777691877217,knn,1.0
0.3,10,7,combined,0.16007105595297672,knn,1.0
0.3,10,7,matcomplete,0.2025241367163775,knn,1.0
0.3,10,7,ensemble,0.16007105595297672,knn,1.0
0.3,10,8,combined,0.12248011571446642,knn,0.8
0.3,10,8,matcomplete,0.11980114256857174,knn,0.8
0.3,10,8,ensemble,0.11198108844898354,knn,0.8
0.3,10,9,combined,0.15519738837969482,knn,0.0
0.3,10,9,matcomplete,0.12864310938044438,knn,0.0
0.3,10,9,ensemble,0.13052212293993437,knn,0.0
0.3,10,10,combined,0.14759605163497366,knn,0.0
0.3,10,10,matcomplete,0.15398040353816334,knn,0.0
0.3,10,10,ensemble,0.13938795707488905,knn,0.0
0.3,10,11,combined,0.10590358690371882,knn,0.65
0.3,10,11,matcomplete,0.14140303972144241,knn,0.65
0.3,10,11,ensemble,0.10100197892679567,knn,0.65
0.3,10,12,combined,0.11451084273239286,knn,0.5
0.3,10,12,matcomplete,0.1856744586739131,knn,0.5
0.3,10,12,ensemble,0.10116450933204985,knn,0.5
0.3,10,13,combined,0.20118848618081447,knn,1.0
0.3,10,13,matcomplete,0.2789077247919956,knn,1.0
0.3,10,13,ensemble,0.20118848618081447,knn,1.0
0.3,10,14,combined,0.1343567632877409,knn,0.1
0.3,10,14,matcomplete,0.14858939747453204,knn,0.1
0.3,10,14,ensemble,0.129607465667161,knn,0.1
0.3,10,15,combined,0.14009313187485423,knn,1.0
0.3,10,15,matcomplete,0.16389897774930004,knn,1.0
0.3,10,15,ensemble,0.14009313187485423,knn,1.0
0.3,10,16,combined,0.18647365313211786,knn,0.0
0.3,10,16,matcomplete,0.162569632761452,knn,0.0
0.3,10,16,ensemble,0.07405724788244525,knn,0.0
0.3,10,17,combined,0.1370229070452241,knn,1.0
0.3,10,17,matcomplete,0.19554221254817764,knn,1.0
0.3,10,17,ensemble,0.1370229070452241,knn,1.0
0.3,10,18,combined,0.14445249001335195,knn,1.0
0.3,10,18,matcomplete,0.19513774649583457,knn,1.0
0.3,10,18,ensemble,0.14445249001335195,knn,1.0
0.3,10,19,combined,0.14024153318431973,knn,0.0
0.3,10,19,matcomplete,0.13316927464362516,knn,0.0
0.3,10,19,ensemble,0.1356359680357212,knn,0.0
0.3,20,0,combined,0.14528693834454504,knn,0.65
0.3,20,0,matcomplete,0.1018497238963632,knn,0.65
0.3,20,0,ensemble,0.11826475695416658,knn,0.65
0.3,20,1,combined,0.15424149025590864,knn,0.1
0.3,20,1,matcomplete,0.12902720995895922,knn,0.1
0.3,20,1,ensemble,0.1206521276182037,knn,0.1
0.3,20,2,combined,0.135861333471657,knn,0.35000000000000003
0.3,20,2,matcomplete,0.10733646076777137,knn,0.35000000000000003
0.3,20,2,ensemble,0.10532473299922852,knn,0.35000000000000003
0.3,20,3,combined,0.15388828247937905,knn,0.25
0.3,20,3,matcomplete,0.1653892583150765,knn,0.25
0.3,20,3,ensemble,0.14782611538597523,knn,0.25
0.3,20,4,combined,0.1464416721671953,knn,0.1
0.3,20,4,matcomplete,0.12797856545962963,knn,0.1
0.3,20,4,ensemble,0.12170526239640611,knn,0.1
0.3,20,5,combined,0.16608961277177103,knn,0.7000000000000001
0.3,20,5,matcomplete,0.16088904287713549,knn,0.7000000000000001
0.3,20,5,ensemble,0.1495675286649758,knn,0.7000000000000001
0.3,20,6,combined,0.131633919845997,knn,0.8
0.3,20,6,matcomplete,0.1423352630455141,knn,0.8
0.3,20,6,ensemble,0.12403446915202836,knn,0.8
0.3,20,7,combined,0.14920729359635684,knn,0.2
0.3,20,7,matcomplete,0.13362954925415452,knn,0.2
0.3,20,7,ensemble,0.1275971296496857,knn,0.2
0.3,20,8,combined,0.13243968709482903,knn,0.8
0.3,20,8,matcomplete,0.13727373124396539,knn,0.8
0.3,20,8,ensemble,0.11959619294337315,knn,0.8
0.3,20,9,combined,0.1644893887792467,knn,0.05
0.3,20,9,matcomplete,0.14232535013714576,knn,0.05
0.3,20,9,ensemble,0.1391266100776796,knn,0.05
0.3,20,10,combined,0.1438246839650034,knn,0.45
0.3,20,10,matcomplete,0.12436710532579766,knn,0.45
0.3,20,10,ensemble,0.11078281779707497,knn,0.45
0.3,20,11,combined,0.1586477863430778,knn,0.55
0.3,20,11,matcomplete,0.11564761884327054,knn,0.55
0.3,20,11,ensemble,0.1268548066372465,knn,0.55
0.3,20,12,combined,0.1537965877287421,knn,0.05
0.3,20,12,matcomplete,0.09281802956233855,knn,0.05
0.3,20,12,ensemble,0.09322597472705833,knn,0.05
0.3,20,13,combined,0.10796171065199471,knn,0.25
0.3,20,13,matcomplete,0.11893859611325737,knn,0.25
0.3,20,13,ensemble,0.10229221328866218,knn,0.25
0.3,20,14,combined,0.12170844170489528,knn,0.15000000000000002
0.3,20,14,matcomplete,0.11257037911534944,knn,0.15000000000000002
0.3,20,14,ensemble,0.10658700701147618,knn,0.15000000000000002
0.3,20,15,combined,0.13977684795738757,knn,0.65
0.3,20,15,matcomplete,0.1376734951032598,knn,0.65
0.3,20,15,ensemble,0.11722582939861895,knn,0.65
0.3,20,16,combined,0.16389936482325257,knn,0.35000000000000003
0.3,20,16,matcomplete,0.19869690492389389,knn,0.35000000000000003
0.3,20,16,ensemble,0.16958654257346456,knn,0.35000000000000003
0.3,20,17,combined,0.13638225688778605,knn,0.25
0.3,20,17,matcomplete,0.09795370580047842,knn,0.25
0.3,20,17,ensemble,0.08838113343792618,knn,0.25
0.3,20,18,combined,0.1458145205080297,knn,0.55
0.3,20,18,matcomplete,0.12317528512413398,knn,0.55
0.3,20,18,ensemble,0.1279565694612672,knn,0.55
0.3,20,19,combined,0.1586562477415053,knn,0.4
0.3,20,19,matcomplete,0.13068472402716633,knn,0.4
0.3,20,19,ensemble,0.12270594232317227,knn,0.4
0.3,40,0,combined,0.128596806103335,knn,0.2
0.3,40,0,matcomplete,0.09083965717771877,knn,0.2
0.3,40,0,ensemble,0.08389609413556418,knn,0.2
0.3,40,1,combined,0.14015087698301595,knn,0.25
0.3,40,1,matcomplete,0.11511310871588043,knn,0.25
0.3,40,1,ensemble,0.1137982371986572,knn,0.25
0.3,40,2,combined,0.17474894597444404,knn,0.35000000000000003
0.3,40,2,matcomplete,0.10377709925636526,knn,0.35000000000000003
0.3,40,2,ensemble,0.11757152038818401,knn,0.35000000000000003
0.3,40,3,combined,0.13553258219966635,knn,0.4
0.3,40,3,matcomplete,0.10014777899518966,knn,0.4
0.3,40,3,ensemble,0.09941045082822457,knn,0.4
0.3,40,4,combined,0.1319613436795173,knn,0.30000000000000004
0.3,40,4,matcomplete,0.08077298352026616,knn,0.30000000000000004
0.3,40,4,ensemble,0.0860424789887156,knn,0.30000000000000004
0.3,40,5,combined,0.13389695931209666,knn,0.15000000000000002
0.3,40,5,matcomplete,0.10073902562684521,knn,0.15000000000000002
0.3,40,5,ensemble,0.0959456968471325,knn,0.15000000000000002
0.3,40,6,combined,0.1596352777593172,knn,0.2
0.3,40,6,matcomplete,0.13996105937858763,knn,0.2
0.3,40,6,ensemble,0.13528513588646,knn,0.2
0.3,40,7,combined,0.14739666808884466,knn,0.35000000000000003
0.3,40,7,matcomplete,0.11467692631098217,knn,0.35000000000000003
0.3,40,7,ensemble,0.11194616632694875,knn,0.35000000000000003
0.3,40,8,combined,0.14789937701963224,knn,0.15000000000000002
0.3,40,8,matcomplete,0.09816957941758137,knn,0.15000000000000002
0.3,40,8,ensemble,0.09541986681725184,knn,0.15000000000000002
0.3,40,9,combined,0.13509441284077603,knn,0.25
0.3,40,9,matcomplete,0.09861536211140132,knn,0.25
0.3,40,9,ensemble,0.10057167573062042,knn,0.25
0.3,40,10,combined,0.12577187917078153,knn,0.2
0.3,40,10,matcomplete,0.10053743747237391,knn,0.2
0.3,40,10,ensemble,0.09697751057093049,knn,0.2
0.3,40,11,combined,0.1477900594932101,knn,0.2
0.3,40,11,matcomplete,0.11000172667863799,knn,0.2
0.3,40,11,ensemble,0.10939783106055667,knn,0.2
0.3,40,12,combined,0.12502066921235253,knn,0.05
0.3,40,12,matcomplete,0.08113040301195557,knn,0.05
0.3,40,12,ensemble,0.08094887003059617,knn,0.05
0.3,40,13,combined,0.14798566089847942,knn,0.45
0.3,40,13,matcomplete,0.10769726584835528,knn,0.45
0.3,40,13,ensemble,0.11498960284917199,knn,0.45
0.3,40,14,combined,0.14526599932493492,knn,0.45
0.3,40,14,matcomplete,0.12370414258057759,knn,0.45
0.3,40,14,ensemble,0.12037121399740174,knn,0.45
0.3,40,15,combined,0.15359452278376598,knn,0.15000000000000002
0.3,40,15,matcomplete,0.09652704304472642,knn,0.15000000000000002
0.3,40,15,ensemble,0.09582691416780822,knn,0.15000000000000002
0.3,40,16,combined,0.15546935664283257,knn,0.25
0.3,40,16,matcomplete,0.09151289634205241,knn,0.25
0.3,40,16,ensemble,0.09396521528146225,knn,0.25
0.3,40,17,combined,0.1339073126456462,knn,0.25
0.3,40,17,matcomplete,0.1016628997141467,knn,0.25
