obs_prob,n_models,seed,method,mae,predictor,alpha
0.1,95,0,combined,0.1509813928559843,knn,0.15000000000000002
0.1,95,0,matcomplete,0.12179064220746036,knn,0.15000000000000002
0.1,95,0,ensemble,0.12055240671037774,knn,0.15000000000000002
0.1,95,1,combined,0.15963562565508843,knn,0.1
0.1,95,1,matcomplete,0.12760408764728542,knn,0.1
0.1,95,1,ensemble,0.12395979897193743,knn,0.1
0.1,95,2,combined,0.15272018966116588,knn,0.15000000000000002
0.1,95,2,matcomplete,0.10377203905121136,knn,0.15000000000000002
0.1,95,2,ensemble,0.10402382314410445,knn,0.15000000000000002
0.1,95,3,combined,0.1586611618360941,knn,0.4
0.1,95,3,matcomplete,0.10726546496338192,knn,0.4
0.1,95,3,ensemble,0.11486322321831471,knn,0.4
0.1,95,4,combined,0.16879649611824676,knn,0.30000000000000004
0.1,95,4,matcomplete,0.13242454970906245,knn,0.30000000000000004
0.1,95,4,ensemble,0.12034087225583501,knn,0.30000000000000004
0.1,95,5,combined,0.1551958556615747,knn,0.15000000000000002
0.1,95,5,matcomplete,0.12840024325185218,knn,0.15000000000000002
0.1,95,5,ensemble,0.12113524564721688,knn,0.15000000000000002
0.1,95,6,combined,0.16228758197276058,knn,0.45
0.1,95,6,matcomplete,0.12577039308979518,knn,0.45
0.1,95,6,ensemble,0.1264918309397307,knn,0.45
0.1,95,7,combined,0.1537746909532783,knn,0.35000000000000003
0.1,95,7,matcomplete,0.10657392505389192,knn,0.35000000000000003
0.1,95,7,ensemble,0.10502963882477535,knn,0.35000000000000003
0.1,95,8,combined,0.16125655801906733,knn,0.55
0.1,95,8,matcomplete,0.1020011456648039,knn,0.55
0.1,95,8,ensemble,0.11721993777799708,knn,0.55
0.1,95,9,combined,0.15799494995955715,knn,0.1
0.1,95,9,matcomplete,0.12476054783711327,knn,0.1
0.1,95,9,ensemble,0.1203598545076284,knn,0.1
0.1,95,10,combined,0.15402803926707398,knn,0.4
0.1,95,10,matcomplete,0.10932756705695916,knn,0.4
0.1,95,10,ensemble,0.11306641675345842,knn,0.4
0.1,95,11,combined,0.1596381395327541,knn,0.5
0.1,95,11,matcomplete,0.12358429872745068,knn,0.5
0.1,95,11,ensemble,0.13103922832791004,knn,0.5
0.1,95,12,combined,0.16235724679255198,knn,0.8
0.1,95,12,matcomplete,0.1273072920071519,knn,0.8
0.1,95,12,ensemble,0.1471066539159027,knn,0.8
0.1,95,13,combined,0.1526704338996268,knn,0.30000000000000004
0.1,95,13,matcomplete,0.1116812179364241,knn,0.30000000000000004
0.1,95,13,ensemble,0.10863355172855015,knn,0.30000000000000004
0.1,95,14,combined,0.1545851919448434,knn,0.2
0.1,95,14,matcomplete,0.11997546773557348,knn,0.2
0.1,95,14,ensemble,0.11876831445392151,knn,0.2
0.1,95,15,combined,0.15029577324613624,knn,0.5
0.1,95,15,matcomplete,0.09968450221268248,knn,0.5
0.1,95,15,ensemble,0.11230821785245326,knn,0.5
0.1,95,16,combined,0.15451991845671095,knn,0.2
0.1,95,16,matcomplete,0.10748655221520471,knn,0.2
0.1,95,16,ensemble,0.10870826994625225,knn,0.2
0.1,95,17,combined,0.15673218134013261,knn,0.35000000000000003
0.1,95,17,matcomplete,0.12091684451679616,knn,0.35000000000000003
0.1,95,17,ensemble,0.1176632053803498,knn,0.35000000000000003
0.1,95,18,combined,0.15254340180622813,knn,0.25
0.1,95,18,matcomplete,0.13526973212606186,knn,0.25
0.1,95,18,ensemble,0.1294723763209943,knn,0.25
0.1,95,19,combined,0.1628651053330272,knn,0.30000000000000004
0.1,95,19,matcomplete,0.12352249621748411,knn,0.30000000000000004
0.1,95,19,ensemble,0.12212678960579675,knn,0.30000000000000004
0.2,95,0,combined,0.14189822727117501,knn,0.0
0.2,95,0,matcomplete,0.08934718163783421,knn,0.0
0.2,95,0,ensemble,0.08934718163783421,knn,0.0
0.2,95,1,combined,0.15176563061153056,knn,0.35000000000000003
0.2,95,1,matcomplete,0.09385473354980839,knn,0.35000000000000003
0.2,95,1,ensemble,0.10147160336176267,knn,0.35000000000000003
0.2,95,2,combined,0.14756588537314685,knn,0.1
0.2,95,2,matcomplete,0.07749012020287581,knn,0.1
0.2,95,2,ensemble,0.07978287186963395,knn,0.1
0.2,95,3,combined,0.13640485824003878,knn,0.05
0.2,95,3,matcomplete,0.08290039773524001,knn,0.05
0.2,95,3,ensemble,0.08246675162875514,knn,0.05
0.2,95,4,combined,0.14144133202562859,knn,0.30000000000000004
0.2,95,4,matcomplete,0.12411388961496443,knn,0.30000000000000004
0.2,95,4,ensemble,0.11465131283616717,knn,0.30000000000000004
0.2,95,5,combined,0.14397192269283723,knn,0.1
0.2,95,5,matcomplete,0.09699319353654184,knn,0.1
0.2,95,5,ensemble,0.09475150415885811,knn,0.1
0.2,95,6,combined,0.1503342963833198,knn,0.1
0.2,95,6,matcomplete,0.10542330297019718,knn,0.1
0.2,95,6,ensemble,0.10324213178691792,knn,0.1
0.2,95,7,combined,0.1452719014984533,knn,0.05
0.2,95,7,matcomplete,0.08304682138330487,knn,0.05
0.2,95,7,ensemble,0.081983198529471,knn,0.05
0.2,95,8,combined,0.15281796812865434,knn,0.30000000000000004
0.2,95,8,matcomplete,0.08916956013923473,knn,0.30000000000000004
0.2,95,8,ensemble,0.1003786482471951,knn,0.30000000000000004
0.2,95,9,combined,0.14291399078919248,knn,0.35000000000000003
0.2,95,9,matcomplete,0.10389431653588403,knn,0.35000000000000003
0.2,95,9,ensemble,0.1024315789243879,knn,0.35000000000000003
0.2,95,10,combined,0.14928733777307687,knn,0.1
0.2,95,10,matcomplete,0.10188133920940591,knn,0.1
0.2,95,10,ensemble,0.10186835714090556,knn,0.1
0.2,95,11,combined,0.14902600795001752,knn,0.05
0.2,95,11,matcomplete,0.10572941690456097,knn,0.05
0.2,95,11,ensemble,0.10543212836948106,knn,0.05
0.2,95,12,combined,0.15183977832789705,knn,0.05
0.2,95,12,matcomplete,0.09025434847903757,knn,0.05
0.2,95,12,ensemble,0.08904995457486978,knn,0.05
0.2,95,13,combined,0.15532822385870929,knn,0.1
0.2,95,13,matcomplete,0.09850746422684736,knn,0.1
0.2,95,13,ensemble,0.09825719082000589,knn,0.1
0.2,95,14,combined,0.1492243038730762,knn,0.05
0.2,95,14,matcomplete,0.10182772672461896,knn,0.05
0.2,95,14,ensemble,0.1007868771121524,knn,0.05
0.2,95,15,combined,0.1499364118006089,knn,0.1
0.2,95,15,matcomplete,0.0997607407157989,knn,0.1
0.2,95,15,ensemble,0.09987492413546657,knn,0.1
0.2,95,16,combined,0.14932477366749486,knn,0.1
0.2,95,16,matcomplete,0.08484497772146402,knn,0.1
0.2,95,16,ensemble,0.08631154405649558,knn,0.1
0.2,95,17,combined,0.1422450182504507,knn,0.1
0.2,95,17,matcomplete,0.11987890064266668,knn,0.1
0.2,95,17,ensemble,0.11654873764281666,knn,0.1
0.2,95,18,combined,0.15628376923442633,knn,0.1
