obs_prob,n_models,seed,method,mae,predictor,alpha
0.3,10,0,combined,0.17424967506653688,knn,1.0
0.3,10,0,matcomplete,0.17166918853351965,knn,1.0
0.3,10,0,ensemble,0.17424967506653688,knn,1.0
0.3,10,1,combined,0.20253572981783646,knn,0.35000000000000003
0.3,10,1,matcomplete,0.2101240058119806,knn,0.35000000000000003
0.3,10,1,ensemble,0.1827782875199559,knn,0.35000000000000003
0.3,10,2,combined,0.16507287279923347,knn,0.45
0.3,10,2,matcomplete,0.16199492995036022,knn,0.45
0.3,10,2,ensemble,0.13786516628300624,knn,0.45
0.3,10,3,combined,0.1959587820970917,knn,1.0
0.3,10,3,matcomplete,0.15840094508490227,knn,1.0
0.3,10,3,ensemble,0.1959587820970917,knn,1.0
0.3,10,4,combined,0.1548615745677078,knn,1.0
0.3,10,4,matcomplete,0.16191280378277867,knn,1.0
0.3,10,4,ensemble,0.1548615745677078,knn,1.0
0.3,10,5,combined,0.10290644678823213,knn,0.7000000000000001
0.3,10,5,matcomplete,0.18902599395335828,knn,0.7000000000000001
0.3,10,5,ensemble,0.09076296187183418,knn,0.7000000000000001
0.3,10,6,combined,0.14028156690601779,knn,0.65
0.3,10,6,matcomplete,0.13537062455748777,knn,0.65
0.3,10,6,ensemble,0.12713184714420175,knn,0.65
0.3,10,7,combined,0.22530045336124202,knn,0.7000000000000001
0.3,10,7,matcomplete,0.2047697126571053,knn,0.7000000000000001
0.3,10,7,ensemble,0.20771899051750378,knn,0.7000000000000001
0.3,10,8,combined,0.16074333179423123,knn,0.75
0.3,10,8,matcomplete,0.2012171778492711,knn,0.75
0.3,10,8,ensemble,0.15226584124917136,knn,0.75
0.3,10,9,combined,0.10749185437633697,knn,0.2
0.3,10,9,matcomplete,0.10764215443288493,knn,0.2
0.3,10,9,ensemble,0.09419017781957328,knn,0.2
0.3,10,10,combined,0.1745430456194878,knn,0.2
0.3,10,10,matcomplete,0.1549439427269238,knn,0.2
0.3,10,10,ensemble,0.1493534831983148,knn,0.2
0.3,10,11,combined,0.15156806212391016,knn,0.30000000000000004
0.3,10,11,matcomplete,0.15418555090825792,knn,0.30000000000000004
0.3,10,11,ensemble,0.14320284957399393,knn,0.30000000000000004
0.3,20,0,combined,0.15699370366431256,knn,0.45
0.3,20,0,matcomplete,0.13366184076631685,knn,0.45
0.3,20,0,ensemble,0.12754538108837843,knn,0.45
0.3,20,1,combined,0.14480097465297934,knn,0.4
0.3,20,1,matcomplete,0.11922821544202358,knn,0.4
0.3,20,1,ensemble,0.11294104482933173,knn,0.4
0.3,20,2,combined,0.16149761944558,knn,0.5
0.3,20,2,matcomplete,0.12490022792956874,knn,0.5
0.3,20,2,ensemble,0.11648211995140616,knn,0.5
0.3,20,3,combined,0.1421629763050587,knn,0.25
0.3,20,3,matcomplete,0.1610930906027846,knn,0.25
0.3,20,3,ensemble,0.14353536409688322,knn,0.25
0.3,20,4,combined,0.149734318636241,knn,0.05
0.3,20,4,matcomplete,0.12936774562007725,knn,0.05
0.3,20,4,ensemble,0.12630672956246156,knn,0.05
0.3,20,5,combined,0.1421276926702847,knn,0.4
0.3,20,5,matcomplete,0.1282748137964053,knn,0.4
0.3,20,5,ensemble,0.12002875937812114,knn,0.4
0.3,20,6,combined,0.1768228546991209,knn,0.5
0.3,20,6,matcomplete,0.1432072471879592,knn,0.5
0.3,20,6,ensemble,0.1485570526728149,knn,0.5
0.3,20,7,combined,0.1381959707313678,knn,0.5
0.3,20,7,matcomplete,0.0891629176028078,knn,0.5
0.3,20,7,ensemble,0.09400890863925018,knn,0.5
0.3,20,8,combined,0.16965567167891216,knn,0.5
0.3,20,8,matcomplete,0.17087287479161722,knn,0.5
0.3,20,8,ensemble,0.15586720236306081,knn,0.5
0.3,20,9,combined,0.13756112515898958,knn,0.1
0.3,20,9,matcomplete,0.11370991538161204,knn,0.1
0.3,20,9,ensemble,0.11235557564845879,knn,0.1
0.3,20,10,combined,0.1593940365919045,knn,0.65
0.3,20,10,matcomplete,0.11482476498193925,knn,0.65
0.3,20,10,ensemble,0.132384665140381,knn,0.65
0.3,20,11,combined,0.1724665308748053,knn,0.15000000000000002
0.3,20,11,matcomplete,0.11767631153360529,knn,0.15000000000000002
0.3,20,11,ensemble,0.11588683153383442,knn,0.15000000000000002
0.3,40,0,combined,0.1482078967530228,knn,0.25
0.3,40,0,matcomplete,0.11117360424740745,knn,0.25
0.3,40,0,ensemble,0.10967355183828004,knn,0.25
0.3,40,1,combined,0.14650285312781325,knn,0.4
0.3,40,1,matcomplete,0.12508018613391028,knn,0.4
0.3,40,1,ensemble,0.12216831959491344,knn,0.4
0.3,40,2,combined,0.15330116636000934,knn,0.4
0.3,40,2,matcomplete,0.1191334756061155,knn,0.4
0.3,40,2,ensemble,0.12164574036842697,knn,0.4
0.3,40,3,combined,0.16349751143556987,knn,0.45
0.3,40,3,matcomplete,0.1202916235760101,knn,0.45
0.3,40,3,ensemble,0.1258639152529765,knn,0.45
0.3,40,4,combined,0.1426538475353303,knn,0.15000000000000002
0.3,40,4,matcomplete,0.11165546857994521,knn,0.15000000000000002
