obs_prob,n_models,query_obs,seed,method,mae,predictor,alpha
0.4,93,1,0,combined,0.31010389679367784,knn,0.0
0.4,93,1,0,matcomplete,0.2732482083573519,knn,0.0
0.4,93,1,0,ensemble,0.2732482083573519,knn,0.0
0.4,93,1,1,combined,0.31328813795410165,knn,0.15000000000000002
0.4,93,1,1,matcomplete,0.26563390795006564,knn,0.15000000000000002
0.4,93,1,1,ensemble,0.24486658893454394,knn,0.15000000000000002
0.4,93,1,2,combined,0.3122890365005404,knn,0.25
0.4,93,1,2,matcomplete,0.25943770137916766,knn,0.25
0.4,93,1,2,ensemble,0.24244267774101866,knn,0.25
0.4,93,1,3,combined,0.2940659638830648,knn,0.0
0.4,93,1,3,matcomplete,0.24743845199992545,knn,0.0
0.4,93,1,3,ensemble,0.24743845199992545,knn,0.0
0.4,93,1,4,combined,0.30593169357546857,knn,0.30000000000000004
0.4,93,1,4,matcomplete,0.2628062433596523,knn,0.30000000000000004
0.4,93,1,4,ensemble,0.23862366586879352,knn,0.30000000000000004
0.4,93,1,5,combined,0.31131852597410786,knn,0.05
0.4,93,1,5,matcomplete,0.27484077759170356,knn,0.05
0.4,93,1,5,ensemble,0.26803929010285393,knn,0.05
0.4,93,1,6,combined,0.31742380218936983,knn,0.05
0.4,93,1,6,matcomplete,0.2703430107034882,knn,0.05
0.4,93,1,6,ensemble,0.26312768246310675,knn,0.05
0.4,93,1,7,combined,0.29078280142499063,knn,0.25
0.4,93,1,7,matcomplete,0.24373143302323197,knn,0.25
0.4,93,1,7,ensemble,0.2194334360174099,knn,0.25
0.4,93,1,8,combined,0.31718876978870536,knn,0.0
0.4,93,1,8,matcomplete,0.27141862425278107,knn,0.0
0.4,93,1,8,ensemble,0.27141862425278107,knn,0.0
0.4,93,1,9,combined,0.29444462779918973,knn,0.0
0.4,93,1,9,matcomplete,0.2500653153699533,knn,0.0
0.4,93,1,9,ensemble,0.2500653153699533,knn,0.0
0.4,93,1,10,combined,0.30096652245869915,knn,0.25
0.4,93,1,10,matcomplete,0.26883862913612105,knn,0.25
0.4,93,1,10,ensemble,0.2332010615397927,knn,0.25
0.4,93,1,11,combined,0.29784572069322457,knn,0.0
0.4,93,1,11,matcomplete,0.2755722301417506,knn,0.0
0.4,93,1,11,ensemble,0.2755722301417506,knn,0.0
0.4,93,2,0,combined,0.27301884233400664,knn,0.30000000000000004
0.4,93,2,0,matcomplete,0.2242672407760002,knn,0.30000000000000004
0.4,93,2,0,ensemble,0.21120181347684983,knn,0.30000000000000004
0.4,93,2,1,combined,0.27316102032073253,knn,0.30000000000000004
0.4,93,2,1,matcomplete,0.23127603047773584,knn,0.30000000000000004
0.4,93,2,1,ensemble,0.2052267637318241,knn,0.30000000000000004
0.4,93,2,2,combined,0.26586994595079105,knn,0.30000000000000004
