obs_prob,n_models,seed,method,mae,predictor,alpha
0.1,93,0,combined,0.18397066031725837,knn,0.15000000000000002
0.1,93,0,matcomplete,0.16136319442714367,knn,0.15000000000000002
0.1,93,0,ensemble,0.15459775796011063,knn,0.15000000000000002
0.1,93,1,combined,0.17578151398506422,knn,0.30000000000000004
0.1,93,1,matcomplete,0.139189285711437,knn,0.30000000000000004
0.1,93,1,ensemble,0.13858076656764173,knn,0.30000000000000004
0.1,93,2,combined,0.19349760751430573,knn,0.15000000000000002
0.1,93,2,matcomplete,0.16781004080951734,knn,0.15000000000000002
0.1,93,2,ensemble,0.1611803203547749,knn,0.15000000000000002
0.1,93,3,combined,0.1775843076834533,knn,0.25
0.1,93,3,matcomplete,0.13488121038403367,knn,0.25
0.1,93,3,ensemble,0.13360449216745102,knn,0.25
0.1,93,4,combined,0.16149924506397817,knn,0.15000000000000002
0.1,93,4,matcomplete,0.1176483658451222,knn,0.15000000000000002
0.1,93,4,ensemble,0.11704070495457114,knn,0.15000000000000002
0.1,93,5,combined,0.17478949466418797,knn,0.30000000000000004
0.1,93,5,matcomplete,0.12326768698964628,knn,0.30000000000000004
0.1,93,5,ensemble,0.12589443978564568,knn,0.30000000000000004
0.1,93,6,combined,0.19231670422531066,knn,0.15000000000000002
0.1,93,6,matcomplete,0.13768566766981766,knn,0.15000000000000002
0.1,93,6,ensemble,0.13696800089878733,knn,0.15000000000000002
0.1,93,7,combined,0.17108451037952066,knn,0.2
0.1,93,7,matcomplete,0.1335934457224005,knn,0.2
0.1,93,7,ensemble,0.13119157000092585,knn,0.2
0.1,93,8,combined,0.17227718747541282,knn,0.05
0.1,93,8,matcomplete,0.12069082463503589,knn,0.05
0.1,93,8,ensemble,0.1198766435790479,knn,0.05
0.1,93,9,combined,0.17999810216032486,knn,0.2
0.1,93,9,matcomplete,0.139434460502976,knn,0.2
0.1,93,9,ensemble,0.13622764858092373,knn,0.2
0.1,93,10,combined,0.1769150022442994,knn,0.25
0.1,93,10,matcomplete,0.1524551518546479,knn,0.25
0.1,93,10,ensemble,0.14426455839923527,knn,0.25
0.1,93,11,combined,0.180029709658745,knn,0.15000000000000002
0.1,93,11,matcomplete,0.14329392870830931,knn,0.15000000000000002
0.1,93,11,ensemble,0.13940893845607383,knn,0.15000000000000002
0.2,93,0,combined,0.16821479894911423,knn,0.25
0.2,93,0,matcomplete,0.1292377078992177,knn,0.25
0.2,93,0,ensemble,0.1272903296525721,knn,0.25
0.2,93,1,combined,0.15521188381375323,knn,0.2
0.2,93,1,matcomplete,0.12158898615237952,knn,0.2
0.2,93,1,ensemble,0.12125385950144642,knn,0.2
0.2,93,2,combined,0.16442453319667963,knn,0.30000000000000004
0.2,93,2,matcomplete,0.12445761927377841,knn,0.30000000000000004
0.2,93,2,ensemble,0.1251084387959952,knn,0.30000000000000004
0.2,93,3,combined,0.15068066948528566,knn,0.2
0.2,93,3,matcomplete,0.10571492443422402,knn,0.2
0.2,93,3,ensemble,0.10657229458722559,knn,0.2
0.2,93,4,combined,0.1482365314600747,knn,0.30000000000000004
0.2,93,4,matcomplete,0.11317676185648246,knn,0.30000000000000004
0.2,93,4,ensemble,0.11534914776006164,knn,0.30000000000000004
0.2,93,5,combined,0.15529437069280616,knn,0.15000000000000002
0.2,93,5,matcomplete,0.10803723718098632,knn,0.15000000000000002
0.2,93,5,ensemble,0.10821126111096864,knn,0.15000000000000002
0.2,93,6,combined,0.1619409599370695,knn,0.15000000000000002
0.2,93,6,matcomplete,0.12801554203275642,knn,0.15000000000000002
0.2,93,6,ensemble,0.12578347243740273,knn,0.15000000000000002
0.2,93,7,combined,0.16334405796680895,knn,0.2
0.2,93,7,matcomplete,0.11743204858823228,knn,0.2
0.2,93,7,ensemble,0.11633333655758787,knn,0.2
0.2,93,8,combined,0.15136287982770338,knn,0.25
0.2,93,8,matcomplete,0.12657938299188948,knn,0.25
0.2,93,8,ensemble,0.1208401659861681,knn,0.25
0.2,93,9,combined,0.1399985182939912,knn,0.2
0.2,93,9,matcomplete,0.10896473258625419,knn,0.2
0.2,93,9,ensemble,0.10700607112214652,knn,0.2
0.2,93,10,combined,0.16485678818988786,knn,0.25
0.2,93,10,matcomplete,0.1289442189886002,knn,0.25
0.2,93,10,ensemble,0.12812374182710903,knn,0.25
0.2,93,11,combined,0.16131284122301018,knn,0.1
0.2,93,11,matcomplete,0.12582812924954412,knn,0.1
0.2,93,11,ensemble,0.1235281586718956,knn,0.1
0.3,93,0,combined,0.14987480796534491,knn,0.1
0.3,93,0,matcomplete,0.1159754085995796,knn,0.1
0.3,93,0,ensemble,0.11339976590581596,knn,0.1
0.3,93,1,combined,0.14261499092348456,knn,0.1
0.3,93,1,matcomplete,0.11315612740096502,knn,0.1
0.3,93,1,ensemble,0.11151879615975904,knn,0.1
0.3,93,2,combined,0.1447867887214906,knn,0.1
0.3,93,2,matcomplete,0.09729853640514491,knn,0.1
0.3,93,2,ensemble,0.09706576335903955,knn,0.1
0.3,93,3,combined,0.14159253140914288,knn,0.05
0.3,93,3,matcomplete,0.10168207824629202,knn,0.05
0.3,93,3,ensemble,0.10089277205787239,knn,0.05
0.3,93,4,combined,0.1417417236705629,knn,0.1
0.3,93,4,matcomplete,0.10973423626197998,knn,0.1
0.3,93,4,ensemble,0.10762919938703126,knn,0.1
0.3,93,5,combined,0.143961219075832,knn,0.15000000000000002
0.3,93,5,matcomplete,0.09919682255724048,knn,0.15000000000000002
0.3,93,5,ensemble,0.0992138361595457,knn,0.15000000000000002
0.3,93,6,combined,0.1484448620896222,knn,0.2
0.3,93,6,matcomplete,0.11056209348113562,knn,0.2
0.3,93,6,ensemble,0.10967796461594606,knn,0.2
0.3,93,7,combined,0.1435481156530088,knn,0.2
0.3,93,7,matcomplete,0.11000008929522706,knn,0.2
0.3,93,7,ensemble,0.10863378035400979,knn,0.2
0.3,93,8,combined,0.14547798623349303,knn,0.1
0.3,93,8,matcomplete,0.10336344134196478,knn,0.1
0.3,93,8,ensemble,0.10133614529079259,knn,0.1
0.3,93,9,combined,0.14754532385876704,knn,0.25
0.3,93,9,matcomplete,0.10099962212079809,knn,0.25
0.3,93,9,ensemble,0.10349761665978567,knn,0.25
0.3,93,10,combined,0.14636341930182759,knn,0.25
0.3,93,10,matcomplete,0.11092626201329564,knn,0.25
0.3,93,10,ensemble,0.11089816816706544,knn,0.25
0.3,93,11,combined,0.14692139160931195,knn,0.15000000000000002
0.3,93,11,matcomplete,0.10701370334337439,knn,0.15000000000000002
0.3,93,11,ensemble,0.10494740249967979,knn,0.15000000000000002
0.5,93,0,combined,0.13887567675260432,knn,0.1
0.5,93,0,matcomplete,0.09523763918128696,knn,0.1
0.5,93,0,ensemble,0.09441478398102739,knn,0.1
0.5,93,1,combined,0.14345119297181366,knn,0.1
0.5,93,1,matcomplete,0.09179538348005985,knn,0.1
0.5,93,1,ensemble,0.09187673308317619,knn,0.1
0.5,93,2,combined,0.1390736657063493,knn,0.05
0.5,93,2,matcomplete,0.0949141615149823,knn,0.05
0.5,93,2,ensemble,0.09414252973113803,knn,0.05
0.5,93,3,combined,0.1294320354333858,knn,0.1
0.5,93,3,matcomplete,0.09275527209249623,knn,0.1
0.5,93,3,ensemble,0.09153703286794679,knn,0.1
0.5,93,4,combined,0.1361816934325261,knn,0.1
0.5,93,4,matcomplete,0.0923742036825963,knn,0.1
0.5,93,4,ensemble,0.09238114755936133,knn,0.1
0.5,93,5,combined,0.1336450539006248,knn,0.1
0.5,93,5,matcomplete,0.08408148199762717,knn,0.1
0.5,93,5,ensemble,0.08435678512762139,knn,0.1
0.5,93,6,combined,0.13511459316807356,knn,0.15000000000000002
0.5,93,6,matcomplete,0.09024533557103731,knn,0.15000000000000002
0.5,93,6,ensemble,0.09008748419816759,knn,0.15000000000000002
0.5,93,7,combined,0.1321468457473729,knn,0.1
0.5,93,7,matcomplete,0.09409575178061229,knn,0.1
0.5,93,7,ensemble,0.09313589282446896,knn,0.1
0.5,93,8,combined,0.13668603615914723,knn,0.15000000000000002
0.5,93,8,matcomplete,0.09179535503822657,knn,0.15000000000000002
0.5,93,8,ensemble,0.09160261540299014,knn,0.15000000000000002
0.5,93,9,combined,0.1362157916697622,knn,0.15000000000000002
0.5,93,9,matcomplete,0.10480158348386154,knn,0.15000000000000002
0.5,93,9,ensemble,0.10416007586391167,knn,0.15000000000000002
0.5,93,10,combined,0.13521133518456827,knn,0.1
0.5,93,10,matcomplete,0.09528750555277418,knn,0.1
0.5,93,10,ensemble,0.09496463630937345,knn,0.1
0.5,93,11,combined,0.14010403956844578,knn,0.2
0.5,93,11,matcomplete,0.10194228716436693,knn,0.2
0.5,93,11,ensemble,0.10154981633031623,knn,0.2
0.7,93,0,combined,0.11323433017433049,knn,0.25
0.7,93,0,matcomplete,0.08062425517518497,knn,0.25
0.7,93,0,ensemble,0.08147018724494975,knn,0.25
0.7,93,1,combined,0.12781390909523935,knn,0.15000000000000002
0.7,93,1,matcomplete,0.08480552089100739,knn,0.15000000000000002
0.7,93,1,ensemble,0.0844936051487575,knn,0.15000000000000002
0.7,93,2,combined,0.11220160466401789,knn,0.15000000000000002
0.7,93,2,matcomplete,0.08389527485586441,knn,0.15000000000000002
