obs_prob,n_models,seed,method,mae,predictor,alpha
0.3,10,0,combined,0.09910613618703612,knn,1.0
0.3,10,0,matcomplete,0.10369123742134818,knn,1.0
0.3,10,0,ensemble,0.09910613618703612,knn,1.0
0.3,10,1,combined,0.07007205555583305,knn,0.0
0.3,10,1,matcomplete,0.09554571436401442,knn,0.0
0.3,10,1,ensemble,0.09554571436401442,knn,0.0
0.3,10,2,combined,0.061190643931619645,knn,1.0
0.3,10,2,matcomplete,0.07792103195697711,knn,1.0
0.3,10,2,ensemble,0.061190643931619645,knn,1.0
0.3,10,3,combined,0.06936175017321033,knn,0.0
0.3,10,3,matcomplete,0.07841617830315412,knn,0.0
0.3,10,3,ensemble,0.07841617830315412,knn,0.0
0.3,10,4,combined,0.05472224925017082,knn,1.0
0.3,10,4,matcomplete,0.04825465112155284,knn,1.0
0.3,10,4,ensemble,0.05472224925017082,knn,1.0
0.3,10,5,combined,0.08972150440578451,knn,0.0
0.3,10,5,matcomplete,0.0852849917582857,knn,0.0
0.3,10,5,ensemble,0.06823986524591703,knn,0.0
0.3,10,6,combined,0.058864440944034674,knn,0.0
0.3,10,6,matcomplete,0.07090422348099826,knn,0.0
0.3,10,6,ensemble,0.05129407523911107,knn,0.0
0.3,10,7,combined,0.0925946618842629,knn,0.0
0.3,10,7,matcomplete,0.08627505546589108,knn,0.0
0.3,10,7,ensemble,0.08627505546589108,knn,0.0
0.3,10,8,combined,0.06943435810776975,knn,0.0
0.3,10,8,matcomplete,0.04649253020811006,knn,0.0
0.3,10,8,ensemble,0.04649253020811006,knn,0.0
0.3,10,9,combined,0.04037088480893735,knn,1.0
0.3,10,9,matcomplete,0.023427342916717248,knn,1.0
0.3,10,9,ensemble,0.04037088480893735,knn,1.0
0.3,10,10,combined,0.06124597163853926,knn,0.0
0.3,10,10,matcomplete,0.05506864206066359,knn,0.0
0.3,10,10,ensemble,0.02367810854985643,knn,0.0
0.3,10,11,combined,0.08697533871739747,knn,1.0
0.3,10,11,matcomplete,0.06692787825930319,knn,1.0
