obs_prob,n_models,query_obs,seed,method,mae,predictor,alpha
0.4,95,1,0,combined,0.1449189365727177,knn,0.55
0.4,95,1,0,matcomplete,0.13844283860017126,knn,0.55
0.4,95,1,0,ensemble,0.13696269114540893,knn,0.55
0.4,95,1,1,combined,0.15175852602456608,knn,0.45
0.4,95,1,1,matcomplete,0.13873470245864264,knn,0.45
0.4,95,1,1,ensemble,0.13530425079985475,knn,0.45
0.4,95,1,2,combined,0.1370570093337556,knn,0.7000000000000001
0.4,95,1,2,matcomplete,0.12790977306039716,knn,0.7000000000000001
0.4,95,1,2,ensemble,0.12588284388019563,knn,0.7000000000000001
0.4,95,1,3,combined,0.16062696578846922,knn,0.8
0.4,95,1,3,matcomplete,0.16319039050608664,knn,0.8
0.4,95,1,3,ensemble,0.15458863251635452,knn,0.8
0.4,95,1,4,combined,0.17052275561365748,knn,0.2
0.4,95,1,4,matcomplete,0.16169473949815238,knn,0.2
0.4,95,1,4,ensemble,0.15483095695336488,knn,0.2
0.4,95,1,5,combined,0.15354612664791042,knn,0.5
0.4,95,1,5,matcomplete,0.1534510099628117,knn,0.5
0.4,95,1,5,ensemble,0.14474646004102434,knn,0.5
0.4,95,1,6,combined,0.16739465539206977,knn,0.25
0.4,95,1,6,matcomplete,0.1512262037436728,knn,0.25
0.4,95,1,6,ensemble,0.15116320812146364,knn,0.25
0.4,95,1,7,combined,0.15308188667543826,knn,0.75
0.4,95,1,7,matcomplete,0.14931628121026325,knn,0.75
0.4,95,1,7,ensemble,0.1460039683311224,knn,0.75
0.4,95,1,8,combined,0.15878886034959389,knn,0.45
0.4,95,1,8,matcomplete,0.14950211446068112,knn,0.45
0.4,95,1,8,ensemble,0.1437766327910679,knn,0.45
0.4,95,1,9,combined,0.15860195674109687,knn,0.45
0.4,95,1,9,matcomplete,0.1496709024986547,knn,0.45
0.4,95,1,9,ensemble,0.14844701587451067,knn,0.45
0.4,95,1,10,combined,0.1611419072938774,knn,0.25
0.4,95,1,10,matcomplete,0.15308252929433508,knn,0.25
0.4,95,1,10,ensemble,0.15225129367137444,knn,0.25
0.4,95,1,11,combined,0.17068239394963827,knn,0.35000000000000003
0.4,95,1,11,matcomplete,0.16241707939342861,knn,0.35000000000000003
0.4,95,1,11,ensemble,0.15506475834594372,knn,0.35000000000000003
0.4,95,1,12,combined,0.14787315964623432,knn,0.45
0.4,95,1,12,matcomplete,0.14606448266126987,knn,0.45
0.4,95,1,12,ensemble,0.13595561139447884,knn,0.45
0.4,95,1,13,combined,0.1685259854564972,knn,0.65
0.4,95,1,13,matcomplete,0.1565022183537936,knn,0.65
0.4,95,1,13,ensemble,0.14783307011595004,knn,0.65
0.4,95,1,14,combined,0.16535266921523709,knn,0.4
0.4,95,1,14,matcomplete,0.167627357538022,knn,0.4
0.4,95,1,14,ensemble,0.1542337533188994,knn,0.4
0.4,95,2,0,combined,0.11099536394691577,knn,0.4
0.4,95,2,0,matcomplete,0.11182563765581736,knn,0.4
0.4,95,2,0,ensemble,0.1080545953617539,knn,0.4
0.4,95,2,1,combined,0.11038161577405932,knn,0.7000000000000001
0.4,95,2,1,matcomplete,0.10816049100445065,knn,0.7000000000000001
0.4,95,2,1,ensemble,0.10419922646813959,knn,0.7000000000000001
