obs_prob,n_models,seed,method,mae,predictor,alpha
0.1,95,0,combined,0.06476821052928416,knn,0.55
0.1,95,0,matcomplete,0.04275757173385265,knn,0.55
0.1,95,0,ensemble,0.04495208635280325,knn,0.55
0.1,95,1,combined,0.06294728740686349,knn,0.15000000000000002
0.1,95,1,matcomplete,0.03932768154583683,knn,0.15000000000000002
0.1,95,1,ensemble,0.04081721681066031,knn,0.15000000000000002
0.1,95,2,combined,0.06483138651972488,knn,0.30000000000000004
0.1,95,2,matcomplete,0.04101688525042032,knn,0.30000000000000004
0.1,95,2,ensemble,0.03954222237102583,knn,0.30000000000000004
0.1,95,3,combined,0.06654104740951898,knn,0.5
0.1,95,3,matcomplete,0.03873362314661724,knn,0.5
0.1,95,3,ensemble,0.04515669350936793,knn,0.5
0.1,95,4,combined,0.06722383714936497,knn,0.05
0.1,95,4,matcomplete,0.043633109302264536,knn,0.05
0.1,95,4,ensemble,0.04174024824464403,knn,0.05
0.1,95,5,combined,0.06304080204107831,knn,0.2
0.1,95,5,matcomplete,0.041488346774302645,knn,0.2
0.1,95,5,ensemble,0.03937473760360665,knn,0.2
0.1,95,6,combined,0.06027612950936195,knn,0.0
0.1,95,6,matcomplete,0.04489591510146686,knn,0.0
0.1,95,6,ensemble,0.04489591510146686,knn,0.0
0.1,95,7,combined,0.06508936497696612,knn,0.45
0.1,95,7,matcomplete,0.055452920729709955,knn,0.45
0.1,95,7,ensemble,0.046609953618205927,knn,0.45
0.1,95,8,combined,0.0692331647472853,knn,0.4
0.1,95,8,matcomplete,0.039796123691900304,knn,0.4
0.1,95,8,ensemble,0.044293050673164906,knn,0.4
0.1,95,9,combined,0.056685209285455895,knn,0.15000000000000002
0.1,95,9,matcomplete,0.042501383211037164,knn,0.15000000000000002
0.1,95,9,ensemble,0.039143714857141944,knn,0.15000000000000002
0.1,95,10,combined,0.06964944660176296,knn,0.2
0.1,95,10,matcomplete,0.040115543507360574,knn,0.2
0.1,95,10,ensemble,0.039661016684751124,knn,0.2
0.1,95,11,combined,0.06385888087978618,knn,0.05
0.1,95,11,matcomplete,0.0473090650489308,knn,0.05
0.1,95,11,ensemble,0.04690881489815104,knn,0.05
0.1,95,12,combined,0.0639526995462884,knn,0.05
0.1,95,12,matcomplete,0.045948147418110784,knn,0.05
0.1,95,12,ensemble,0.0448386047064906,knn,0.05
0.1,95,13,combined,0.06261477631729316,knn,0.1
0.1,95,13,matcomplete,0.04950639171861,knn,0.1
0.1,95,13,ensemble,0.04714590569676943,knn,0.1
0.1,95,14,combined,0.06287504614705824,knn,0.35000000000000003
0.1,95,14,matcomplete,0.040320397093029585,knn,0.35000000000000003
0.1,95,14,ensemble,0.04437720184375691,knn,0.35000000000000003
0.1,95,15,combined,0.07317382962052715,knn,0.05
0.1,95,15,matcomplete,0.04355967122859123,knn,0.05
0.1,95,15,ensemble,0.04214441052531016,knn,0.05
0.1,95,16,combined,0.06521070018969552,knn,0.35000000000000003
0.1,95,16,matcomplete,0.05369498432274422,knn,0.35000000000000003
0.1,95,16,ensemble,0.04749836316726472,knn,0.35000000000000003
