p,q,n_models,seed,score_all,pkps_all,mc_all,ens_all,score_obs,ens_obs,score_mis,ens_mis,w_pk,a_mis
0.5,8,10,0,0.15547971334552294,0.14373495718157922,0.23892762237300344,0.12862727555231546,0.0998743390394757,0.11770549252333308,0.21435599202251404,0.14019151640653207,0.6566870071444364,1.0
0.5,8,10,1,0.24402944999310483,0.20394502598089106,0.2985710856138272,0.2250606605163452,0.11340177890424798,0.12159364547119371,0.33642463198278405,0.29824464676779383,0.7015054935163962,1.0
0.5,8,10,2,0.1586404241318067,0.1580932243769329,0.24151024942659746,0.14384393596473677,0.09869881297359878,0.09183672439455795,0.2035966325004627,0.18284934464237085,0.5350022679044452,1.0
0.5,8,10,3,0.19980876708267117,0.17611582309530163,0.2846254065208428,0.16037438477783053,0.1176576110964313,0.10695855103749737,0.2651084038922464,0.2028331244175825,0.6111350542989535,1.0
0.5,8,10,4,0.16462399019030216,0.15212380302799353,0.2594917380113758,0.16109565952356936,0.08317048335408188,0.09164460207668161,0.23727171250368784,0.22303849454376648,0.37603083156096184,1.0
0.5,8,10,5,0.16176516086179796,0.1554844976514532,0.2216270952187315,0.16185462707559872,0.1062089142709935,0.1104888883507923,0.20854936851721223,0.20510998600175145,0.6325062320267487,1.0
0.5,8,10,6,0.1745516990022913,0.19663291878814576,0.23245819349905372,0.15838799676794277,0.1136343162556953,0.10691364765118047,0.22888341874925539,0.2042975513855956,0.7242626213159346,1.0
0.5,8,10,7,0.17258253462812556,0.15438637770607366,0.2555810085654121,0.13317029666676816,0.11136263473994772,0.09344756847338916,0.23040132896696022,0.17068620662718165,0.7129083719536768,0.8500000000000001
0.5,8,10,8,0.16803852851164391,0.17616264039679042,0.27115049496070337,0.1469575451237335,0.10791770167263164,0.10546672779929077,0.27625601682186596,0.22164101630773048,0.6454635697659601,0.9500000000000001
0.5,8,10,9,0.12939118212744488,0.1290960297571896,0.19650958099213806,0.13851123151468658,0.08688813275818581,0.10298048927468587,0.1612684691543892,0.16515928819468714,0.17393396690422236,1.0
0.5,8,10,10,0.13629526946206916,0.13431308719488713,0.17955659407295868,0.13061911346643887,0.10348932849562843,0.12450556586312395,0.16727865815259652,0.13639301953623634,0.00011039126114789946,1.0
0.5,8,10,11,0.13188247310449203,0.13779095940593772,0.19999525593155815,0.1107361825273184,0.10778747371974629,0.09598129115840838,0.16802497218161053,0.13286851958068344,0.5904277010781107,1.0
0.5,8,20,0,0.1485333233711561,0.1280671317786694,0.19105296241134218,0.11763060138744094,0.10328614546626035,0.10311212055968384,0.1877475442220658,0.13021328477149713,0.3913636726753883,1.0
0.5,8,20,1,0.16382717459007304,0.1561509256486742,0.20451520651585944,0.13547444211901358,0.11809855096360149,0.10291772979963157,0.2057972812061497,0.16535526027515868,0.6643585504481916,0.8500000000000001
0.5,8,20,2,0.15675335725019868,0.14073707705886612,0.18867457460945122,0.12285320739551445,0.11102742844723908,0.09720359636778188,0.19993895667521608,0.14707784003281743,0.44865953567984856,0.8500000000000001
0.5,8,20,3,0.12013709955493707,0.11714281576971179,0.16758422820012236,0.09905779706716254,0.08560242287292472,0.0763839870402923,0.1536989684430899,0.12109290822003643,0.5933128047525318,0.9
0.5,8,20,4,0.16229346497898034,0.13206585048878355,0.21996345760489927,0.11650755486563284,0.10061058389738012,0.08903674316636732,0.2142369437845384,0.13964086998080377,0.6589297026499628,1.0
0.5,8,20,5,0.12830049977761074,0.12374466008472533,0.16889187046229007,0.10770045638074545,0.09771237126806284,0.09330514676639,0.15888862828715863,0.12209576599510087,0.721008374639902,1.0
0.5,8,20,6,0.13891899001178407,0.14975982900215137,0.18421024876930434,0.13392334365933867,0.0895683201398294,0.08227288597878299,0.18168957056747806,0.17868707364915357,0.582367481796105,1.0
0.5,8,20,7,0.1115117817596426,0.11888582535931162,0.19246908147907646,0.10457199430739907,0.08673781861180244,0.08248357171879046,0.13424952875834523,0.12484493010790285,0.3899666780429322,0.9
0.5,8,20,8,0.1330969940682213,0.12786231285901065,0.18864353938173456,0.11729961384661587,0.10244054983957065,0.09357527769621797,0.17056598145879434,0.14629602469710218,0.5854548959735156,1.0
0.5,8,20,9,0.17657320568443785,0.1561137854436588,0.22965777771272242,0.13373246472730377,0.11898892453830782,0.08841957641171197,0.22647958267775053,0.17300363460081664,0.6683780801509226,1.0
0.5,8,20,10,0.13334651728906524,0.1379434419444847,0.2293793852774854,0.11299083599436054,0.09591658253913456,0.09867464264371606,0.18325309695563946,0.13207909379521984,0.6725046030892703,1.0
0.5,8,20,11,0.13357167940850892,0.13259521189374707,0.21315119001072777,0.11317476169244259,0.09220097590063557,0.09366396059447328,0.19206129471274372,0.1407589977275027,0.5245144574161182,1.0
0.5,8,40,0,0.13265434336170703,0.14130878092704136,0.17177070927504304,0.12639646563285534,0.10148408160604694,0.10378773354134894,0.15852769789091511,0.14516319096371352,0.5772436199212475,1.0
0.5,8,40,1,0.13863444785540605,0.1229852120560339,0.1806661599090112,0.10393875901661126,0.10984729593673223,0.08778193142990579,0.1691149616516489,0.12104598822606413,0.6138723481662637,0.9500000000000001
0.5,8,40,2,0.12419024672301496,0.11833900495583481,0.17017318631260342,0.1015381028822337,0.09719714320917912,0.0860597455012475,0.15533613539282554,0.11939774601414085,0.556159792293528,0.8
0.5,8,40,3,0.1231918699977169,0.11836179200951778,0.16241617093371385,0.10399156375485441,0.09717424194448683,0.07557518102806618,0.14606642889015412,0.12897509487706416,0.5393557213646577,0.9
0.5,8,40,4,0.15663781971558313,0.15983925015757688,0.197706722853555,0.1449197159069221,0.09551105638267672,0.09396734499092407,0.20452694003372,0.18483781541436003,0.6159125071871322,0.9500000000000001
0.5,8,40,5,0.13008337925036073,0.1282855103489066,0.18249523851401994,0.10984643117531978,0.09658766960633546,0.0859952621833123,0.16985953445264074,0.13816969435332868,0.5025988835744929,0.9
0.5,8,40,6,0.16440072086917554,0.15572633931834282,0.2116974312220559,0.14307645387098097,0.10819577841201669,0.10216551909791433,0.2145294533309659,0.1795645848847971,0.514560404413312,1.0
0.5,8,40,7,0.1369593819168061,0.12666041268495282,0.1799729747494716,0.11660115066349222,0.10545193917120896,0.09656729769286192,0.1638763363153626,0.1337161641284678,0.4514690761879085,0.9500000000000001
0.5,8,40,8,0.10441394524131575,0.12298114406044883,0.1404590731767965,0.10101228753676311,0.08923657397793008,0.08005174332570236,0.1198096959473401,0.12227442231201179,0.5777551156225895,0.8500000000000001
0.5,8,40,9,0.14457691468157763,0.15088393661182387,0.17780255332110823,0.130367707712635,0.11563366158966236,0.09965549221203622,0.1707636674790248,0.1581549503084149,0.7156970088075971,0.9500000000000001
0.5,8,40,10,0.13052154661161,0.12367321919765532,0.17040512236237892,0.11173370261826814,0.11186177245171951,0.10150656278810727,0.1523636078375283,0.12370500583031689,0.4452108254208182,1.0
0.5,8,40,11,0.12286604671567432,0.12786774536828982,0.17171812987065357,0.10576163409733128,0.09445146635183194,0.08737196012422274,0.15660836089773714,0.12759937194039767,0.6104425938160013,0.9
