p,q,n_models,seed,score_all,pkps_all,mc_all,ens_all,score_obs,ens_obs,score_mis,ens_mis,w_pk,a_mis
0.5,0,95,0,0.11142824090400338,0.07601359903881334,0.11142824090400338,0.07601359903881334,,,0.11142824090400338,0.07601359903881334,0.46349816914375197,1.0
0.5,0,95,1,0.10686955541206032,0.08647006985555096,0.10686955541206032,0.08647006985555096,,,0.10686955541206032,0.08647006985555096,0.5236007507283015,1.0
0.5,0,95,2,0.09045690258715681,0.07495959289097535,0.09045690258715681,0.07495959289097535,,,0.09045690258715681,0.07495959289097535,0.4574712742922171,1.0
0.5,0,95,3,0.093687482752813,0.08452665344140445,0.093687482752813,0.08321753136219334,,,0.093687482752813,0.08321753136219334,0.32863592154566246,0.8500000000000001
0.5,0,95,4,0.10772778894357722,0.08443857155468179,0.10772778894357722,0.08443857155468179,,,0.10772778894357722,0.08443857155468179,0.5189089863069108,1.0
0.5,0,95,5,0.09059888240513593,0.08402984799798283,0.09059888240513593,0.08402984799798283,,,0.09059888240513593,0.08402984799798283,0.46036869739335806,1.0
0.5,0,95,6,0.09781035337362108,0.07929114374051115,0.09781035337362108,0.07929114374051115,,,0.09781035337362108,0.07929114374051115,0.49331374718427135,1.0
0.5,0,95,7,0.11085314733715104,0.08876063281474282,0.11085314733715104,0.08876063281474282,,,0.11085314733715104,0.08876063281474282,0.4970343455670195,1.0
0.5,0,95,8,0.10624303197075019,0.08011479868717339,0.10624303197075019,0.08011479868717339,,,0.10624303197075019,0.08011479868717339,0.45860790366544457,1.0
0.5,0,95,9,0.10163780318086864,0.07617196527780261,0.10163780318086864,0.07617196527780261,,,0.10163780318086864,0.07617196527780261,0.35023609085548374,1.0
0.5,0,95,10,0.10063171842931862,0.08079663206721452,0.10063171842931862,0.08020780350435597,,,0.10063171842931862,0.08020780350435597,0.48519594813201417,0.9500000000000001
0.5,0,95,11,0.1082077155908819,0.08612856176095193,0.1082077155908819,0.08599058601709668,,,0.1082077155908819,0.08599058601709668,0.3788480808340126,0.9500000000000001
0.5,1,95,0,0.3250036708673446,0.07704930361377545,0.10723777067791734,0.0759368596563569,0.3250036708673446,0.0759368596563569,,,0.3040807120769484,1.0
0.5,1,95,1,0.3191880489163763,0.0861474093675534,0.11521588903073773,0.08422064923340673,0.3191880489163763,0.08422064923340673,,,0.3055779673407481,1.0
0.5,1,95,2,0.3229308321821581,0.08268131891174851,0.09172767563208499,0.08351052927251053,0.3229308321821581,0.08351052927251053,,,0.25703442079998434,1.0
0.5,1,95,3,0.3242039227236478,0.08337129147846124,0.09318793875776168,0.08232065514712403,0.3242039227236478,0.08232065514712403,,,0.2620647115349559,1.0
0.5,1,95,4,0.32721873728079875,0.08548182906446711,0.09120595217853708,0.08534466996097889,0.32721873728079875,0.08534466996097889,,,0.203304806013659,0.9500000000000001
0.5,1,95,5,0.34296423178472124,0.08427645623816764,0.08784392225263453,0.08093588699243409,0.34296423178472124,0.08093588699243409,,,0.3174811487484046,0.9500000000000001
0.5,1,95,6,0.3355121873457247,0.07952017121478072,0.10274948306135044,0.0783894185688001,0.3355121873457247,0.0783894185688001,,,0.25995271812941584,1.0
0.5,1,95,7,0.3342215657146538,0.08872423787377803,0.10812539846360145,0.08530879512341966,0.3342215657146538,0.08530879512341966,,,0.3066957762078776,1.0
0.5,1,95,8,0.34351552574791344,0.0843383010380662,0.09979197613197648,0.08288415718758238,0.34351552574791344,0.08288415718758238,,,0.3393067329284617,0.9500000000000001
0.5,1,95,9,0.3378114717094097,0.07633420087832006,0.09712413227016678,0.07617718380042261,0.3378114717094097,0.07617718380042261,,,0.2729155715956916,1.0
0.5,1,95,10,0.3448843850099107,0.08468141705881738,0.10387993327057554,0.08409740405954554,0.3448843850099107,0.08409740405954554,,,0.3454799565569221,1.0
0.5,1,95,11,0.3319130397384171,0.07783537635935521,0.0998433571188248,0.07852015246750757,0.3319130397384171,0.07852015246750757,,,0.2323489070337196,1.0
0.5,2,95,0,0.22399081586718592,0.07028597229665498,0.10948838040293062,0.0698051319607807,0.22399081586718592,0.0698051319607807,,,0.2563258968282034,1.0
0.5,2,95,1,0.20474493955282627,0.08477013007892174,0.11237276605848627,0.08354776067954366,0.20474493955282627,0.08354776067954366,,,0.29024669858524654,1.0
0.5,2,95,2,0.22146338378743516,0.08063292837104184,0.11116211273682727,0.07854219123402323,0.22146338378743516,0.07854219123402323,,,0.3306886540006873,1.0
0.5,2,95,3,0.22438138547751577,0.08347773747585323,0.08968120886651892,0.08060317613929935,0.22438138547751577,0.08060317613929935,,,0.2556836739639816,1.0
0.5,2,95,4,0.22198262003647562,0.08911832405672544,0.09724784452352751,0.08451748468026694,0.22198262003647562,0.08451748468026694,,,0.24055300253922207,0.9500000000000001
0.5,2,95,5,0.23749248296611916,0.07747240971698882,0.08717003884239294,0.07589932266660272,0.23749248296611916,0.07589932266660272,,,0.2941676654918298,1.0
0.5,2,95,6,0.21476623381152146,0.07886289680984464,0.09855436195075096,0.07616675821434778,0.21476623381152146,0.07616675821434778,,,0.23852815083174875,0.9500000000000001
0.5,2,95,7,0.2193078942547947,0.08911759973422098,0.10218022485771247,0.08421268216450586,0.2193078942547947,0.08421268216450586,,,0.28252635462963904,1.0
0.5,2,95,8,0.23348731756072597,0.08142555600096607,0.09600794780489862,0.08060621210552844,0.23348731756072597,0.08060621210552844,,,0.29781645242179156,1.0
0.5,2,95,9,0.20407788418954972,0.08285248077561122,0.10597873836659907,0.08166895757140635,0.20407788418954972,0.08166895757140635,,,0.23492306319687684,1.0
0.5,2,95,10,0.225313458263961,0.07659405754267619,0.10617764441510859,0.07397594764416211,0.225313458263961,0.07397594764416211,,,0.3439474246414927,1.0
0.5,2,95,11,0.2322464103233857,0.0915986913175977,0.11044409387174217,0.08844587550317988,0.2322464103233857,0.08844587550317988,,,0.276743233123863,1.0
0.5,4,95,0,0.14825452892827676,0.0741641951992697,0.12826071404905617,0.070808054285955,0.14825452892827676,0.070808054285955,,,0.32240256966120523,1.0
0.5,4,95,1,0.16228295378287397,0.09006397009560786,0.110639716965092,0.08193525004564442,0.16228295378287397,0.08193525004564442,,,0.36723655192588484,1.0
0.5,4,95,2,0.1544611944996992,0.08305634236753098,0.09946132499599804,0.07735105954753607,0.1544611944996992,0.07735105954753607,,,0.360337463516317,1.0
0.5,4,95,3,0.14876655424626425,0.07835961043329341,0.0910926819355976,0.07514107671265129,0.14876655424626425,0.07514107671265129,,,0.2825407909336235,1.0
0.5,4,95,4,0.15489039366847218,0.08742031190769044,0.10196141351900519,0.07895357298692697,0.15489039366847218,0.07895357298692697,,,0.3528898801313381,1.0
0.5,4,95,5,0.15927320729582312,0.08346717783984228,0.10082436343702685,0.07805563660263912,0.15927320729582312,0.07805563660263912,,,0.3947562150821897,1.0
0.5,4,95,6,0.15883087862769626,0.09161682817564575,0.10487312242448173,0.08294986896841891,0.15883087862769626,0.08294986896841891,,,0.3969478914061106,0.9500000000000001
0.5,4,95,7,0.15112092231467275,0.08913146536523199,0.10667961133297522,0.0817473408500363,0.15112092231467275,0.0817473408500363,,,0.3565280429373169,1.0
0.5,4,95,8,0.1505848455322062,0.0857497960086406,0.09189109310117727,0.08178783135971492,0.1505848455322062,0.08178783135971492,,,0.30544430752580204,1.0
0.5,4,95,9,0.15824594343679174,0.07420481005805543,0.10390910509838855,0.06989727959927516,0.15824594343679174,0.06989727959927516,,,0.31784902287199507,1.0
0.5,4,95,10,0.15730360326939255,0.08444053464103236,0.11448682845502968,0.07881998640466159,0.15730360326939255,0.07881998640466159,,,0.35820414227506275,1.0
0.5,4,95,11,0.16232334519020222,0.09397943969539005,0.12065650577739889,0.0857127918641538,0.16232334519020222,0.0857127918641538,,,0.3854571194968964,1.0
0.5,8,95,0,0.10069279481980282,0.07529574404306352,0.10837347803050515,0.06182591157228924,0.10069279481980282,0.06182591157228924,,,0.44874302113602454,0.9500000000000001
0.5,8,95,1,0.10989142055011354,0.08088690823835556,0.11680290732173565,0.06846025863138507,0.10989142055011354,0.06846025863138507,,,0.43905756078827674,0.9500000000000001
0.5,8,95,2,0.10277921000075223,0.08174803994093659,0.10889491631082757,0.06709427134245086,0.10277921000075223,0.06709427134245086,,,0.4173076071171186,1.0
0.5,8,95,3,0.10004428897113203,0.08556046814198207,0.09430958375974062,0.07484943497281739,0.10004428897113203,0.07484943497281739,,,0.3327339993095814,0.9500000000000001
0.5,8,95,4,0.10116412907627759,0.08455740486466741,0.09258249911728594,0.07321409098446303,0.10116412907627759,0.07321409098446303,,,0.30251097085690115,1.0
0.5,8,95,5,0.09866654457077735,0.08636255320840584,0.10262118193830735,0.07469135633503467,0.09866654457077735,0.07469135633503467,,,0.3650539781192851,1.0
0.5,8,95,6,0.10670481759955444,0.0807223143039742,0.10070939890670302,0.06821715722894608,0.10670481759955444,0.06821715722894608,,,0.3901450557948913,1.0
0.5,8,95,7,0.10231298559867931,0.08393324667190391,0.09845298417909028,0.06939559582941872,0.10231298559867931,0.06939559582941872,,,0.3772370705458506,0.9500000000000001
0.5,8,95,8,0.1009359109320569,0.08286367043368224,0.10491683393838303,0.07291158760927055,0.1009359109320569,0.07291158760927055,,,0.38463723163069696,0.9500000000000001
0.5,8,95,9,0.10039282387121572,0.07592301854950949,0.08878380392065864,0.07081921713724938,0.10039282387121572,0.07081921713724938,,,0.2018048627809177,1.0
0.5,8,95,10,0.10204407239252831,0.07906241341691794,0.10919223498009796,0.06520441662100268,0.10204407239252831,0.06520441662100268,,,0.45131841506258796,0.9500000000000001
0.5,8,95,11,0.10389240011843032,0.08612886440313974,0.10380728442956995,0.07591797759981352,0.10389240011843032,0.07591797759981352,,,0.3977313149204939,0.9500000000000001
0.5,16,95,0,0.06018855917673592,0.07431195600920804,0.10169795879978374,0.057272753260075124,0.06018855917673592,0.057272753260075124,,,0.4073733073944395,1.0
0.5,16,95,1,0.06514377206530365,0.08116373466585372,0.10616681278667892,0.05543377486113156,0.06514377206530365,0.05543377486113156,,,0.5044484515467762,0.9500000000000001
0.5,16,95,2,0.06513720690906023,0.07561373644693782,0.10168911896688149,0.06073886850350595,0.06513720690906023,0.06073886850350595,,,0.3735587260337981,1.0
0.5,16,95,3,0.06015279880127823,0.07956457599741253,0.0992562351894183,0.05808857375992901,0.06015279880127823,0.05808857375992901,,,0.41706544340291596,1.0
0.5,16,95,4,0.0621331940142601,0.09286826913736125,0.09623785566416872,0.06274593477821014,0.0621331940142601,0.06274593477821014,,,0.5259276089664839,0.9500000000000001
0.5,16,95,5,0.06312914810071832,0.07953843838572215,0.08623721539188633,0.06017971524170126,0.06312914810071832,0.06017971524170126,,,0.42357658166921175,1.0
0.5,16,95,6,0.06472017264887522,0.08685762926357382,0.10562253074170681,0.06244793576742346,0.06472017264887522,0.06244793576742346,,,0.4865135669038941,1.0
0.5,16,95,7,0.0631378278460952,0.0804059264193676,0.09837707414939746,0.05954895986676204,0.0631378278460952,0.05954895986676204,,,0.4392018503724625,1.0
