p,q,n_models,seed,score_all,pkps_all,mc_all,ens_all,score_obs,ens_obs,score_mis,ens_mis,w_pk,a_mis
0.5,0,93,0,0.10289883004463289,0.11184947726370724,0.10289883004463289,0.10996875116252917,,,0.10289883004463289,0.10996875116252917,0.7159231351539024,0.9500000000000001
0.5,0,93,1,0.11865286477306848,0.11399922307466517,0.11865286477306848,0.1102849265132768,,,0.11865286477306848,0.1102849265132768,0.7117743422593866,0.9
0.5,0,93,2,0.10532897015438919,0.10831463522774326,0.10532897015438919,0.10226621918793126,,,0.10532897015438919,0.10226621918793126,0.6969816952195946,0.8
0.5,0,93,3,0.10246922236715925,0.10259061286576655,0.10246922236715925,0.09788828551246896,,,0.10246922236715925,0.09788828551246896,0.7038224407700141,0.8500000000000001
0.5,0,93,4,0.10428231200738718,0.10520769013099415,0.10428231200738718,0.10373256925786056,,,0.10428231200738718,0.10373256925786056,0.7238075079797262,0.9500000000000001
0.5,0,93,5,0.09725629424824288,0.09931620557513546,0.09725629424824288,0.09462391736400612,,,0.09725629424824288,0.09462391736400612,0.633179484649835,0.8500000000000001
0.5,0,93,6,0.10137935633321263,0.10311095960727923,0.10137935633321263,0.09465960473324626,,,0.10137935633321263,0.09465960473324626,0.6954649978226611,0.7000000000000001
0.5,0,93,7,0.11507861853470479,0.10200158289301703,0.11507861853470479,0.09912815735793937,,,0.11507861853470479,0.09912815735793937,0.7096606042663737,0.8
0.5,1,93,0,0.2878626907968743,0.10650252575655408,0.1083867517308344,0.10077634905510938,0.2878626907968743,0.10077634905510938,,,0.3517238933254988,0.8500000000000001
0.5,1,93,1,0.31082281809111784,0.10386221373480732,0.11791881110782272,0.09586297736291233,0.31082281809111784,0.09586297736291233,,,0.38585056470693146,0.8
0.5,1,93,2,0.28841507056900306,0.10234386975219192,0.10500953152795381,0.0977387981249835,0.28841507056900306,0.0977387981249835,,,0.3612187791121472,0.9500000000000001
0.5,1,93,3,0.2885522284893116,0.10177886863177416,0.11576905023188075,0.0954865589657367,0.2885522284893116,0.0954865589657367,,,0.3760531578632503,0.8500000000000001
0.5,1,93,4,0.29684816927203933,0.10750925780204398,0.10681838049953726,0.10185779657886608,0.29684816927203933,0.10185779657886608,,,0.373170200091813,0.9500000000000001
0.5,1,93,5,0.2922918720072467,0.09868579400101687,0.08949838410363806,0.09084864171968451,0.2922918720072467,0.09084864171968451,,,0.36824240161537297,0.9
0.5,1,93,6,0.2892306055616822,0.1055443441978609,0.10121999701913582,0.09484029620312606,0.2892306055616822,0.09484029620312606,,,0.3815453920599688,0.75
0.5,1,93,7,0.29674340176448644,0.10284722206032557,0.1062884961737662,0.09672477372137626,0.29674340176448644,0.09672477372137626,,,0.39093538370559633,0.9
0.5,2,93,0,0.19902132579665352,0.10999429867546016,0.11417755926277331,0.09980033256724374,0.19902132579665352,0.09980033256724374,,,0.38924511202970064,0.9
0.5,2,93,1,0.20642402026791956,0.10765497788018046,0.11478635484750602,0.09888416955859115,0.20642402026791956,0.09888416955859115,,,0.41907583228793166,0.9500000000000001
0.5,2,93,2,0.19592984907324734,0.10372194864415742,0.10614357363949342,0.09122894466931057,0.19592984907324734,0.09122894466931057,,,0.40400041651911894,0.8500000000000001
0.5,2,93,3,0.18914736944583224,0.10091399065860417,0.09945231139454357,0.08731313054896653,0.18914736944583224,0.08731313054896653,,,0.41468189835374214,0.8500000000000001
0.5,2,93,4,0.1980349841022227,0.10808912588418693,0.10908874968295396,0.0964732887582468,0.1980349841022227,0.0964732887582468,,,0.4076000756278233,0.9
0.5,2,93,5,0.19428536031283358,0.0993865067179004,0.09074277549451616,0.09003101020884059,0.19428536031283358,0.09003101020884059,,,0.39186996200134516,0.9500000000000001
0.5,2,93,6,0.19508993101131786,0.10282663695338268,0.10070352429032522,0.08951170347038068,0.19508993101131786,0.08951170347038068,,,0.4061661457621983,0.9
0.5,2,93,7,0.20020742506338776,0.10198387924941513,0.10192772590397257,0.0845952345166753,0.20020742506338776,0.0845952345166753,,,0.4275797561149181,0.75
0.5,4,93,0,0.13435818263260735,0.10689012512179061,0.09873282821306519,0.08969945819568366,0.13435818263260735,0.08969945819568366,,,0.44035789364822137,0.9
0.5,4,93,1,0.13702193238458643,0.09842072262424363,0.11369208265654439,0.08055062964702009,0.13702193238458643,0.08055062964702009,,,0.45000091931157193,0.8500000000000001
0.5,4,93,2,0.13539441442713204,0.09795878427069615,0.11663252441318671,0.08273912782047614,0.13539441442713204,0.08273912782047614,,,0.46685743554024134,0.9
0.5,4,93,3,0.13698576655953057,0.09860938726628923,0.11294365248247037,0.08228809570687431,0.13698576655953057,0.08228809570687431,,,0.44021289306106004,0.8
0.5,4,93,4,0.14255261032827385,0.10294629654122203,0.11403221752376504,0.08746712960880672,0.14255261032827385,0.08746712960880672,,,0.46006361151505926,0.8
0.5,4,93,5,0.12837952022782034,0.09900902674599876,0.08911727430049046,0.08523163649732864,0.12837952022782034,0.08523163649732864,,,0.41647358104065646,0.9
0.5,4,93,6,0.12887248468069137,0.0949509124807733,0.11075231150231062,0.08117728333303317,0.12887248468069137,0.08117728333303317,,,0.41355123091172763,0.9
0.5,4,93,7,0.13068280993385384,0.09956861330561323,0.10450370542146323,0.08166640678390198,0.13068280993385384,0.08166640678390198,,,0.4601043979599623,0.9
0.5,8,93,0,0.08831027583887151,0.09712525814619667,0.10056007359700724,0.07190672519950898,0.08831027583887151,0.07190672519950898,,,0.4971297445921592,0.9
0.5,8,93,1,0.09247756193566177,0.10100112259535052,0.11792318877778904,0.07200853543935687,0.09247756193566177,0.07200853543935687,,,0.5290040796236934,0.9
0.5,8,93,2,0.09365039462266676,0.09468087269075334,0.11287138999771702,0.07404733712217679,0.09365039462266676,0.07404733712217679,,,0.49267279683608795,0.9500000000000001
0.5,8,93,3,0.0926031287323194,0.09181180918223229,0.10990932475831434,0.0695445794476736,0.0926031287323194,0.0695445794476736,,,0.5181078442563697,0.9
0.5,8,93,4,0.09112528096464859,0.10196913141477128,0.10536088281591176,0.07265295611885415,0.09112528096464859,0.07265295611885415,,,0.5378062735580743,0.9
0.5,8,93,5,0.09166464483843308,0.0897831706671857,0.09369412009717401,0.07361050622475891,0.09166464483843308,0.07361050622475891,,,0.4775364990336463,1.0
0.5,8,93,6,0.0930272113502259,0.09403726530726197,0.1012772899783112,0.0705539078079483,0.0930272113502259,0.0705539078079483,,,0.49696608517547697,0.9
0.5,8,93,7,0.09262661747958711,0.09387989899296556,0.11958870389582063,0.07025506596579749,0.09262661747958711,0.07025506596579749,,,0.5259045754354397,0.9
0.5,16,93,0,0.059586828772669936,0.09536862076448943,0.11365554684148522,0.0567217875907955,0.059586828772669936,0.0567217875907955,,,0.5990165706081569,0.9
0.5,16,93,1,0.06178402762254478,0.09555529062044887,0.11138115069256407,0.059389673993149136,0.06178402762254478,0.059389673993149136,,,0.5884841274980488,0.9
0.5,16,93,2,0.05963838474735381,0.09119921706022563,0.10298990851465441,0.05554683155645196,0.05963838474735381,0.05554683155645196,,,0.598308134681171,0.8500000000000001
0.5,16,93,3,0.05954306325647446,0.09118420903124105,0.11317125814383235,0.05503855394454743,0.05954306325647446,0.05503855394454743,,,0.6151127586017985,0.8500000000000001
