p,q,n_models,seed,score_all,pkps_all,mc_all,ens_all,score_obs,ens_obs,score_mis,ens_mis,w_pk,a_mis
0.2,8,95,0,0.06505577467228074,0.06529195325835593,0.07122373248701425,0.06554388323501228,0.04802046261254056,0.04985668053900681,0.07122373248701425,0.07122373248701425,0.9997823988720554,0.0
0.2,8,95,1,0.06272171797762877,0.06386291494693788,0.06850703580748166,0.063862294407924,0.04674322111422557,0.04934205746613307,0.06850703580748166,0.06911962157650348,0.9997449234329885,1.0
0.2,8,95,2,0.061656304937628935,0.06355965269521208,0.06807383931921138,0.06355881313390979,0.04502905676716533,0.04888525635474036,0.06807383931921138,0.0692222911890278,0.9998257902398753,1.0
0.2,8,95,3,0.0634457376349754,0.06436817162105918,0.07015811359279013,0.06325317427757123,0.04386335157622661,0.04310901247366809,0.07015811359279013,0.07015811359279013,0.9997162991631944,0.0
0.2,8,95,4,0.06445754582062684,0.06508715223844519,0.0709819231949104,0.06423229189043873,0.04286778796390666,0.042394456143591844,0.0709819231949104,0.07083163785789245,0.9996624254593595,0.2
0.2,8,95,5,0.07468441637342871,0.07470057361820591,0.08491287217080362,0.07469925934647798,0.04761834872499047,0.053815019117152106,0.08491287217080362,0.08259155943314182,0.9997472534974233,1.0
0.2,8,95,6,0.06633479065991033,0.06644513843294018,0.07440933212089777,0.06644446661792902,0.043790670900833384,0.04531439263722804,0.07440933212089777,0.074012544691246,0.9997510381812322,1.0
0.2,8,95,7,0.07181813082490485,0.07141790878610878,0.08002170853825022,0.07231242365291934,0.04940363108844146,0.05124847203709401,0.08002170853825022,0.08002170853825022,0.9997375153815736,0.0
0.2,8,95,8,0.06244015226997802,0.06252287288037037,0.06751932237332701,0.06312131394762928,0.047785497545561266,0.05077349660161791,0.06751932237332701,0.06740095518687185,0.9996717320687045,0.05
0.2,8,95,9,0.06406362030184719,0.06439360518510306,0.07108268342302511,0.06494895186961616,0.0454900994273456,0.04871815452828786,0.07108268342302511,0.07108268342302511,0.9996945314135569,0.0
0.2,8,95,10,0.06361081556311897,0.0630621059657751,0.06862204166135151,0.06376797540405107,0.04899128818563063,0.049606939132753096,0.06862204166135151,0.06862204166135151,0.99973671309726,0.0
0.2,8,95,11,0.06992384466215361,0.06897532058045439,0.07684775582925138,0.0689747315242639,0.05271588896745471,0.04685203338430707,0.07684775582925138,0.07787617219596249,0.9997548389080627,1.0
0.35,8,95,0,0.05675868459379084,0.05496549715077368,0.06179278522368714,0.05426369023440426,0.047063379676953496,0.041140983971720224,0.06179278522368714,0.061077403101567125,0.9997469367374286,0.25
0.35,8,95,1,0.050696050853614144,0.04978836933091299,0.05275045904407678,0.047205387236418685,0.047217564258399,0.037816572471179415,0.05275045904407678,0.05275045904407678,0.7004549151211508,0.0
