p,q,n_models,seed,score_all,pkps_all,mc_all,ens_all,score_obs,ens_obs,score_mis,ens_mis,w_pk,a_mis
0.5,8,10,0,0.0639508689983128,0.04454081463151585,0.08821390722165363,0.04077286148336322,0.03968783077497195,0.031701844048797355,0.08821390722165363,0.05437938763521202,0.7221558972902707,1.0
0.5,8,10,1,0.06399671832897798,0.07364862560080092,0.08029042960331309,0.0727987409726,0.04149587895013429,0.0666409939643298,0.08029042960331309,0.07837003588484445,0.9998439489358742,0.0
0.5,8,10,2,0.06018336507257425,0.07572335040929028,0.07058200006445962,0.0757210607361509,0.04694873871926561,0.06198042360257074,0.07058200006445962,0.08946169786973106,0.9998372910242013,1.0
0.5,8,10,3,0.09729543394110099,0.09842709320607099,0.12886030163161924,0.09345951236662685,0.06024102404353606,0.05190206409902709,0.12886030163161924,0.12886030163161924,0.21565840780954762,0.0
0.5,8,10,4,0.05586928024010579,0.04655004473842316,0.058457851694111454,0.04756992596418114,0.053064994498266314,0.03577467309008995,0.058457851694111454,0.058457851694111454,0.9998291321770253,0.0
0.5,8,10,5,0.061461489265617585,0.06537596490650432,0.07560866648832133,0.05977042921701803,0.046135380607688535,0.0426123388397728,0.07560866648832133,0.07560866648832133,0.65024819957101,0.0
0.5,8,10,6,0.06966845480295615,0.05811281414503113,0.09116772564355564,0.05810952406586333,0.05135426112392697,0.0372290045206335,0.09116772564355564,0.08262143831461143,0.9996359331603207,1.0
0.5,8,10,7,0.06232968274978377,0.07169351206259905,0.07458067488047475,0.05803520797837343,0.05102107462914592,0.04276246929951066,0.07458067488047475,0.07458067488047475,0.36415328006999964,0.0
0.5,8,10,8,0.05500584620438451,0.04385474184676813,0.061116736393216214,0.042535968457899885,0.051260461895100556,0.031147755852383423,0.061116736393216214,0.061116736393216214,0.6534928085845381,0.0
0.5,8,10,9,0.04719455778325083,0.03804272976273123,0.048073911529058794,0.03764056076311895,0.04620050572277225,0.03281415927609376,0.048073911529058794,0.041910069770872,0.999719588711743,0.8
0.5,8,10,10,0.0474390702635715,0.04007018466135461,0.04821341351234971,0.04006948555160099,0.04660019841072844,0.037343544725413375,0.04821341351234971,0.04258573862192802,0.9997894699739747,1.0
0.5,8,10,11,0.059751539982124624,0.05106267566526226,0.08159260632409597,0.04805761881119985,0.04519082908747705,0.03114021404992654,0.08159260632409597,0.07343372595310979,0.6727761293042072,0.5
0.5,8,20,0,0.06360279889781109,0.06752200301284365,0.07593309890625967,0.062575976208884,0.048532432220818364,0.046250604023202614,0.07593309890625967,0.07593309890625967,0.8544395676968782,0.0
