estimator,obs_prob,query_obs_prob,n_models,seed,predictor,mds_dim,bias_decomp,logit,mae
rbf_paired,0.3,1.0,10,0,knn,8,True,True,0.09925869062109852
rbf_unpaired,0.3,1.0,10,0,knn,8,True,True,0.09864260166422259
rbf_combined,0.3,1.0,10,0,knn,8,True,True,0.0991082738898188
matcomplete,0.3,1.0,10,0,na,0,True,True,0.10369123742134824
rbf_paired,0.3,1.0,10,1,knn,8,True,True,0.07236348817143266
rbf_unpaired,0.3,1.0,10,1,knn,8,True,True,0.06978773598175103
rbf_combined,0.3,1.0,10,1,knn,8,True,True,0.07007432547750714
matcomplete,0.3,1.0,10,1,na,0,True,True,0.09554571436401442
rbf_paired,0.3,1.0,10,2,knn,8,True,True,0.06117797936258904
rbf_unpaired,0.3,1.0,10,2,knn,8,True,True,0.06176958056969496
rbf_combined,0.3,1.0,10,2,knn,8,True,True,0.061190661661244906
matcomplete,0.3,1.0,10,2,na,0,True,True,0.07792103195697708
rbf_paired,0.3,1.0,10,3,knn,8,True,True,0.07006357199505434
rbf_unpaired,0.3,1.0,10,3,knn,8,True,True,0.07008008476912325
rbf_combined,0.3,1.0,10,3,knn,8,True,True,0.069374327165232
matcomplete,0.3,1.0,10,3,na,0,True,True,0.07841617830315412
rbf_paired,0.3,1.0,10,4,knn,8,True,True,0.0547074002823534
rbf_unpaired,0.3,1.0,10,4,knn,8,True,True,0.05456779488025576
rbf_combined,0.3,1.0,10,4,knn,8,True,True,0.05472221372375268
matcomplete,0.3,1.0,10,4,na,0,True,True,0.04825465112155284
rbf_paired,0.3,1.0,10,5,knn,8,True,True,0.09199576598117584
rbf_unpaired,0.3,1.0,10,5,knn,8,True,True,0.09201262723024341
rbf_combined,0.3,1.0,10,5,knn,8,True,True,0.08971048957928815
matcomplete,0.3,1.0,10,5,na,0,True,True,0.08528499175828569
rbf_paired,0.3,1.0,10,6,knn,8,True,True,0.05827978082669989
rbf_unpaired,0.3,1.0,10,6,knn,8,True,True,0.059562916971930384
rbf_combined,0.3,1.0,10,6,knn,8,True,True,0.05886396646384489
matcomplete,0.3,1.0,10,6,na,0,True,True,0.07090422348099812
rbf_paired,0.3,1.0,10,7,knn,8,True,True,0.09128026120664451
rbf_unpaired,0.3,1.0,10,7,knn,8,True,True,0.09353723626878872
rbf_combined,0.3,1.0,10,7,knn,8,True,True,0.0925941125996895
matcomplete,0.3,1.0,10,7,na,0,True,True,0.08627505546589113
rbf_paired,0.3,1.0,10,8,knn,8,True,True,0.07279484771651037
rbf_unpaired,0.3,1.0,10,8,knn,8,True,True,0.071683480694938
rbf_combined,0.3,1.0,10,8,knn,8,True,True,0.06947091014631754
matcomplete,0.3,1.0,10,8,na,0,True,True,0.04649253020811006
rbf_paired,0.3,1.0,10,9,knn,8,True,True,0.04138259661329444
rbf_unpaired,0.3,1.0,10,9,knn,8,True,True,0.042294574135169564
rbf_combined,0.3,1.0,10,9,knn,8,True,True,0.04037182330502802
matcomplete,0.3,1.0,10,9,na,0,True,True,0.023427342916717248
rbf_paired,0.3,1.0,10,10,knn,8,True,True,0.06187273102022913
rbf_unpaired,0.3,1.0,10,10,knn,8,True,True,0.06215149876701323
rbf_combined,0.3,1.0,10,10,knn,8,True,True,0.06126661936515775
matcomplete,0.3,1.0,10,10,na,0,True,True,0.05506864206066355
