n_models,estimator,mean,std,count
10,matcomplete,0.06715039257505025,0.024408289553804884,20
10,rbf_combined,0.06260026454774245,0.02053022028641232,20
10,rbf_paired,0.06399476730319173,0.020673466053266934,20
10,rbf_unpaired,0.06381903849216905,0.020502335093867723,20
20,matcomplete,0.04980451363712071,0.019622811365105717,20
20,rbf_combined,0.06183510697212615,0.01447003990036044,20
20,rbf_paired,0.065200315908584,0.01433721647568259,20
20,rbf_unpaired,0.0658026835928727,0.01416696307919341,20
40,matcomplete,0.04843139242952167,0.009673104622894382,20
40,rbf_combined,0.05575712338768411,0.008117998609153779,20
40,rbf_paired,0.05935005431417656,0.007583731049633239,20
40,rbf_unpaired,0.062107893343632016,0.009230773512257314,20
60,matcomplete,0.04279626364839694,0.006100829796688089,20
60,rbf_combined,0.05232922549172496,0.0071197437256319785,20
60,rbf_paired,0.0575698260989842,0.008399116898818134,20
60,rbf_unpaired,0.05876554467770043,0.008293297507317254,20
80,matcomplete,0.041655873844684374,0.0066839479084780185,20
80,rbf_combined,0.05161404722796916,0.0037891744932565764,20
80,rbf_paired,0.0565274116719349,0.005214327058874599,20
80,rbf_unpaired,0.05670205026462695,0.00485917232525411,20
95,matcomplete,0.04037975162038436,0.005253371574584964,20
95,rbf_combined,0.05200971704084103,0.003960706952788398,20
95,rbf_paired,0.056975134897649146,0.004446617835439845,20
95,rbf_unpaired,0.05712437109770515,0.004823402127919761,20
