estimator,obs_prob,query_obs_prob,n_models,seed,predictor,mds_dim,bias_decomp,logit,mae
rbf_paired,0.1,1.0,95,0,knn,8,True,True,0.07014643768452922
rbf_unpaired,0.1,1.0,95,0,knn,8,True,True,0.07165276069982424
rbf_combined,0.1,1.0,95,0,knn,8,True,True,0.06476835214724509
matcomplete,0.1,1.0,95,0,na,0,True,True,0.04275757173385265
rbf_paired,0.1,1.0,95,1,knn,8,True,True,0.07292908454125147
rbf_unpaired,0.1,1.0,95,1,knn,8,True,True,0.07442536170239504
rbf_combined,0.1,1.0,95,1,knn,8,True,True,0.06294512188695027
matcomplete,0.1,1.0,95,1,na,0,True,True,0.03932768154583685
rbf_paired,0.1,1.0,95,2,knn,8,True,True,0.07356479891363896
rbf_unpaired,0.1,1.0,95,2,knn,8,True,True,0.07517432700275709
rbf_combined,0.1,1.0,95,2,knn,8,True,True,0.06483159394589626
matcomplete,0.1,1.0,95,2,na,0,True,True,0.041016885250420305
rbf_paired,0.1,1.0,95,3,knn,8,True,True,0.07382339440001462
rbf_unpaired,0.1,1.0,95,3,knn,8,True,True,0.0751507527111996
rbf_combined,0.1,1.0,95,3,knn,8,True,True,0.06655937324249865
matcomplete,0.1,1.0,95,3,na,0,True,True,0.03873362314661726
rbf_paired,0.1,1.0,95,4,knn,8,True,True,0.06918408930706044
rbf_unpaired,0.1,1.0,95,4,knn,8,True,True,0.0728613022153991
rbf_combined,0.1,1.0,95,4,knn,8,True,True,0.06722508360890612
matcomplete,0.1,1.0,95,4,na,0,True,True,0.04363310930226454
rbf_paired,0.1,1.0,95,5,knn,8,True,True,0.06992640399514075
rbf_unpaired,0.1,1.0,95,5,knn,8,True,True,0.07462543223772748
rbf_combined,0.1,1.0,95,5,knn,8,True,True,0.06304031200879845
matcomplete,0.1,1.0,95,5,na,0,True,True,0.041488346774302645
rbf_paired,0.1,1.0,95,6,knn,8,True,True,0.0663426709133919
rbf_unpaired,0.1,1.0,95,6,knn,8,True,True,0.06911465145097619
rbf_combined,0.1,1.0,95,6,knn,8,True,True,0.06028865417271032
matcomplete,0.1,1.0,95,6,na,0,True,True,0.04489591510146688
rbf_paired,0.1,1.0,95,7,knn,8,True,True,0.06645023679626597
rbf_unpaired,0.1,1.0,95,7,knn,8,True,True,0.06802620346799958
rbf_combined,0.1,1.0,95,7,knn,8,True,True,0.06508931653985649
matcomplete,0.1,1.0,95,7,na,0,True,True,0.05545292072970994
rbf_paired,0.1,1.0,95,8,knn,8,True,True,0.07212762780761621
rbf_unpaired,0.1,1.0,95,8,knn,8,True,True,0.07502801776569652
rbf_combined,0.1,1.0,95,8,knn,8,True,True,0.06923267616002501
matcomplete,0.1,1.0,95,8,na,0,True,True,0.03979612369190029
rbf_paired,0.1,1.0,95,9,knn,8,True,True,0.06383507424243401
rbf_unpaired,0.1,1.0,95,9,knn,8,True,True,0.0699981206939807
rbf_combined,0.1,1.0,95,9,knn,8,True,True,0.05668482473852691
matcomplete,0.1,1.0,95,9,na,0,True,True,0.04250138321103717
rbf_paired,0.1,1.0,95,10,knn,8,True,True,0.0723244575928338
rbf_unpaired,0.1,1.0,95,10,knn,8,True,True,0.07437892631422266
rbf_combined,0.1,1.0,95,10,knn,8,True,True,0.06964920569350286
matcomplete,0.1,1.0,95,10,na,0,True,True,0.04011554350736059
rbf_paired,0.1,1.0,95,11,knn,8,True,True,0.06502765887589021
rbf_unpaired,0.1,1.0,95,11,knn,8,True,True,0.07029742329111924
rbf_combined,0.1,1.0,95,11,knn,8,True,True,0.06385706885007282
matcomplete,0.1,1.0,95,11,na,0,True,True,0.0473090650489308
rbf_paired,0.1,1.0,95,12,knn,8,True,True,0.0727905910000068
rbf_unpaired,0.1,1.0,95,12,knn,8,True,True,0.07336864769289556
rbf_combined,0.1,1.0,95,12,knn,8,True,True,0.06395036485879291
matcomplete,0.1,1.0,95,12,na,0,True,True,0.04594814741811078
rbf_paired,0.1,1.0,95,13,knn,8,True,True,0.06510124777334747
rbf_unpaired,0.1,1.0,95,13,knn,8,True,True,0.07074506172672883
rbf_combined,0.1,1.0,95,13,knn,8,True,True,0.06261507893533078
matcomplete,0.1,1.0,95,13,na,0,True,True,0.04950639171860999
rbf_paired,0.1,1.0,95,14,knn,8,True,True,0.06556112015721043
rbf_unpaired,0.1,1.0,95,14,knn,8,True,True,0.06928607501599857
rbf_combined,0.1,1.0,95,14,knn,8,True,True,0.06279484008402551
matcomplete,0.1,1.0,95,14,na,0,True,True,0.040320397093029585
rbf_paired,0.1,1.0,95,15,knn,8,True,True,0.08208235793649243
rbf_unpaired,0.1,1.0,95,15,knn,8,True,True,0.07862135575261606
rbf_combined,0.1,1.0,95,15,knn,8,True,True,0.07316975590001577
matcomplete,0.1,1.0,95,15,na,0,True,True,0.043559671228591244
rbf_paired,0.1,1.0,95,16,knn,8,True,True,0.06994320062399803
rbf_unpaired,0.1,1.0,95,16,knn,8,True,True,0.0712295540972311
rbf_combined,0.1,1.0,95,16,knn,8,True,True,0.06520428550948035
matcomplete,0.1,1.0,95,16,na,0,True,True,0.05369498432274424
rbf_paired,0.1,1.0,95,17,knn,8,True,True,0.06451410619625202
rbf_unpaired,0.1,1.0,95,17,knn,8,True,True,0.0685262887403678
rbf_combined,0.1,1.0,95,17,knn,8,True,True,0.06060896230633488
matcomplete,0.1,1.0,95,17,na,0,True,True,0.03906063280563446
rbf_paired,0.1,1.0,95,18,knn,8,True,True,0.07346743117310386
rbf_unpaired,0.1,1.0,95,18,knn,8,True,True,0.07461271826528468
rbf_combined,0.1,1.0,95,18,knn,8,True,True,0.06407331226795515
matcomplete,0.1,1.0,95,18,na,0,True,True,0.04326860269110892
rbf_paired,0.1,1.0,95,19,knn,8,True,True,0.07103080910417539
rbf_unpaired,0.1,1.0,95,19,knn,8,True,True,0.07570485012631155
rbf_combined,0.1,1.0,95,19,knn,8,True,True,0.059571567272823006
matcomplete,0.1,1.0,95,19,na,0,True,True,0.057731142799908416
rbf_paired,0.2,1.0,95,0,knn,8,True,True,0.06894477661097133
rbf_unpaired,0.2,1.0,95,0,knn,8,True,True,0.07228243712944842
