row_id,system,task,model,vendor,harness,model_group,outcome
20240402_sweagent_gpt4/astropy__astropy-14096,20240402_sweagent_gpt4,astropy__astropy-14096,GPT-4 (1106),OpenAI,SWE-agent,GPT-4 (1106),0
20240402_sweagent_gpt4/django__django-11099,20240402_sweagent_gpt4,django__django-11099,GPT-4 (1106),OpenAI,SWE-agent,GPT-4 (1106),1
20240402_sweagent_gpt4/django__django-11532,20240402_sweagent_gpt4,django__django-11532,GPT-4 (1106),OpenAI,SWE-agent,GPT-4 (1106),0
20240402_sweagent_gpt4/django__django-13810,20240402_sweagent_gpt4,django__django-13810,GPT-4 (1106),OpenAI,SWE-agent,GPT-4 (1106),0
20240402_sweagent_gpt4/django__django-13933,20240402_sweagent_gpt4,django__django-13933,GPT-4 (1106),OpenAI,SWE-agent,GPT-4 (1106),0
20240402_sweagent_gpt4/django__django-14034,20240402_sweagent_gpt4,django__django-14034,GPT-4 (1106),OpenAI,SWE-agent,GPT-4 (1106),0
20240402_sweagent_gpt4/django__django-14238,20240402_sweagent_gpt4,django__django-14238,GPT-4 (1106),OpenAI,SWE-agent,GPT-4 (1106),1
20240402_sweagent_gpt4/django__django-15525,20240402_sweagent_gpt4,django__django-15525,GPT-4 (1106),OpenAI,SWE-agent,GPT-4 (1106),0
20240402_sweagent_gpt4/django__django-15554,20240402_sweagent_gpt4,django__django-15554,GPT-4 (1106),OpenAI,SWE-agent,GPT-4 (1106),0
20240402_sweagent_gpt4/django__django-15695,20240402_sweagent_gpt4,django__django-15695,GPT-4 (1106),OpenAI,SWE-agent,GPT-4 (1106),0
20240402_sweagent_gpt4/django__django-16145,20240402_sweagent_gpt4,django__django-16145,GPT-4 (1106),OpenAI,SWE-agent,GPT-4 (1106),0
20240402_sweagent_gpt4/matplotlib__matplotlib-23299,20240402_sweagent_gpt4,matplotlib__matplotlib-23299,GPT-4 (1106),OpenAI,SWE-agent,GPT-4 (1106),0
20240402_sweagent_gpt4/pydata__xarray-3305,20240402_sweagent_gpt4,pydata__xarray-3305,GPT-4 (1106),OpenAI,SWE-agent,GPT-4 (1106),0
20240402_sweagent_gpt4/pylint-dev__pylint-6528,20240402_sweagent_gpt4,pylint-dev__pylint-6528,GPT-4 (1106),OpenAI,SWE-agent,GPT-4 (1106),0
20240402_sweagent_gpt4/sphinx-doc__sphinx-10466,20240402_sweagent_gpt4,sphinx-doc__sphinx-10466,GPT-4 (1106),OpenAI,SWE-agent,GPT-4 (1106),1
20240402_sweagent_gpt4/sphinx-doc__sphinx-9367,20240402_sweagent_gpt4,sphinx-doc__sphinx-9367,GPT-4 (1106),OpenAI,SWE-agent,GPT-4 (1106),0
20240402_sweagent_gpt4/sphinx-doc__sphinx-9673,20240402_sweagent_gpt4,sphinx-doc__sphinx-9673,GPT-4 (1106),OpenAI,SWE-agent,GPT-4 (1106),0
20240402_sweagent_gpt4/sympy__sympy-13647,20240402_sweagent_gpt4,sympy__sympy-13647,GPT-4 (1106),OpenAI,SWE-agent,GPT-4 (1106),1
