representation,target,n_rows,n_classes,balanced_accuracy,ci_low,ci_high,chance_balanced_accuracy,accuracy,majority_accuracy
openai_generic,system,2129,107,0.5563535005738645,0.5370823608177488,0.5737249476770541,0.009345794392523364,0.5570690465007045,0.009394081728511038
openai_generic,model,1191,36,0.5726700030600836,0.543325848888979,0.605212892791519,0.027777777777777776,0.4634760705289673,0.18387909319899245
openai_generic,vendor,1591,8,0.5773393918969849,0.545086788081909,0.6109190798082944,0.125,0.5386549340037712,0.6115650534255186
openai_generic,harness,2069,61,0.6838318466672925,0.6670586333730849,0.6997653007441376,0.01639344262295082,0.6346060898985016,0.07733204446592556
openai_generic,task,2129,20,0.994846587903368,0.9901226293645835,0.9989364698288059,0.05,0.994833255049319,0.050258337247534056
openai_generic,outcome,2129,2,0.823503237725909,0.8025293428675707,0.8456465574041491,0.5,0.8285580084546735,0.5937059652418976
openai_qubric,system,2129,107,0.14370388588293162,0.12731608203209138,0.1586697393336741,0.009345794392523364,0.14372945044621888,0.009394081728511038
openai_qubric,model,1191,36,0.24800134165370885,0.21588534793670028,0.27883295730351326,0.027777777777777776,0.18052057094878254,0.18387909319899245
openai_qubric,vendor,1591,8,0.30212579773300763,0.2716634673534127,0.334010465514177,0.125,0.3356379635449403,0.6115650534255186
openai_qubric,harness,2069,61,0.2080217385169411,0.18761246371774556,0.22869907600902625,0.01639344262295082,0.17593040115998065,0.07733204446592556
openai_qubric,task,2129,20,1.0,1.0,1.0,0.05,1.0,0.050258337247534056
openai_qubric,outcome,2129,2,0.8218317845906198,0.8040891692125498,0.842369330668589,0.5,0.8309065288868013,0.5937059652418976
openai_raw,system,2129,107,0.9005383396185168,0.8900111357053068,0.9122140321942845,0.009345794392523364,0.9013621418506341,0.009394081728511038
openai_raw,model,1191,36,0.880851744086243,0.8635836643137697,0.8987038549470825,0.027777777777777776,0.873215785054576,0.18387909319899245
openai_raw,vendor,1591,8,0.9680397999065891,0.9571709678949855,0.9778786029789325,0.125,0.9277184160905091,0.6115650534255186
openai_raw,harness,2069,61,0.9558854004302667,0.946764725011112,0.9649850742811047,0.01639344262295082,0.9710004833252779,0.07733204446592556
openai_raw,task,2129,20,0.9995283018867924,0.9983329831932773,1.0,0.05,0.9995302959135745,0.050258337247534056
openai_raw,outcome,2129,2,0.8191533438208825,0.8004550314961169,0.8386768734608917,0.5,0.8262094880225458,0.5937059652418976
nomic_generic,system,2129,107,0.4990626878723288,0.4742947011564094,0.5217693645133081,0.009345794392523364,0.4997651479567872,0.009394081728511038
nomic_generic,model,1191,36,0.5097267222372365,0.4863174315164521,0.5351300052974644,0.027777777777777776,0.44164567590260284,0.18387909319899245
nomic_generic,vendor,1591,8,0.5363990096199981,0.5009071043715914,0.5722499956610781,0.125,0.42803268384663734,0.6115650534255186
nomic_generic,harness,2069,61,0.6402232262424784,0.6171083430868387,0.6608166101137143,0.01639344262295082,0.5664572257129048,0.07733204446592556
nomic_generic,task,2129,20,0.9953182860165756,0.9907899819918571,0.9991154290111581,0.05,0.9953029591357445,0.050258337247534056
nomic_generic,outcome,2129,2,0.8251774346967147,0.8057203544274962,0.8472716052434981,0.5,0.8318459370596524,0.5937059652418976
nomic_qubric,system,2129,107,0.10437230147018638,0.09082358406553309,0.119426071133487,0.009345794392523364,0.10427430718647253,0.009394081728511038
nomic_qubric,model,1191,36,0.16024755174974473,0.13559824588059238,0.18411264997758808,0.027777777777777776,0.10747271200671704,0.18387909319899245
nomic_qubric,vendor,1591,8,0.3091203754843495,0.2733870558404887,0.3502082690208817,0.125,0.2960402262727844,0.6115650534255186
nomic_qubric,harness,2069,61,0.1483722121826774,0.1320751539005831,0.16503869521692002,0.01639344262295082,0.1179313678105365,0.07733204446592556
nomic_qubric,task,2129,20,1.0,1.0,1.0,0.05,1.0,0.050258337247534056
nomic_qubric,outcome,2129,2,0.8162032633350406,0.7957655277851496,0.8386760002210801,0.5,0.8257397839361202,0.5937059652418976
nomic_raw,system,2129,107,0.8313494015412364,0.817503449014464,0.8450704420766504,0.009345794392523364,0.8318459370596524,0.009394081728511038
nomic_raw,model,1191,36,0.8111528143476594,0.7845743106187185,0.8363767494684997,0.027777777777777776,0.7581863979848866,0.18387909319899245
nomic_raw,vendor,1591,8,0.9078838666459874,0.8903473202717561,0.9244946788091621,0.125,0.7919547454431175,0.6115650534255186
nomic_raw,harness,2069,61,0.9136521556694721,0.9012379565717572,0.9262139874784311,0.01639344262295082,0.9047849202513292,0.07733204446592556
nomic_raw,task,2129,20,0.9690088251841031,0.952545426058246,0.9816233313050772,0.05,0.9689995302959136,0.050258337247534056
nomic_raw,outcome,2129,2,0.778810730226092,0.7552552487256614,0.8013545453428131,0.5,0.7895725692813528,0.5937059652418976
