m_p,m_u,seed,estimator,mse
25,0,0,paired,0.020446194191033207
25,0,0,unpaired,
25,0,0,combined,0.020446194191033207
25,0,0,pooled,0.020446194191033207
25,0,1,paired,0.009804083626030354
25,0,1,unpaired,
25,0,1,combined,0.009804083626030354
25,0,1,pooled,0.009804083626030354
25,0,2,paired,0.013979737631781137
25,0,2,unpaired,
25,0,2,combined,0.013979737631781137
25,0,2,pooled,0.013979737631781137
25,0,3,paired,0.0172829212380234
25,0,3,unpaired,
25,0,3,combined,0.0172829212380234
25,0,3,pooled,0.0172829212380234
25,0,4,paired,0.016823302990803295
25,0,4,unpaired,
25,0,4,combined,0.016823302990803295
25,0,4,pooled,0.016823302990803295
25,0,5,paired,0.007190017654820461
25,0,5,unpaired,
25,0,5,combined,0.007190017654820461
25,0,5,pooled,0.007190017654820461
25,0,6,paired,0.017231657116628454
25,0,6,unpaired,
25,0,6,combined,0.017231657116628454
25,0,6,pooled,0.017231657116628454
25,0,7,paired,0.020020125214157688
25,0,7,unpaired,
25,0,7,combined,0.020020125214157688
25,0,7,pooled,0.020020125214157688
25,0,8,paired,0.014844462237783369
25,0,8,unpaired,
25,0,8,combined,0.014844462237783369
25,0,8,pooled,0.014844462237783369
25,0,9,paired,0.008938543779180618
25,0,9,unpaired,
25,0,9,combined,0.008938543779180618
25,0,9,pooled,0.008938543779180618
25,0,10,paired,0.049640825613386536
25,0,10,unpaired,
25,0,10,combined,0.049640825613386536
25,0,10,pooled,0.049640825613386536
25,0,11,paired,0.04044321692337426
25,0,11,unpaired,
25,0,11,combined,0.04044321692337426
25,0,11,pooled,0.04044321692337426
25,0,12,paired,0.021102113026379522
25,0,12,unpaired,
25,0,12,combined,0.021102113026379522
25,0,12,pooled,0.021102113026379522
25,0,13,paired,0.007509348735082327
25,0,13,unpaired,
25,0,13,combined,0.007509348735082327
25,0,13,pooled,0.007509348735082327
25,0,14,paired,0.012625936018179495
25,0,14,unpaired,
25,0,14,combined,0.012625936018179495
25,0,14,pooled,0.012625936018179495
25,0,15,paired,0.011511347123152365
25,0,15,unpaired,
25,0,15,combined,0.011511347123152365
25,0,15,pooled,0.011511347123152365
25,0,16,paired,0.010535722583104517
25,0,16,unpaired,
25,0,16,combined,0.010535722583104517
25,0,16,pooled,0.010535722583104517
25,0,17,paired,0.030492438002481356
25,0,17,unpaired,
25,0,17,combined,0.030492438002481356
25,0,17,pooled,0.030492438002481356
25,0,18,paired,0.008096987879525872
25,0,18,unpaired,
25,0,18,combined,0.008096987879525872
25,0,18,pooled,0.008096987879525872
25,0,19,paired,0.04189375251026007
25,0,19,unpaired,
