experiment,estimator,rmse,seed,n_models
n_models,rbf_paired,2.268125758271468,0,10
n_models,rbf_unpaired,2.221552334008028,0,10
n_models,rbf_combined,2.2090918461782705,0,10
n_models,rbf_paired,2.8767378900953484,1,10
n_models,rbf_unpaired,2.8735877380700856,1,10
n_models,rbf_combined,2.828081316055032,1,10
n_models,rbf_paired,2.211308565362604,2,10
n_models,rbf_unpaired,2.2225843564251777,2,10
n_models,rbf_combined,2.190272877873052,2,10
n_models,rbf_paired,2.809359938954556,3,10
n_models,rbf_unpaired,2.789981993184261,3,10
n_models,rbf_combined,2.7756432135860813,3,10
n_models,rbf_paired,2.5527314195417503,4,10
n_models,rbf_unpaired,2.5152009800099964,4,10
n_models,rbf_combined,2.494725768941245,4,10
n_models,rbf_paired,1.7656917901512037,5,10
n_models,rbf_unpaired,1.7665997559411888,5,10
n_models,rbf_combined,1.7527889565930008,5,10
n_models,rbf_paired,2.6769461227671782,6,10
n_models,rbf_unpaired,2.654041262544115,6,10
n_models,rbf_combined,2.6485852057865142,6,10
n_models,rbf_paired,2.4322573073969567,7,10
n_models,rbf_unpaired,2.4702177587634124,7,10
n_models,rbf_combined,2.437968698257162,7,10
n_models,rbf_paired,3.181995022603901,8,10
n_models,rbf_unpaired,3.2166538936584463,8,10
n_models,rbf_combined,3.189820057089637,8,10
n_models,rbf_paired,2.784855735470918,9,10
n_models,rbf_unpaired,2.793340747480976,9,10
n_models,rbf_combined,2.7632182330121537,9,10
n_models,rbf_paired,1.8926992143648973,10,10
n_models,rbf_unpaired,1.861110304850307,10,10
n_models,rbf_combined,1.8468884247138653,10,10
n_models,rbf_paired,2.2291028864272056,11,10
n_models,rbf_unpaired,2.299021653242173,11,10
n_models,rbf_combined,2.198876701333629,11,10
n_models,rbf_paired,2.4745112759128127,12,10
n_models,rbf_unpaired,2.428515648734169,12,10
n_models,rbf_combined,2.420510168631252,12,10
n_models,rbf_paired,2.520820936582418,13,10
n_models,rbf_unpaired,2.512226251459437,13,10
n_models,rbf_combined,2.4514033651561657,13,10
n_models,rbf_paired,2.5288477446901827,14,10
n_models,rbf_unpaired,2.4803359476932325,14,10
n_models,rbf_combined,2.469429580556985,14,10
n_models,rbf_paired,2.6400304159221637,15,10
n_models,rbf_unpaired,2.6200325109066096,15,10
n_models,rbf_combined,2.5807150220415247,15,10
n_models,rbf_paired,2.854843173582815,16,10
n_models,rbf_unpaired,2.861680700499396,16,10
n_models,rbf_combined,2.8417163188023262,16,10
n_models,rbf_paired,3.0001757811148404,17,10
n_models,rbf_unpaired,3.0223779295237274,17,10
n_models,rbf_combined,2.985238474946808,17,10
n_models,rbf_paired,2.1659495233312764,18,10
n_models,rbf_unpaired,2.1743371151113946,18,10
n_models,rbf_combined,2.098677759272374,18,10
n_models,rbf_paired,2.7721810604963597,19,10
n_models,rbf_unpaired,2.7791114735035647,19,10
n_models,rbf_combined,2.74606081380245,19,10
n_models,rbf_paired,3.2497677738909503,20,10
n_models,rbf_unpaired,3.273296734462084,20,10
n_models,rbf_combined,3.20430187358364,20,10
n_models,rbf_paired,2.575449275058806,21,10
n_models,rbf_unpaired,2.5807704867262364,21,10
n_models,rbf_combined,2.54219846590538,21,10
n_models,rbf_paired,3.340699355963152,22,10
n_models,rbf_unpaired,3.2830433214286208,22,10
