experiment,estimator,mae,seed,n_tasks
n_tasks,rbf_paired,1.7454221973164619,0,5
n_tasks,rbf_unpaired,1.8859374812390695,0,5
n_tasks,rbf_combined,1.2994796658233343,0,5
n_tasks,rbf_paired,2.1873112085996325,1,5
n_tasks,rbf_unpaired,2.3808647510693426,1,5
n_tasks,rbf_combined,2.0209960385633745,1,5
n_tasks,rbf_paired,1.5401818294733554,2,5
n_tasks,rbf_unpaired,1.6260256640703263,2,5
n_tasks,rbf_combined,1.187002772205386,2,5
n_tasks,rbf_paired,1.3857218921050314,3,5
n_tasks,rbf_unpaired,1.42954559135495,3,5
n_tasks,rbf_combined,1.0234684314940548,3,5
n_tasks,rbf_paired,1.5056144157101143,4,5
n_tasks,rbf_unpaired,1.478297411856266,4,5
n_tasks,rbf_combined,1.3397313418826848,4,5
n_tasks,rbf_paired,2.04044487489025,5,5
n_tasks,rbf_unpaired,2.227758268830889,5,5
n_tasks,rbf_combined,1.8391322951835352,5,5
n_tasks,rbf_paired,1.6189558300675944,6,5
n_tasks,rbf_unpaired,1.6091933338734206,6,5
n_tasks,rbf_combined,1.5728751348581897,6,5
n_tasks,rbf_paired,1.5608337441609481,7,5
n_tasks,rbf_unpaired,1.6167152112428154,7,5
n_tasks,rbf_combined,1.2108161574903282,7,5
n_tasks,rbf_paired,1.598545291180803,8,5
n_tasks,rbf_unpaired,1.5631133932961614,8,5
n_tasks,rbf_combined,1.3421533297232724,8,5
n_tasks,rbf_paired,2.3670466653130564,9,5
n_tasks,rbf_unpaired,2.5573493657300745,9,5
n_tasks,rbf_combined,1.8432940696457885,9,5
n_tasks,rbf_paired,1.9856015599352876,10,5
n_tasks,rbf_unpaired,2.2237347469166813,10,5
n_tasks,rbf_combined,2.0904249194241467,10,5
n_tasks,rbf_paired,1.6035649816500566,11,5
n_tasks,rbf_unpaired,1.6022546225781862,11,5
n_tasks,rbf_combined,1.2412080563790422,11,5
n_tasks,rbf_paired,1.7754274164426602,12,5
n_tasks,rbf_unpaired,1.838130202074062,12,5
n_tasks,rbf_combined,1.3140868119830358,12,5
n_tasks,rbf_paired,2.4650880552593404,13,5
n_tasks,rbf_unpaired,2.672431275859297,13,5
n_tasks,rbf_combined,2.473994598511409,13,5
n_tasks,rbf_paired,1.8877540123694543,14,5
n_tasks,rbf_unpaired,1.9537619635198002,14,5
n_tasks,rbf_combined,2.0417585525150574,14,5
n_tasks,rbf_paired,1.8970593277361807,15,5
n_tasks,rbf_unpaired,1.95386180422294,15,5
n_tasks,rbf_combined,1.6993899858482038,15,5
n_tasks,rbf_paired,1.5130506871279696,16,5
n_tasks,rbf_unpaired,1.5994999805370889,16,5
n_tasks,rbf_combined,1.2591497418439954,16,5
n_tasks,rbf_paired,2.170956730527269,17,5
n_tasks,rbf_unpaired,2.1602798556204386,17,5
n_tasks,rbf_combined,1.7864067982307545,17,5
n_tasks,rbf_paired,1.742924131838277,18,5
n_tasks,rbf_unpaired,1.8043069643900818,18,5
n_tasks,rbf_combined,1.4515737487283633,18,5
n_tasks,rbf_paired,1.7184896007300183,19,5
n_tasks,rbf_unpaired,1.905793045310152,19,5
n_tasks,rbf_combined,1.3218236006391586,19,5
n_tasks,rbf_paired,1.9223573636719444,20,5
n_tasks,rbf_unpaired,1.9260099342955384,20,5
n_tasks,rbf_combined,1.5447347304437848,20,5
n_tasks,rbf_paired,2.022434840540582,21,5
n_tasks,rbf_unpaired,1.8971515159426102,21,5
n_tasks,rbf_combined,2.110952532532982,21,5
n_tasks,rbf_paired,1.525379315388308,22,5
n_tasks,rbf_unpaired,1.72181182562795,22,5
n_tasks,rbf_combined,1.520949142755541,22,5
n_tasks,rbf_paired,1.6625601911491026,23,5
n_tasks,rbf_unpaired,1.9171720849252802,23,5
n_tasks,rbf_combined,1.524033670493046,23,5
n_tasks,rbf_paired,2.0228319932014887,24,5
n_tasks,rbf_unpaired,2.136623524175623,24,5
n_tasks,rbf_combined,1.9544075010084718,24,5
n_tasks,rbf_paired,1.9001798068435465,25,5
n_tasks,rbf_unpaired,1.8249464987233337,25,5
n_tasks,rbf_combined,1.6543545622908535,25,5
n_tasks,rbf_paired,1.6076367059133077,26,5
n_tasks,rbf_unpaired,1.6508695556098443,26,5
n_tasks,rbf_combined,1.366279881761847,26,5
n_tasks,rbf_paired,1.476974250854799,27,5
n_tasks,rbf_unpaired,1.676479966344313,27,5
n_tasks,rbf_combined,1.3529887299697454,27,5
n_tasks,rbf_paired,1.619534884189223,28,5
n_tasks,rbf_unpaired,1.5234646892753285,28,5
n_tasks,rbf_combined,1.2481726399840558,28,5
n_tasks,rbf_paired,1.4243010656839228,29,5
n_tasks,rbf_unpaired,1.54830962143212,29,5
n_tasks,rbf_combined,1.235627879030071,29,5
n_tasks,rbf_paired,2.3651712556911533,30,5
n_tasks,rbf_unpaired,2.6390114215440508,30,5
n_tasks,rbf_combined,1.98163136725428,30,5
n_tasks,rbf_paired,2.0905908689192634,31,5
n_tasks,rbf_unpaired,2.0342045247497342,31,5
n_tasks,rbf_combined,2.1616417002393384,31,5
n_tasks,rbf_paired,1.6429126004847472,32,5
n_tasks,rbf_unpaired,1.5795432538975251,32,5
n_tasks,rbf_combined,1.1154293774802257,32,5
n_tasks,rbf_paired,1.9219256561769056,33,5
n_tasks,rbf_unpaired,2.0256013260792103,33,5
n_tasks,rbf_combined,1.9450757030650998,33,5
n_tasks,rbf_paired,1.7425851182943692,34,5
n_tasks,rbf_unpaired,1.8529712392550333,34,5
n_tasks,rbf_combined,1.2348026116873123,34,5
n_tasks,rbf_paired,1.3950056675697604,35,5
n_tasks,rbf_unpaired,1.5963419083940416,35,5
n_tasks,rbf_combined,1.4740058619494256,35,5
n_tasks,rbf_paired,1.6834442259514524,36,5
n_tasks,rbf_unpaired,1.830095021947657,36,5
n_tasks,rbf_combined,1.275615541706504,36,5
n_tasks,rbf_paired,1.8935792765402826,37,5
n_tasks,rbf_unpaired,1.9751820043569892,37,5
n_tasks,rbf_combined,1.6317261429433902,37,5
n_tasks,rbf_paired,1.343169602224448,38,5
n_tasks,rbf_unpaired,1.3471944864844385,38,5
n_tasks,rbf_combined,1.0205302431776635,38,5
n_tasks,rbf_paired,1.8806211595171243,39,5
n_tasks,rbf_unpaired,1.8318874992629162,39,5
n_tasks,rbf_combined,1.5353030275466255,39,5
n_tasks,rbf_paired,1.92714062802126,40,5
