experiment,estimator,seed,response_noise,n_queries_per_task,rmse
noise_x_queries,nq=3,0,0.1,3,1.457676916346003
noise_x_queries,nq=3,1,0.1,3,1.6564198374222
noise_x_queries,nq=3,2,0.1,3,1.3266118756503629
noise_x_queries,nq=3,3,0.1,3,1.4883899828806253
noise_x_queries,nq=3,4,0.1,3,1.5264367558113483
noise_x_queries,nq=3,5,0.1,3,1.587343371112014
noise_x_queries,nq=3,6,0.1,3,1.4521272912557934
noise_x_queries,nq=3,7,0.1,3,1.2490201441198947
noise_x_queries,nq=3,8,0.1,3,1.598007151017274
noise_x_queries,nq=3,9,0.1,3,1.5430204822996552
noise_x_queries,nq=3,10,0.1,3,1.5115663270504855
noise_x_queries,nq=3,11,0.1,3,1.4894353240466052
noise_x_queries,nq=3,12,0.1,3,1.5505818612546935
noise_x_queries,nq=3,13,0.1,3,1.7595400321047625
noise_x_queries,nq=3,14,0.1,3,1.5244974236571338
noise_x_queries,nq=3,15,0.1,3,1.437933509293516
noise_x_queries,nq=3,16,0.1,3,1.406276905721898
noise_x_queries,nq=3,17,0.1,3,1.4495749007284056
noise_x_queries,nq=3,18,0.1,3,1.8640037391104205
noise_x_queries,nq=3,19,0.1,3,1.6521939433054076
noise_x_queries,nq=3,20,0.1,3,1.5395728051198934
noise_x_queries,nq=3,21,0.1,3,1.6490823016222431
noise_x_queries,nq=3,22,0.1,3,1.6520118366275165
noise_x_queries,nq=3,23,0.1,3,1.4868032275334804
noise_x_queries,nq=3,24,0.1,3,1.5892516184813652
noise_x_queries,nq=3,25,0.1,3,1.6579037116223265
noise_x_queries,nq=3,26,0.1,3,1.6036216084104058
noise_x_queries,nq=3,27,0.1,3,1.4431211192359021
noise_x_queries,nq=3,28,0.1,3,1.3657532635714429
noise_x_queries,nq=3,29,0.1,3,1.458889057246682
noise_x_queries,nq=3,30,0.1,3,1.5890872369875573
noise_x_queries,nq=3,31,0.1,3,1.6715071956315657
noise_x_queries,nq=3,32,0.1,3,1.366954837758239
noise_x_queries,nq=3,33,0.1,3,1.5268234683947586
noise_x_queries,nq=3,34,0.1,3,1.628619610305376
noise_x_queries,nq=3,35,0.1,3,1.461476594347125
noise_x_queries,nq=3,36,0.1,3,1.2752911202897832
